Brightness	Occurrences
3.0	16
84.0	13
2.0	13
6.0	13
4.0	12
9.0	11
144.0	11
128.0	9
56.0	9
248.0	8
108.0	8
76.0	8
60.0	8
48.0	7
92.0	7
164.0	7
72.0	7
308.0	7
484.0	7
232.0	7
276.0	6
132.0	6
8.0	6
100.0	6
564.0	6
136.0	6
268.0	6
7.0	6
124.0	5
292.0	5
160.0	5
288.0	5
88.0	5
328.0	5
120.0	5
456.0	5
216.0	5
116.0	5
33.0	5
52.0	5
80.0	4
228.0	4
304.0	4
272.0	4
30.0	4
112.0	4
14.0	4
240.0	4
444.0	4
68.0	4
196.0	4
528.0	4
236.0	4
184.0	4
400.0	3
324.0	3
168.0	3
188.0	3
36.0	3
96.0	3
452.0	3
244.0	3
256.0	3
560.0	3
712.0	3
260.0	2
376.0	2
608.0	2
172.0	2
344.0	2
416.0	2
182.0	2
788.0	2
64.0	2
336.0	2
18.0	2
570.0	2
744.0	2
368.0	2
5.0	2
628.0	2
101.0	2
556.0	2
544.0	2
504.0	2
192.0	2
752.0	2
652.0	2
496.0	2
620.0	2
176.0	2
140.0	2
296.0	2
772.0	2
252.0	2
404.0	2
472.0	2
612.0	2
356.0	1
372.0	1
780.0	1
392.0	1
180.0	1
508.0	1
212.0	1
520.0	1
748.0	1
424.0	1
12.0	1
480.0	1
588.0	1
524.0	1
568.0	1
448.0	1
25.0	1
54.0	1
360.0	1
264.0	1
104.0	1
204.0	1
148.0	1
536.0	1
468.0	1
768.0	1
388.0	1
139.0	1
300.0	1
476.0	1
449.0	1
408.0	1
516.0	1
332.0	1
