#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
2	15	50.70217640320733	766.7021764032073	9.0	4.0	7.0	4.0	873.0	144.0	65.0	664.0
2	27	557.5	1370.5	4.0	0.0	4.0	0.0	280.0	0.0	280.0	0.0
3	23	2053.5	1266.5	4.0	0.0	4.0	0.0	308.0	0.0	308.0	0.0
3	30	1058.5	1343.5	4.0	0.0	4.0	0.0	276.0	0.0	276.0	0.0
3	46	2228.489583333333	1939.75	4.0	2.0	4.0	2.0	96.0	4.0	42.0	50.0
4	19	1476.7183513248283	1256.6977428851817	9.0	6.0	7.0	4.0	1019.0	182.0	81.0	756.0
4	20	367.5	1344.5	4.0	0.0	4.0	0.0	180.0	0.0	180.0	0.0
4	27	1940.5	1579.5	4.0	0.0	4.0	0.0	244.0	0.0	244.0	0.0
5	19	1476.7183513248283	1256.6977428851817	9.0	6.0	7.0	4.0	1019.0	182.0	81.0	756.0
5	20	367.5	1344.5	4.0	0.0	4.0	0.0	180.0	0.0	180.0	0.0
5	27	1940.5	1579.5	4.0	0.0	4.0	0.0	244.0	0.0	244.0	0.0
6	27	1735.765306122449	1379.5102040816328	6.0	4.0	4.0	2.0	294.0	216.0	72.0	6.0
7	38	2404.5049019607845	1529.9803921568628	6.0	1.0	4.0	4.0	408.0	3.0	213.0	192.0
7	42	2270.6918990703853	1646.691899070385	9.0	4.0	7.0	4.0	753.0	120.0	49.0	584.0
7	50	2093.5	1862.5	4.0	0.0	4.0	0.0	264.0	0.0	264.0	0.0
8	3	1898.5	163.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
8	18	1752.9917012448134	1263.7697095435683	8.0	4.0	4.0	1.0	482.0	344.0	125.0	11.0
8	24	1664.7081292850146	1492.7081292850146	9.0	4.0	7.0	4.0	1021.0	172.0	81.0	768.0
9	3	1898.5	163.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
9	18	1752.9917012448134	1263.7697095435683	8.0	4.0	4.0	1.0	482.0	344.0	125.0	11.0
9	24	1664.7081292850146	1492.7081292850146	9.0	4.0	7.0	4.0	1021.0	172.0	81.0	768.0
10	18	1384.6933667083854	902.5650813516896	11.0	4.0	10.0	4.0	1598.0	244.0	334.0	1020.0
10	22	2033.5	1118.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
11	39	29.019788918205805	1821.015831134565	7.0	4.0	6.0	6.0	758.0	360.0	22.0	376.0
14	40	2388.6326530612246	2026.361976369495	9.0	4.0	8.0	4.0	931.0	108.0	283.0	540.0
15	4	2388.657142857143	216.5548872180451	9.0	4.0	8.0	4.0	665.0	92.0	93.0	480.0
15	31	556.7183951551855	1504.7229371688115	9.0	4.0	7.0	6.0	1321.0	228.0	121.0	972.0
16	14	1119.5185185185185	396.5185185185185	4.0	0.0	4.0	0.0	54.0	0.0	54.0	0.0
16	36	1897.5	1244.5	4.0	0.0	4.0	0.0	244.0	0.0	244.0	0.0
16	41	1838.6709470304977	1646.6677367576244	7.0	4.0	5.0	4.0	623.0	92.0	27.0	504.0
17	14	1119.5185185185185	396.5185185185185	4.0	0.0	4.0	0.0	54.0	0.0	54.0	0.0
17	36	1897.5	1244.5	4.0	0.0	4.0	0.0	244.0	0.0	244.0	0.0
17	41	1838.6709470304977	1646.6677367576244	7.0	4.0	5.0	4.0	623.0	92.0	27.0	504.0
18	19	899.5	1644.111111111111	6.0	4.0	4.0	0.0	432.0	168.0	264.0	0.0
19	22	948.5	1233.5	4.0	0.0	4.0	0.0	184.0	0.0	184.0	0.0
19	35	1792.7067745197169	1796.7067745197169	9.0	4.0	7.0	4.0	989.0	164.0	81.0	744.0
20	16	2326.6497695852536	912.6405529953915	7.0	4.0	6.0	5.0	434.0	56.0	20.0	358.0
20	29	2171.5	1444.1764705882354	6.0	4.0	4.0	0.0	408.0	132.0	276.0	0.0
20	40	1191.5	1896.5	4.0	0.0	4.0	0.0	152.0	0.0	152.0	0.0
21	16	2326.6497695852536	912.6405529953915	7.0	4.0	6.0	5.0	434.0	56.0	20.0	358.0
21	29	2171.5	1444.1764705882354	6.0	4.0	4.0	0.0	408.0	132.0	276.0	0.0
21	40	1191.5	1896.5	4.0	0.0	4.0	0.0	152.0	0.0	152.0	0.0
22	37	2398.7092511013216	1690.7092511013216	9.0	4.0	7.0	5.0	908.0	148.0	72.0	688.0
23	28	531.5	1690.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
23	31	2403.5	1754.5	4.0	0.0	4.0	0.0	200.0	0.0	200.0	0.0
23	35	798.5	1901.5	4.0	0.0	4.0	0.0	236.0	0.0	236.0	0.0
24	12	368.700340522134	614.700340522134	9.0	4.0	7.0	4.0	881.0	144.0	65.0	672.0
24	42	1192.4878048780488	2023.5121951219512	4.0	0.0	4.0	0.0	41.0	0.0	41.0	0.0
25	12	368.700340522134	614.700340522134	9.0	4.0	7.0	4.0	881.0	144.0	65.0	672.0
25	42	1192.4878048780488	2023.5121951219512	4.0	0.0	4.0	0.0	41.0	0.0	41.0	0.0
26	9	1980.502024291498	716.8076923076923	6.0	0.0	4.0	4.0	494.0	0.0	153.0	340.0
26	24	2166.5	1139.5	4.0	0.0	4.0	0.0	236.0	0.0	236.0	0.0
26	28	2155.5227272727275	1282.5454545454545	4.0	2.0	4.0	0.0	44.0	6.0	38.0	0.0
27	14	1621.5	946.0849056603772	6.0	4.0	4.0	0.0	424.0	176.0	248.0	0.0
27	19	1433.5	1138.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
27	24	1810.510593220339	1404.1122881355932	6.0	1.0	5.0	4.0	472.0	8.0	191.0	272.0
27	36	1924.5103011093504	1747.9825673534074	6.0	1.0	5.0	4.0	631.0	9.0	337.0	284.0
27	44	1718.047619047619	2012.2380952380952	7.0	0.0	7.0	3.0	126.0	0.0	72.0	54.0
28	38	1532.7194298574643	1374.7194298574643	9.0	4.0	7.0	4.0	1333.0	232.0	121.0	980.0
29	38	1532.7194298574643	1374.7194298574643	9.0	4.0	7.0	4.0	1333.0	232.0	121.0	980.0
30	27	1130.5	979.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
30	36	700.5034802784223	1366.8259860788862	6.0	0.0	4.0	4.0	431.0	0.0	142.0	288.0
30	41	1660.5	1533.5	4.0	0.0	4.0	0.0	180.0	0.0	180.0	0.0
30	47	1240.5	1725.5	4.0	0.0	4.0	0.0	152.0	0.0	152.0	0.0
31	26	1701.5	1516.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
32	16	537.5049504950495	852.5049504950495	4.0	0.0	4.0	0.0	101.0	0.0	101.0	0.0
32	19	938.6706231454006	950.6231454005934	9.0	4.0	8.0	4.0	674.0	100.0	62.0	512.0
32	35	1421.5	1482.5	4.0	0.0	4.0	0.0	152.0	0.0	152.0	0.0
33	16	537.5049504950495	852.5049504950495	4.0	0.0	4.0	0.0	101.0	0.0	101.0	0.0
33	19	938.6706231454006	950.6231454005934	9.0	4.0	8.0	4.0	674.0	100.0	62.0	512.0
33	35	1421.5	1482.5	4.0	0.0	4.0	0.0	152.0	0.0	152.0	0.0
34	12	1659.5	740.5	4.0	0.0	4.0	0.0	216.0	0.0	216.0	0.0
34	35	2164.5	1591.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
34	52	102.69292389853138	1988.6929238985315	9.0	4.0	7.0	4.0	749.0	120.0	49.0	580.0
35	12	575.5	586.5	4.0	0.0	4.0	0.0	284.0	0.0	284.0	0.0
