Brightness	Occurrences
4.0	6
672.0	4
6.0	3
576.0	3
280.0	2
332.0	2
748.0	2
24.0	2
512.0	2
550.0	2
980.0	2
252.0	2
660.0	2
358.0	2
808.0	2
504.0	2
648.0	2
490.0	2
540.0	2
544.0	2
412.0	2
768.0	2
11.0	2
584.0	2
564.0	2
756.0	2
434.0	1
378.0	1
664.0	1
426.0	1
2.0	1
28.0	1
396.0	1
816.0	1
360.0	1
244.0	1
248.0	1
448.0	1
224.0	1
840.0	1
392.0	1
284.0	1
192.0	1
1020.0	1
376.0	1
480.0	1
972.0	1
744.0	1
688.0	1
340.0	1
272.0	1
54.0	1
306.0	1
288.0	1
580.0	1
828.0	1
20.0	1
292.0	1
50.0	1
976.0	1
456.0	1
532.0	1
452.0	1
