Brightness	Occurrences
72.0	20
136.0	14
152.0	9
172.0	8
81.0	8
49.0	7
184.0	7
65.0	5
244.0	5
180.0	5
276.0	5
27.0	5
71.0	4
31.0	4
300.0	4
121.0	4
284.0	4
236.0	3
200.0	3
20.0	3
216.0	3
11.0	3
125.0	3
264.0	3
53.0	3
153.0	3
62.0	2
101.0	2
272.0	2
141.0	2
280.0	2
142.0	2
93.0	2
41.0	2
54.0	2
226.0	1
340.0	1
308.0	1
356.0	1
332.0	1
288.0	1
432.0	1
337.0	1
86.0	1
249.0	1
476.0	1
46.0	1
178.0	1
169.0	1
364.0	1
42.0	1
505.0	1
145.0	1
191.0	1
213.0	1
348.0	1
334.0	1
205.0	1
22.0	1
283.0	1
165.0	1
251.0	1
105.0	1
97.0	1
38.0	1
248.0	1
70.0	1
