Brightness	Occurrences
72.0	10
136.0	10
172.0	8
184.0	7
152.0	7
244.0	5
284.0	4
180.0	4
276.0	4
300.0	3
741.0	3
408.0	3
216.0	3
200.0	2
1133.0	2
236.0	2
881.0	2
41.0	2
888.0	2
384.0	2
1333.0	2
101.0	2
80.0	2
993.0	2
1073.0	2
674.0	2
160.0	2
280.0	2
434.0	2
53.0	2
833.0	2
1019.0	2
294.0	2
753.0	2
264.0	2
482.0	2
1021.0	2
869.0	2
683.0	2
610.0	2
817.0	2
54.0	2
623.0	2
432.0	2
192.0	2
385.0	1
831.0	1
125.0	1
530.0	1
1179.0	1
340.0	1
873.0	1
1800.0	1
356.0	1
708.0	1
828.0	1
604.0	1
545.0	1
238.0	1
418.0	1
304.0	1
1032.0	1
332.0	1
27.0	1
272.0	1
550.0	1
559.0	1
720.0	1
394.0	1
598.0	1
1137.0	1
348.0	1
989.0	1
631.0	1
472.0	1
424.0	1
44.0	1
494.0	1
908.0	1
1321.0	1
350.0	1
665.0	1
931.0	1
758.0	1
1598.0	1
96.0	1
308.0	1
126.0	1
431.0	1
749.0	1
1113.0	1
76.0	1
204.0	1
403.0	1
1329.0	1
511.0	1
148.0	1
49.0	1
306.0	1
705.0	1
671.0	1
413.0	1
679.0	1
205.0	1
554.0	1
