Brightness	Occurrences
7.0	22
4.0	21
5.0	9
22.0	8
10.0	8
20.0	8
15.0	7
6.0	7
13.0	6
18.0	6
9.0	6
2.0	6
25.0	6
23.0	5
32.0	5
3.0	5
12.0	5
8.0	5
672.0	4
28.0	4
512.0	4
160.0	3
42.0	3
224.0	3
564.0	3
27.0	3
16.0	3
576.0	3
156.0	3
24.0	3
550.0	2
660.0	2
434.0	2
21.0	2
148.0	2
140.0	2
648.0	2
808.0	2
152.0	2
756.0	2
584.0	2
980.0	2
33.0	2
29.0	2
11.0	2
126.0	2
976.0	1
816.0	1
142.0	1
560.0	1
360.0	1
426.0	1
804.0	1
1020.0	1
972.0	1
26.0	1
14.0	1
17.0	1
498.0	1
626.0	1
468.0	1
580.0	1
252.0	1
292.0	1
664.0	1
