Brightness	Occurrences
275.0	6
506.0	5
283.0	5
551.0	4
253.0	4
303.0	4
96.0	4
236.0	4
203.0	3
241.0	3
295.0	3
462.0	3
338.0	3
224.0	3
741.0	3
233.0	3
390.0	2
963.0	2
251.0	2
313.0	2
568.0	2
648.0	2
653.0	2
904.0	2
1333.0	2
642.0	2
852.0	2
299.0	2
297.0	2
674.0	2
417.0	2
1019.0	2
494.0	2
170.0	2
192.0	2
714.0	2
720.0	2
240.0	2
279.0	2
100.0	2
427.0	2
702.0	2
1133.0	2
346.0	2
232.0	2
881.0	2
660.0	2
753.0	2
1073.0	2
869.0	2
474.0	2
892.0	2
492.0	2
589.0	2
778.0	2
591.0	2
440.0	2
817.0	2
511.0	2
281.0	2
149.0	2
888.0	2
262.0	2
640.0	2
833.0	2
928.0	2
581.0	2
239.0	2
641.0	2
948.0	2
504.0	2
326.0	2
180.0	2
102.0	2
525.0	2
414.0	1
257.0	1
873.0	1
387.0	1
190.0	1
420.0	1
154.0	1
382.0	1
542.0	1
215.0	1
615.0	1
304.0	1
708.0	1
1032.0	1
336.0	1
245.0	1
1077.0	1
464.0	1
790.0	1
547.0	1
288.0	1
1800.0	1
268.0	1
976.0	1
388.0	1
532.0	1
116.0	1
339.0	1
522.0	1
470.0	1
534.0	1
312.0	1
98.0	1
421.0	1
756.0	1
147.0	1
220.0	1
432.0	1
1321.0	1
586.0	1
924.0	1
365.0	1
538.0	1
594.0	1
400.0	1
1598.0	1
270.0	1
540.0	1
585.0	1
854.0	1
145.0	1
112.0	1
368.0	1
258.0	1
724.0	1
344.0	1
423.0	1
1179.0	1
117.0	1
132.0	1
301.0	1
824.0	1
416.0	1
1009.0	1
413.0	1
381.0	1
1329.0	1
560.0	1
234.0	1
403.0	1
121.0	1
749.0	1
562.0	1
340.0	1
266.0	1
419.0	1
187.0	1
