Brightness	Occurrences
144.0	11
100.0	9
248.0	8
96.0	8
116.0	8
228.0	8
484.0	7
232.0	7
564.0	6
112.0	6
276.0	6
268.0	6
236.0	6
288.0	6
120.0	5
292.0	5
304.0	5
328.0	5
456.0	5
528.0	4
272.0	4
168.0	4
444.0	4
184.0	4
36.0	3
260.0	3
324.0	3
200.0	3
220.0	3
296.0	3
424.0	3
452.0	3
400.0	3
244.0	3
712.0	3
256.0	3
560.0	3
336.0	2
472.0	2
544.0	2
556.0	2
101.0	2
628.0	2
608.0	2
376.0	2
744.0	2
570.0	2
504.0	2
788.0	2
752.0	2
368.0	2
612.0	2
652.0	2
182.0	2
252.0	2
620.0	2
496.0	2
772.0	2
404.0	2
588.0	1
212.0	1
520.0	1
748.0	1
524.0	1
508.0	1
780.0	1
372.0	1
480.0	1
356.0	1
54.0	1
768.0	1
332.0	1
408.0	1
449.0	1
476.0	1
139.0	1
388.0	1
264.0	1
25.0	1
568.0	1
204.0	1
536.0	1
516.0	1
468.0	1
