#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	4	315.5173913043478	109.51739130434784	4.0	4.0	0.0	2.0	460.0	440.0	0.0	20.0
0	15	397.52180936995154	689.5218093699515	4.0	4.0	0.0	1.0	619.0	592.0	0.0	27.0
0	18	2250.5	795.5	4.0	0.0	4.0	0.0	256.0	0.0	256.0	0.0
0	32	2314.6541019955653	1304.6541019955655	7.0	4.0	5.0	5.0	451.0	60.0	13.0	378.0
0	37	1372.6852173913044	1432.5730434782608	11.0	4.0	10.0	4.0	1150.0	172.0	210.0	768.0
0	39	340.5080906148867	1498.210355987055	6.0	1.0	4.0	4.0	309.0	4.0	92.0	212.0
0	46	1685.5191489361705	1655.5191489361705	4.0	4.0	0.0	1.0	470.0	452.0	0.0	18.0
0	47	642.7180156657963	1692.7127937336816	9.0	4.0	7.0	6.0	1149.0	196.0	97.0	856.0
0	49	1629.5060240963855	1709.5060240963855	4.0	4.0	0.0	1.0	166.0	164.0	0.0	2.0
0	50	412.6832298136646	1732.6832298136646	7.0	4.0	5.0	5.0	644.0	100.0	30.0	514.0
0	51	1168.5	1749.4915254237287	4.0	0.0	4.0	2.0	236.0	0.0	232.0	4.0
0	53	1585.5	1790.4186046511627	4.0	2.0	4.0	0.0	86.0	14.0	72.0	0.0
0	54	1999.5	1808.5	4.0	0.0	4.0	0.0	308.0	0.0	308.0	0.0
0	57	1103.509881422925	1885.509881422925	4.0	4.0	0.0	1.0	253.0	248.0	0.0	5.0
0	59	2390.703273495248	1932.702217529039	9.0	4.0	7.0	4.0	947.0	156.0	74.0	716.0
0	60	1250.520134228188	1934.520134228188	4.0	1.0	1.0	4.0	298.0	9.0	3.0	284.0
0	61	798.6660482374768	1950.6660482374768	7.0	4.0	5.0	4.0	539.0	80.0	19.0	440.0
1	4	315.5173913043478	109.51739130434784	4.0	4.0	0.0	2.0	460.0	440.0	0.0	20.0
1	15	397.52180936995154	689.5218093699515	4.0	4.0	0.0	1.0	619.0	592.0	0.0	27.0
1	18	2250.5	795.5	4.0	0.0	4.0	0.0	256.0	0.0	256.0	0.0
1	32	2314.6541019955653	1304.6541019955655	7.0	4.0	5.0	5.0	451.0	60.0	13.0	378.0
1	37	1372.6852173913044	1432.5730434782608	11.0	4.0	10.0	4.0	1150.0	172.0	210.0	768.0
1	39	340.5080906148867	1498.210355987055	6.0	1.0	4.0	4.0	309.0	4.0	92.0	212.0
1	46	1685.5191489361705	1655.5191489361705	4.0	4.0	0.0	1.0	470.0	452.0	0.0	18.0
1	47	642.7180156657963	1692.7127937336816	9.0	4.0	7.0	6.0	1149.0	196.0	97.0	856.0
1	49	1629.5060240963855	1709.5060240963855	4.0	4.0	0.0	1.0	166.0	164.0	0.0	2.0
1	50	412.6832298136646	1732.6832298136646	7.0	4.0	5.0	5.0	644.0	100.0	30.0	514.0
1	51	1168.5	1749.4915254237287	4.0	0.0	4.0	2.0	236.0	0.0	232.0	4.0
1	53	1585.5	1790.4186046511627	4.0	2.0	4.0	0.0	86.0	14.0	72.0	0.0
1	54	1999.5	1808.5	4.0	0.0	4.0	0.0	308.0	0.0	308.0	0.0
1	57	1103.509881422925	1885.509881422925	4.0	4.0	0.0	1.0	253.0	248.0	0.0	5.0
1	59	2390.703273495248	1932.702217529039	9.0	4.0	7.0	4.0	947.0	156.0	74.0	716.0
1	60	1250.520134228188	1934.520134228188	4.0	1.0	1.0	4.0	298.0	9.0	3.0	284.0
1	61	798.6660482374768	1950.6660482374768	7.0	4.0	5.0	4.0	539.0	80.0	19.0	440.0
2	11	81.51984126984127	759.5198412698413	4.0	4.0	0.0	1.0	504.0	484.0	0.0	20.0
2	13	1940.689608636977	840.689608636977	9.0	4.0	7.0	4.0	741.0	116.0	49.0	576.0
2	18	901.522033898305	897.5203389830508	4.0	4.0	0.0	1.0	590.0	564.0	0.0	25.0
2	19	1105.5	1013.9166666666666	6.0	4.0	4.0	0.0	336.0	196.0	140.0	0.0
2	22	1864.5121951219512	1044.5121951219512	4.0	1.0	0.0	4.0	205.0	4.0	0.0	200.0
2	32	1129.6614583333333	1373.6614583333333	7.0	4.0	0.0	4.0	768.0	644.0	0.0	124.0
2	34	1800.6541019955655	1404.649667405765	7.0	4.0	5.0	5.0	451.0	60.0	13.0	378.0
