#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	4	315.5173913043478	109.51739130434784	4.0	4.0	0.0	2.0	460.0	440.0	0.0	20.0
0	12	550.5	467.6612903225807	4.0	0.0	4.0	2.0	124.0	0.0	84.0	40.0
0	22	601.34375	870.5	4.0	0.0	4.0	2.0	64.0	0.0	44.0	20.0
0	32	2314.6541019955653	1304.6541019955655	7.0	4.0	5.0	5.0	451.0	60.0	13.0	378.0
0	37	1372.6852173913044	1432.5730434782608	11.0	4.0	10.0	4.0	1150.0	172.0	210.0	768.0
0	39	340.5080906148867	1498.210355987055	6.0	1.0	4.0	4.0	309.0	4.0	92.0	212.0
0	47	642.7180156657963	1692.7127937336816	9.0	4.0	7.0	6.0	1149.0	196.0	97.0	856.0
0	50	412.6832298136646	1732.6832298136646	7.0	4.0	5.0	5.0	644.0	100.0	30.0	514.0
0	61	798.6660482374768	1950.6660482374768	7.0	4.0	5.0	4.0	539.0	80.0	19.0	440.0
1	4	315.5173913043478	109.51739130434784	4.0	4.0	0.0	2.0	460.0	440.0	0.0	20.0
1	12	550.5	467.6612903225807	4.0	0.0	4.0	2.0	124.0	0.0	84.0	40.0
1	22	601.34375	870.5	4.0	0.0	4.0	2.0	64.0	0.0	44.0	20.0
1	32	2314.6541019955653	1304.6541019955655	7.0	4.0	5.0	5.0	451.0	60.0	13.0	378.0
1	37	1372.6852173913044	1432.5730434782608	11.0	4.0	10.0	4.0	1150.0	172.0	210.0	768.0
1	39	340.5080906148867	1498.210355987055	6.0	1.0	4.0	4.0	309.0	4.0	92.0	212.0
1	47	642.7180156657963	1692.7127937336816	9.0	4.0	7.0	6.0	1149.0	196.0	97.0	856.0
1	50	412.6832298136646	1732.6832298136646	7.0	4.0	5.0	5.0	644.0	100.0	30.0	514.0
1	61	798.6660482374768	1950.6660482374768	7.0	4.0	5.0	4.0	539.0	80.0	19.0	440.0
2	11	81.51984126984127	759.5198412698413	4.0	4.0	0.0	1.0	504.0	484.0	0.0	20.0
2	13	1940.689608636977	840.689608636977	9.0	4.0	7.0	4.0	741.0	116.0	49.0	576.0
2	18	901.522033898305	897.5203389830508	4.0	4.0	0.0	1.0	590.0	564.0	0.0	25.0
2	34	1800.6541019955655	1404.649667405765	7.0	4.0	5.0	5.0	451.0	60.0	13.0	378.0
2	41	577.6636155606408	1585.663615560641	7.0	4.0	0.0	5.0	874.0	728.0	0.0	146.0
2	44	1258.673805601318	1722.677100494234	7.0	4.0	5.0	5.0	607.0	92.0	25.0	490.0
2	48	958.6511627906976	1808.6511627906975	7.0	4.0	5.0	5.0	430.0	56.0	12.0	362.0
3	24	592.5851648351648	1006.5851648351648	6.0	3.0	1.0	4.0	364.0	33.0	3.0	324.0
3	28	1314.6712328767123	1114.6712328767123	7.0	4.0	5.0	4.0	584.0	88.0	24.0	472.0
3	36	1456.7046025104603	1406.660251046025	11.0	4.0	10.0	6.0	1195.0	196.0	129.0	870.0
3	39	1521.5198412698412	1561.5198412698412	4.0	4.0	0.0	1.0	504.0	484.0	0.0	20.0
3	54	1940.665154264973	2030.4718693284933	11.0	4.0	10.0	6.0	1102.0	144.0	281.0	676.0
4	19	1678.5639686684074	806.3524804177546	7.0	2.0	5.0	5.0	383.0	18.0	73.0	290.0
4	22	2158.592920353982	910.5870206489676	6.0	3.0	1.0	5.0	339.0	30.0	3.0	302.0
4	33	1346.5	1177.638888888889	4.0	0.0	4.0	2.0	72.0	0.0	52.0	20.0
4	36	1910.6160458452723	1360.3352435530087	9.0	4.0	8.0	4.0	698.0	72.0	214.0	412.0
