Brightness	Occurrences
3.0	50
2.0	46
19.0	35
30.0	33
24.0	31
18.0	22
12.0	19
81.0	19
13.0	17
49.0	16
57.0	15
25.0	15
64.0	14
80.0	14
48.0	13
56.0	12
72.0	12
73.0	12
97.0	12
65.0	9
31.0	8
4.0	8
112.0	7
120.0	7
6.0	6
52.0	6
105.0	6
36.0	6
96.0	6
113.0	5
89.0	5
33.0	4
248.0	4
44.0	4
10.0	4
136.0	4
9.0	4
192.0	3
82.0	3
88.0	3
154.0	3
40.0	3
84.0	3
92.0	3
32.0	3
129.0	3
156.0	3
165.0	3
58.0	3
119.0	2
181.0	2
212.0	2
204.0	2
7.0	2
277.0	2
90.0	2
214.0	2
305.0	2
117.0	2
148.0	2
330.0	2
122.0	2
94.0	2
228.0	2
168.0	2
210.0	2
14.0	2
220.0	2
343.0	2
59.0	2
232.0	2
103.0	2
161.0	2
135.0	2
60.0	2
38.0	2
428.0	2
106.0	2
250.0	2
26.0	2
140.0	1
308.0	1
236.0	1
68.0	1
211.0	1
79.0	1
292.0	1
144.0	1
107.0	1
186.0	1
133.0	1
37.0	1
535.0	1
152.0	1
45.0	1
450.0	1
95.0	1
51.0	1
130.0	1
123.0	1
392.0	1
169.0	1
132.0	1
17.0	1
127.0	1
240.0	1
76.0	1
28.0	1
21.0	1
54.0	1
633.0	1
226.0	1
146.0	1
41.0	1
121.0	1
438.0	1
147.0	1
281.0	1
53.0	1
55.0	1
297.0	1
87.0	1
102.0	1
