Brightness	Occurrences
284.0	15
457.0	10
479.0	9
780.0	9
267.0	8
134.0	8
383.0	8
483.0	7
650.0	7
598.0	7
263.0	7
397.0	7
580.0	6
972.0	6
288.0	6
588.0	6
294.0	6
387.0	6
634.0	6
519.0	6
279.0	6
341.0	6
584.0	6
364.0	6
539.0	6
217.0	5
597.0	5
64.0	5
517.0	5
989.0	5
451.0	5
333.0	5
230.0	5
504.0	5
498.0	5
601.0	5
555.0	5
138.0	5
500.0	5
292.0	5
1017.0	4
937.0	4
356.0	4
188.0	4
856.0	4
408.0	4
662.0	4
510.0	4
716.0	4
277.0	4
658.0	4
753.0	4
492.0	4
171.0	4
782.0	4
573.0	4
389.0	4
712.0	4
904.0	4
535.0	4
460.0	4
925.0	4
275.0	4
816.0	4
521.0	4
213.0	4
485.0	4
765.0	4
547.0	3
260.0	3
381.0	3
163.0	3
844.0	3
740.0	3
455.0	3
617.0	3
873.0	3
908.0	3
608.0	3
686.0	3
801.0	3
860.0	3
1104.0	3
916.0	3
684.0	3
319.0	3
351.0	3
494.0	3
671.0	3
252.0	3
1257.0	3
478.0	3
877.0	3
475.0	3
209.0	3
980.0	3
574.0	3
666.0	3
370.0	3
968.0	3
997.0	3
654.0	3
660.0	3
992.0	3
506.0	3
459.0	3
577.0	3
814.0	3
626.0	3
243.0	3
540.0	3
820.0	3
385.0	3
162.0	2
347.0	2
1292.0	2
698.0	2
960.0	2
838.0	2
339.0	2
1684.0	2
72.0	2
1073.0	2
531.0	2
249.0	2
273.0	2
558.0	2
1029.0	2
513.0	2
1052.0	2
124.0	2
578.0	2
509.0	2
436.0	2
921.0	2
226.0	2
291.0	2
468.0	2
1092.0	2
638.0	2
218.0	2
730.0	2
670.0	2
832.0	2
496.0	2
232.0	2
649.0	2
798.0	2
416.0	2
1206.0	2
367.0	2
774.0	2
822.0	2
1149.0	2
821.0	2
234.0	2
797.0	2
1248.0	2
1304.0	2
388.0	2
518.0	2
602.0	2
729.0	2
733.0	2
1676.0	2
585.0	2
734.0	2
1233.0	2
1001.0	2
502.0	2
808.0	2
1025.0	2
813.0	2
644.0	2
1129.0	2
1147.0	2
390.0	2
770.0	2
379.0	2
785.0	2
643.0	2
287.0	2
342.0	2
542.0	2
438.0	2
290.0	2
994.0	2
424.0	2
181.0	2
1240.0	2
402.0	2
200.0	2
241.0	2
1611.0	2
329.0	2
28.0	2
599.0	2
1150.0	2
741.0	2
20.0	2
1016.0	2
743.0	2
892.0	2
1253.0	2
525.0	2
970.0	2
572.0	2
720.0	2
309.0	2
537.0	2
186.0	2
563.0	2
1005.0	2
739.0	2
991.0	2
393.0	2
1241.0	2
371.0	2
258.0	2
541.0	2
561.0	2
1141.0	2
302.0	2
526.0	2
464.0	2
362.0	2
728.0	1
60.0	1
1348.0	1
1197.0	1
1352.0	1
859.0	1
417.0	1
511.0	1
708.0	1
108.0	1
426.0	1
818.0	1
875.0	1
614.0	1
864.0	1
825.0	1
119.0	1
674.0	1
179.0	1
172.0	1
594.0	1
534.0	1
484.0	1
881.0	1
488.0	1
812.0	1
1224.0	1
1032.0	1
306.0	1
1065.0	1
474.0	1
235.0	1
559.0	1
405.0	1
490.0	1
312.0	1
926.0	1
368.0	1
1048.0	1
570.0	1
298.0	1
1081.0	1
167.0	1
809.0	1
532.0	1
201.0	1
310.0	1
652.0	1
857.0	1
359.0	1
619.0	1
1113.0	1
1069.0	1
664.0	1
683.0	1
862.0	1
482.0	1
391.0	1
522.0	1
445.0	1
655.0	1
363.0	1
68.0	1
920.0	1
487.0	1
1182.0	1
373.0	1
946.0	1
625.0	1
836.0	1
512.0	1
615.0	1
449.0	1
523.0	1
404.0	1
1312.0	1
1112.0	1
675.0	1
1162.0	1
784.0	1
407.0	1
332.0	1
88.0	1
582.0	1
952.0	1
1133.0	1
420.0	1
335.0	1
778.0	1
52.0	1
551.0	1
1145.0	1
607.0	1
874.0	1
543.0	1
415.0	1
568.0	1
268.0	1
858.0	1
945.0	1
44.0	1
30.0	1
646.0	1
590.0	1
480.0	1
56.0	1
427.0	1
1211.0	1
414.0	1
50.0	1
1116.0	1
493.0	1
245.0	1
1242.0	1
489.0	1
515.0	1
1044.0	1
62.0	1
562.0	1
61.0	1
755.0	1
314.0	1
1222.0	1
2039.0	1
1102.0	1
1042.0	1
184.0	1
1195.0	1
430.0	1
442.0	1
242.0	1
428.0	1
