Brightness	Occurrences
7.0	38
8.0	27
72.0	24
30.0	22
4.0	22
100.0	21
48.0	20
104.0	20
84.0	19
88.0	18
3.0	18
80.0	17
124.0	17
64.0	16
2.0	15
33.0	15
5.0	15
76.0	14
96.0	14
9.0	13
112.0	13
6.0	11
144.0	11
92.0	11
60.0	11
140.0	11
52.0	11
196.0	10
164.0	9
172.0	9
160.0	9
152.0	9
384.0	9
116.0	9
460.0	9
132.0	8
464.0	8
440.0	8
168.0	8
56.0	8
572.0	8
128.0	7
148.0	7
216.0	7
108.0	7
496.0	5
484.0	5
224.0	5
120.0	5
68.0	5
18.0	5
684.0	5
548.0	4
480.0	4
156.0	4
380.0	4
188.0	4
180.0	4
500.0	4
184.0	4
504.0	4
492.0	4
716.0	3
436.0	3
176.0	3
808.0	3
576.0	3
376.0	3
136.0	3
700.0	3
372.0	3
824.0	3
44.0	3
488.0	3
208.0	3
552.0	3
192.0	3
680.0	3
612.0	2
264.0	2
920.0	2
536.0	2
696.0	2
50.0	2
16.0	2
432.0	2
524.0	2
448.0	2
560.0	2
476.0	2
83.0	2
804.0	2
472.0	2
316.0	2
79.0	2
936.0	2
728.0	2
468.0	2
304.0	2
648.0	2
688.0	2
656.0	2
244.0	2
212.0	2
676.0	2
153.0	2
368.0	2
644.0	2
1028.0	2
404.0	1
796.0	1
10.0	1
564.0	1
456.0	1
386.0	1
568.0	1
508.0	1
70.0	1
792.0	1
528.0	1
204.0	1
992.0	1
768.0	1
784.0	1
1020.0	1
544.0	1
125.0	1
