Brightness	Occurrences
2.0	44
4.0	42
7.0	38
6.0	36
10.0	35
3.0	31
19.0	26
5.0	25
15.0	25
13.0	24
20.0	19
18.0	18
21.0	18
132.0	17
272.0	17
30.0	15
27.0	15
124.0	14
280.0	14
252.0	14
26.0	13
168.0	13
9.0	13
29.0	13
11.0	13
520.0	12
25.0	12
8.0	12
14.0	11
16.0	11
148.0	11
128.0	10
296.0	10
380.0	10
496.0	10
136.0	10
600.0	9
304.0	9
204.0	9
440.0	9
256.0	9
400.0	9
24.0	9
22.0	9
236.0	9
284.0	9
420.0	8
332.0	8
160.0	8
408.0	8
328.0	7
316.0	7
156.0	7
324.0	7
212.0	7
472.0	7
268.0	7
164.0	7
424.0	6
126.0	6
404.0	6
532.0	6
476.0	6
264.0	6
468.0	6
444.0	5
652.0	5
524.0	5
484.0	5
42.0	5
584.0	5
396.0	5
548.0	5
32.0	5
452.0	5
244.0	5
344.0	5
744.0	5
504.0	4
322.0	4
756.0	4
382.0	4
184.0	4
700.0	4
228.0	4
276.0	4
696.0	4
764.0	4
144.0	4
200.0	4
632.0	4
616.0	4
592.0	4
188.0	4
290.0	4
398.0	4
412.0	4
23.0	4
708.0	4
17.0	4
224.0	4
508.0	4
288.0	4
556.0	4
208.0	4
196.0	3
530.0	3
928.0	3
688.0	3
676.0	3
664.0	3
340.0	3
432.0	3
146.0	3
392.0	3
352.0	3
292.0	3
644.0	3
140.0	3
728.0	3
772.0	3
438.0	3
684.0	3
732.0	3
668.0	3
720.0	3
378.0	3
364.0	3
716.0	3
466.0	3
216.0	3
220.0	3
736.0	3
50.0	3
448.0	3
428.0	3
596.0	3
752.0	3
416.0	3
54.0	3
152.0	3
12.0	3
456.0	3
480.0	3
544.0	3
134.0	3
624.0	3
656.0	3
848.0	2
660.0	2
31.0	2
492.0	2
602.0	2
768.0	2
172.0	2
138.0	2
488.0	2
896.0	2
552.0	2
500.0	2
828.0	2
180.0	2
948.0	2
470.0	2
176.0	2
442.0	2
578.0	2
436.0	2
338.0	2
924.0	2
40.0	2
240.0	2
38.0	2
248.0	2
804.0	2
358.0	2
310.0	2
784.0	2
366.0	2
612.0	2
944.0	2
166.0	2
28.0	2
320.0	2
920.0	2
692.0	2
1024.0	2
916.0	2
356.0	2
58.0	2
820.0	2
960.0	2
460.0	2
854.0	2
464.0	2
560.0	2
840.0	2
417.0	2
170.0	2
522.0	2
302.0	2
576.0	2
748.0	2
812.0	2
856.0	2
564.0	2
568.0	2
514.0	2
672.0	2
402.0	1
796.0	1
904.0	1
588.0	1
410.0	1
372.0	1
808.0	1
490.0	1
536.0	1
860.0	1
346.0	1
362.0	1
636.0	1
94.0	1
824.0	1
232.0	1
604.0	1
870.0	1
370.0	1
776.0	1
800.0	1
308.0	1
158.0	1
562.0	1
326.0	1
958.0	1
1020.0	1
70.0	1
852.0	1
654.0	1
516.0	1
194.0	1
528.0	1
434.0	1
334.0	1
350.0	1
300.0	1
620.0	1
780.0	1
498.0	1
888.0	1
330.0	1
655.0	1
494.0	1
368.0	1
222.0	1
87.0	1
844.0	1
360.0	1
