Brightness	Occurrences
3.0	63
2.0	45
19.0	39
18.0	31
24.0	29
30.0	29
236.0	27
200.0	27
13.0	21
12.0	21
148.0	19
81.0	18
204.0	18
64.0	17
57.0	17
49.0	16
80.0	16
48.0	15
25.0	15
72.0	15
192.0	15
172.0	14
73.0	13
97.0	13
112.0	12
56.0	12
65.0	11
6.0	11
248.0	10
180.0	10
120.0	8
276.0	8
96.0	8
288.0	8
88.0	8
156.0	8
256.0	8
31.0	8
332.0	8
300.0	7
168.0	7
105.0	7
308.0	7
4.0	7
36.0	7
272.0	7
152.0	7
164.0	6
33.0	6
240.0	6
296.0	6
144.0	6
284.0	6
165.0	6
92.0	6
60.0	6
132.0	5
40.0	5
89.0	5
104.0	5
113.0	5
8.0	5
10.0	5
52.0	5
216.0	5
244.0	5
84.0	5
340.0	5
32.0	4
188.0	4
140.0	4
161.0	4
100.0	4
108.0	4
344.0	4
356.0	3
184.0	3
154.0	3
136.0	3
82.0	3
117.0	3
228.0	3
68.0	3
160.0	3
58.0	3
292.0	3
129.0	3
232.0	3
277.0	3
324.0	3
121.0	3
28.0	2
55.0	2
384.0	2
212.0	2
45.0	2
90.0	2
116.0	2
460.0	2
214.0	2
27.0	2
77.0	2
128.0	2
44.0	2
122.0	2
9.0	2
289.0	2
94.0	2
330.0	2
305.0	2
145.0	2
250.0	2
181.0	2
103.0	2
343.0	2
336.0	2
119.0	2
280.0	2
26.0	2
320.0	2
14.0	2
135.0	2
352.0	2
38.0	2
106.0	2
74.0	2
76.0	2
7.0	2
268.0	2
428.0	2
210.0	2
5.0	1
342.0	1
23.0	1
51.0	1
193.0	1
79.0	1
217.0	1
304.0	1
107.0	1
186.0	1
450.0	1
211.0	1
368.0	1
176.0	1
535.0	1
146.0	1
196.0	1
95.0	1
130.0	1
109.0	1
123.0	1
392.0	1
224.0	1
252.0	1
169.0	1
328.0	1
127.0	1
59.0	1
404.0	1
21.0	1
54.0	1
281.0	1
633.0	1
189.0	1
208.0	1
226.0	1
147.0	1
35.0	1
41.0	1
438.0	1
348.0	1
53.0	1
87.0	1
102.0	1
