Brightness	Occurrences
6.0	39
7.0	36
8.0	27
4.0	26
30.0	26
72.0	25
84.0	24
100.0	24
80.0	24
9.0	23
64.0	23
2.0	23
96.0	22
124.0	21
3.0	21
48.0	19
132.0	18
160.0	18
196.0	18
88.0	18
140.0	17
104.0	17
33.0	17
76.0	16
440.0	16
164.0	16
68.0	15
60.0	15
112.0	14
52.0	14
268.0	13
144.0	13
184.0	13
14.0	12
128.0	12
148.0	12
244.0	12
92.0	11
172.0	11
276.0	10
236.0	10
328.0	10
156.0	9
168.0	9
116.0	9
460.0	9
324.0	9
5.0	9
264.0	9
152.0	9
384.0	9
420.0	8
464.0	8
400.0	8
572.0	8
108.0	8
56.0	8
208.0	8
204.0	8
444.0	8
372.0	7
136.0	7
592.0	7
240.0	7
256.0	7
216.0	7
232.0	7
768.0	6
188.0	6
288.0	6
18.0	6
224.0	6
296.0	6
120.0	6
280.0	6
656.0	6
292.0	6
312.0	6
248.0	6
200.0	6
212.0	6
548.0	6
408.0	6
376.0	5
644.0	5
332.0	5
360.0	5
180.0	5
260.0	5
536.0	5
484.0	5
496.0	5
648.0	5
436.0	5
684.0	5
176.0	5
336.0	4
616.0	4
504.0	4
480.0	4
252.0	4
600.0	4
344.0	4
348.0	4
500.0	4
560.0	4
508.0	4
380.0	4
628.0	4
492.0	4
388.0	4
580.0	4
472.0	4
584.0	3
272.0	3
404.0	3
808.0	3
576.0	3
432.0	3
716.0	3
368.0	3
636.0	3
448.0	3
392.0	3
680.0	3
192.0	3
552.0	3
700.0	3
488.0	3
44.0	3
720.0	3
824.0	3
728.0	3
555.0	2
920.0	2
220.0	2
16.0	2
308.0	2
12.0	2
364.0	2
412.0	2
524.0	2
696.0	2
476.0	2
356.0	2
83.0	2
804.0	2
544.0	2
668.0	2
740.0	2
596.0	2
612.0	2
1012.0	2
652.0	2
640.0	2
936.0	2
676.0	2
316.0	2
660.0	2
756.0	2
153.0	2
540.0	2
688.0	2
704.0	2
320.0	2
1020.0	2
744.0	2
1028.0	2
304.0	2
79.0	2
452.0	2
468.0	1
40.0	1
456.0	1
896.0	1
70.0	1
568.0	1
11.0	1
564.0	1
516.0	1
125.0	1
556.0	1
284.0	1
792.0	1
672.0	1
992.0	1
424.0	1
67.0	1
796.0	1
784.0	1
340.0	1
352.0	1
880.0	1
748.0	1
588.0	1
512.0	1
528.0	1
386.0	1
520.0	1
860.0	1
651.0	1
