#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	18	2250.5	795.5	4.0	0.0	4.0	0.0	256.0	0.0	256.0	0.0
0	36	155.5	1408.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
0	37	1372.6852173913044	1432.5730434782608	11.0	4.0	10.0	4.0	1150.0	172.0	210.0	768.0
0	47	642.7180156657963	1692.7127937336816	9.0	4.0	7.0	6.0	1149.0	196.0	97.0	856.0
0	53	1585.5	1790.4186046511627	4.0	2.0	4.0	0.0	86.0	14.0	72.0	0.0
0	54	1999.5	1808.5	4.0	0.0	4.0	0.0	308.0	0.0	308.0	0.0
0	59	2390.703273495248	1932.702217529039	9.0	4.0	7.0	4.0	947.0	156.0	74.0	716.0
1	18	2250.5	795.5	4.0	0.0	4.0	0.0	256.0	0.0	256.0	0.0
1	36	155.5	1408.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
1	37	1372.6852173913044	1432.5730434782608	11.0	4.0	10.0	4.0	1150.0	172.0	210.0	768.0
1	47	642.7180156657963	1692.7127937336816	9.0	4.0	7.0	6.0	1149.0	196.0	97.0	856.0
1	53	1585.5	1790.4186046511627	4.0	2.0	4.0	0.0	86.0	14.0	72.0	0.0
1	54	1999.5	1808.5	4.0	0.0	4.0	0.0	308.0	0.0	308.0	0.0
1	59	2390.703273495248	1932.702217529039	9.0	4.0	7.0	4.0	947.0	156.0	74.0	716.0
2	13	1940.689608636977	840.689608636977	9.0	4.0	7.0	4.0	741.0	116.0	49.0	576.0
2	35	1906.5	1405.2131147540983	6.0	0.0	4.0	4.0	488.0	0.0	348.0	140.0
2	46	2380.5	1767.5	4.0	0.0	4.0	0.0	264.0	0.0	264.0	0.0
2	55	1770.5	2011.5	4.0	0.0	4.0	0.0	180.0	0.0	180.0	0.0
3	2	126.50180505415162	105.50180505415162	4.0	0.0	4.0	0.0	277.0	0.0	277.0	0.0
3	35	802.5	1375.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
3	36	1456.7046025104603	1406.660251046025	11.0	4.0	10.0	6.0	1195.0	196.0	129.0	870.0
3	43	2150.5	1681.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
3	54	1940.665154264973	2030.4718693284933	11.0	4.0	10.0	6.0	1102.0	144.0	281.0	676.0
4	30	267.4925373134328	1146.5	4.0	0.0	4.0	2.0	268.0	0.0	264.0	4.0
4	36	1910.6160458452723	1360.3352435530087	9.0	4.0	8.0	4.0	698.0	72.0	214.0	412.0
4	52	1836.6622807017543	1752.5701754385964	9.0	4.0	8.0	4.0	684.0	96.0	90.0	496.0
4	57	2276.694117647058	1920.6941176470589	9.0	4.0	7.0	4.0	765.0	124.0	49.0	592.0
4	58	1572.4857142857145	1921.5142857142855	4.0	0.0	4.0	0.0	35.0	0.0	33.0	0.0
5	30	267.4925373134328	1146.5	4.0	0.0	4.0	2.0	268.0	0.0	264.0	4.0
5	36	1910.6160458452723	1360.3352435530087	9.0	4.0	8.0	4.0	698.0	72.0	214.0	412.0
5	52	1836.6622807017543	1752.5701754385964	9.0	4.0	8.0	4.0	684.0	96.0	90.0	496.0
5	57	2276.694117647058	1920.6941176470589	9.0	4.0	7.0	4.0	765.0	124.0	49.0	592.0
5	58	1572.4857142857145	1921.5142857142855	4.0	0.0	4.0	0.0	35.0	0.0	33.0	0.0
6	22	2160.5	899.5	4.0	0.0	4.0	0.0	152.0	0.0	152.0	0.0
6	25	792.682962962963	976.682962962963	7.0	4.0	5.0	4.0	675.0	108.0	31.0	536.0
6	34	842.5	1165.5	4.0	0.0	4.0	0.0	180.0	0.0	180.0	0.0
6	48	929.4923076923076	1658.5	4.0	0.0	4.0	2.0	260.0	0.0	256.0	4.0
6	61	1595.5	1972.5	4.0	0.0	4.0	0.0	288.0	0.0	288.0	0.0
7	15	1132.5	747.5	4.0	0.0	4.0	0.0	264.0	0.0	264.0	0.0
7	31	2021.5	1116.5	4.0	0.0	4.0	0.0	340.0	0.0	340.0	0.0
7	32	1160.7074626865672	1174.7074626865672	9.0	4.0	7.0	4.0	1005.0	168.0	81.0	756.0
7	39	1219.5	1268.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
7	40	1546.651865008881	1292.5808170515097	9.0	4.0	8.0	4.0	563.0	76.0	59.0	428.0
7	49	442.5	1545.5068493150684	4.0	0.0	4.0	2.0	292.0	0.0	288.0	4.0
7	55	906.5	1693.5074626865671	4.0	0.0	4.0	2.0	268.0	0.0	264.0	4.0
8	5	1761.4864864864865	242.51351351351352	4.0	0.0	4.0	0.0	37.0	0.0	37.0	0.0
8	7	306.7398568019093	248.92840095465397	9.0	4.0	7.0	5.0	1676.0	304.0	428.0	944.0
