Brightness	Occurrences
4.0	39
8.0	10
2.0	5
584.0	5
42.0	5
252.0	5
744.0	5
496.0	5
756.0	4
32.0	4
764.0	4
592.0	4
256.0	3
684.0	3
408.0	3
664.0	3
196.0	3
382.0	3
752.0	3
668.0	3
576.0	3
676.0	3
688.0	3
928.0	3
532.0	3
544.0	3
578.0	2
856.0	2
417.0	2
128.0	2
268.0	2
184.0	2
848.0	2
924.0	2
340.0	2
14.0	2
768.0	2
6.0	2
188.0	2
40.0	2
672.0	2
170.0	2
564.0	2
240.0	2
508.0	2
488.0	2
404.0	2
296.0	2
176.0	2
216.0	2
568.0	2
288.0	2
248.0	2
696.0	2
716.0	2
896.0	2
412.0	2
164.0	2
944.0	2
632.0	2
492.0	2
24.0	2
12.0	2
328.0	2
13.0	2
272.0	2
692.0	2
420.0	2
772.0	2
522.0	2
840.0	2
854.0	2
316.0	2
720.0	2
52.0	2
748.0	2
1024.0	2
264.0	1
280.0	1
132.0	1
308.0	1
204.0	1
530.0	1
124.0	1
364.0	1
456.0	1
10.0	1
20.0	1
888.0	1
448.0	1
232.0	1
528.0	1
392.0	1
828.0	1
140.0	1
870.0	1
536.0	1
428.0	1
396.0	1
224.0	1
310.0	1
958.0	1
860.0	1
844.0	1
520.0	1
9.0	1
616.0	1
304.0	1
70.0	1
444.0	1
1020.0	1
148.0	1
324.0	1
588.0	1
852.0	1
326.0	1
168.0	1
600.0	1
624.0	1
