Brightness	Occurrences
72.0	54
236.0	29
200.0	27
136.0	25
204.0	22
152.0	21
184.0	19
81.0	19
180.0	17
49.0	16
256.0	15
264.0	15
172.0	14
248.0	13
97.0	13
65.0	11
300.0	11
216.0	9
288.0	8
276.0	8
332.0	8
31.0	8
272.0	7
344.0	7
280.0	7
105.0	7
308.0	7
165.0	6
33.0	6
284.0	6
296.0	6
113.0	5
340.0	5
244.0	5
161.0	4
320.0	4
348.0	4
58.0	3
277.0	3
356.0	3
37.0	3
154.0	3
82.0	3
388.0	3
129.0	3
121.0	3
324.0	3
94.0	2
360.0	2
305.0	2
384.0	2
55.0	2
460.0	2
289.0	2
77.0	2
330.0	2
122.0	2
106.0	2
250.0	2
181.0	2
210.0	2
27.0	2
158.0	2
74.0	2
352.0	2
90.0	2
336.0	2
428.0	2
145.0	2
38.0	2
214.0	2
135.0	2
103.0	2
343.0	2
59.0	2
119.0	2
79.0	1
23.0	1
342.0	1
193.0	1
127.0	1
217.0	1
450.0	1
130.0	1
107.0	1
186.0	1
109.0	1
169.0	1
211.0	1
133.0	1
123.0	1
368.0	1
535.0	1
53.0	1
95.0	1
87.0	1
281.0	1
328.0	1
404.0	1
54.0	1
137.0	1
633.0	1
189.0	1
226.0	1
146.0	1
35.0	1
41.0	1
438.0	1
51.0	1
147.0	1
297.0	1
102.0	1
