Brightness	Occurrences
72.0	31
200.0	20
236.0	20
136.0	19
184.0	16
204.0	15
172.0	14
264.0	14
152.0	13
180.0	10
332.0	10
288.0	9
284.0	8
308.0	8
272.0	6
300.0	6
248.0	6
188.0	6
296.0	6
256.0	6
348.0	6
276.0	5
989.0	5
216.0	5
280.0	5
268.0	5
260.0	5
340.0	5
76.0	4
904.0	4
304.0	4
320.0	4
753.0	4
324.0	4
765.0	4
278.0	4
1017.0	4
252.0	4
344.0	4
244.0	4
997.0	3
873.0	3
242.0	3
916.0	3
686.0	3
388.0	3
212.0	3
877.0	3
1257.0	3
558.0	3
908.0	3
228.0	3
35.0	3
671.0	3
249.0	2
291.0	2
597.0	2
1684.0	2
273.0	2
375.0	2
480.0	2
1001.0	2
281.0	2
270.0	2
992.0	2
86.0	2
384.0	2
161.0	2
1233.0	2
1241.0	2
524.0	2
947.0	2
360.0	2
733.0	2
371.0	2
1149.0	2
1016.0	2
287.0	2
158.0	2
286.0	2
560.0	2
322.0	2
734.0	2
798.0	2
1253.0	2
730.0	2
208.0	2
1206.0	2
743.0	2
1141.0	2
283.0	2
1150.0	2
479.0	2
206.0	2
729.0	2
1029.0	2
739.0	2
123.0	2
1611.0	2
104.0	2
356.0	2
277.0	2
404.0	2
822.0	2
220.0	2
698.0	2
608.0	2
1147.0	2
1129.0	2
684.0	2
599.0	2
336.0	2
660.0	2
1025.0	2
328.0	2
991.0	2
892.0	2
379.0	2
1005.0	2
145.0	2
352.0	2
37.0	2
741.0	2
1676.0	2
540.0	2
282.0	1
728.0	1
83.0	1
193.0	1
1195.0	1
458.0	1
622.0	1
368.0	1
1197.0	1
306.0	1
561.0	1
346.0	1
625.0	1
114.0	1
533.0	1
634.0	1
1352.0	1
750.0	1
563.0	1
292.0	1
614.0	1
825.0	1
674.0	1
137.0	1
179.0	1
483.0	1
1102.0	1
820.0	1
362.0	1
881.0	1
512.0	1
1211.0	1
478.0	1
109.0	1
675.0	1
189.0	1
2039.0	1
1133.0	1
314.0	1
755.0	1
579.0	1
347.0	1
370.0	1
335.0	1
626.0	1
210.0	1
652.0	1
1113.0	1
683.0	1
154.0	1
920.0	1
391.0	1
246.0	1
1042.0	1
240.0	1
1312.0	1
97.0	1
351.0	1
96.0	1
945.0	1
383.0	1
337.0	1
415.0	1
1162.0	1
407.0	1
178.0	1
165.0	1
1145.0	1
144.0	1
488.0	1
1222.0	1
492.0	1
506.0	1
289.0	1
192.0	1
814.0	1
