Brightness	Occurrences
7.0	42
6.0	37
10.0	29
19.0	26
15.0	25
3.0	23
4.0	22
13.0	20
21.0	19
18.0	19
5.0	17
16.0	16
20.0	16
29.0	13
124.0	13
26.0	13
25.0	12
9.0	12
496.0	10
11.0	10
24.0	9
22.0	9
8.0	9
27.0	9
132.0	9
520.0	8
2.0	6
156.0	6
30.0	6
126.0	6
148.0	6
128.0	6
548.0	5
136.0	5
14.0	5
17.0	5
584.0	5
756.0	4
504.0	4
23.0	4
144.0	4
556.0	4
508.0	4
164.0	4
668.0	3
220.0	3
676.0	3
134.0	3
576.0	3
12.0	3
168.0	3
146.0	3
664.0	3
672.0	2
578.0	2
568.0	2
752.0	2
564.0	2
552.0	2
420.0	2
28.0	2
382.0	2
50.0	2
138.0	2
31.0	2
176.0	2
166.0	2
440.0	2
812.0	2
748.0	2
408.0	2
58.0	2
514.0	2
140.0	2
160.0	2
944.0	2
500.0	2
1024.0	2
916.0	2
492.0	2
316.0	2
522.0	2
560.0	2
170.0	2
194.0	1
152.0	1
204.0	1
222.0	1
824.0	1
396.0	1
188.0	1
808.0	1
158.0	1
216.0	1
562.0	1
888.0	1
498.0	1
368.0	1
494.0	1
1020.0	1
516.0	1
184.0	1
180.0	1
196.0	1
