Brightness	Occurrences
334.0	9
415.0	8
187.0	8
96.0	8
397.0	7
479.0	7
236.0	7
598.0	7
270.0	7
440.0	7
458.0	7
232.0	7
650.0	7
423.0	6
436.0	6
338.0	6
207.0	6
262.0	6
266.0	6
483.0	6
402.0	6
517.0	5
295.0	5
992.0	5
112.0	5
241.0	5
285.0	5
275.0	5
299.0	5
253.0	5
504.0	5
274.0	5
304.0	5
924.0	5
279.0	5
634.0	4
287.0	4
753.0	4
98.0	4
716.0	4
215.0	4
573.0	4
712.0	4
645.0	4
462.0	4
303.0	4
500.0	4
251.0	4
346.0	4
780.0	4
283.0	4
359.0	4
255.0	4
460.0	4
321.0	4
816.0	4
312.0	4
258.0	4
521.0	4
892.0	4
387.0	4
128.0	3
611.0	3
617.0	3
389.0	3
249.0	3
1240.0	3
542.0	3
248.0	3
224.0	3
608.0	3
972.0	3
385.0	3
205.0	3
106.0	3
560.0	3
243.0	3
873.0	3
877.0	3
657.0	3
666.0	3
226.0	3
772.0	3
577.0	3
455.0	3
768.0	3
530.0	3
322.0	2
470.0	2
72.0	2
381.0	2
1684.0	2
419.0	2
510.0	2
743.0	2
643.0	2
186.0	2
1029.0	2
788.0	2
457.0	2
644.0	2
463.0	2
547.0	2
730.0	2
117.0	2
451.0	2
585.0	2
649.0	2
496.0	2
605.0	2
342.0	2
776.0	2
302.0	2
1206.0	2
741.0	2
307.0	2
587.0	2
838.0	2
223.0	2
628.0	2
615.0	2
518.0	2
602.0	2
525.0	2
729.0	2
733.0	2
1232.0	2
844.0	2
1092.0	2
684.0	2
277.0	2
344.0	2
866.0	2
1676.0	2
466.0	2
526.0	2
814.0	2
148.0	2
774.0	2
808.0	2
669.0	2
782.0	2
391.0	2
289.0	2
630.0	2
484.0	2
607.0	2
626.0	2
438.0	2
509.0	2
535.0	2
513.0	2
339.0	2
564.0	2
367.0	2
820.0	2
459.0	2
453.0	2
638.0	2
1611.0	2
572.0	2
1241.0	2
380.0	2
625.0	2
561.0	2
494.0	2
798.0	2
720.0	2
472.0	2
991.0	2
888.0	2
796.0	2
1001.0	2
100.0	2
832.0	2
329.0	2
660.0	2
770.0	2
485.0	2
997.0	2
970.0	2
740.0	2
1005.0	2
994.0	2
1348.0	1
708.0	1
306.0	1
556.0	1
590.0	1
417.0	1
812.0	1
818.0	1
570.0	1
1352.0	1
211.0	1
779.0	1
153.0	1
323.0	1
583.0	1
474.0	1
264.0	1
538.0	1
825.0	1
1104.0	1
674.0	1
594.0	1
534.0	1
881.0	1
1197.0	1
545.0	1
448.0	1
864.0	1
1081.0	1
872.0	1
875.0	1
204.0	1
234.0	1
926.0	1
622.0	1
288.0	1
276.0	1
447.0	1
511.0	1
619.0	1
219.0	1
119.0	1
1102.0	1
145.0	1
489.0	1
1242.0	1
352.0	1
912.0	1
196.0	1
862.0	1
544.0	1
324.0	1
652.0	1
800.0	1
541.0	1
487.0	1
1182.0	1
952.0	1
467.0	1
330.0	1
908.0	1
203.0	1
946.0	1
836.0	1
152.0	1
121.0	1
449.0	1
755.0	1
2039.0	1
1042.0	1
431.0	1
206.0	1
442.0	1
569.0	1
308.0	1
646.0	1
1064.0	1
896.0	1
874.0	1
1084.0	1
551.0	1
189.0	1
427.0	1
1116.0	1
424.0	1
350.0	1
493.0	1
475.0	1
960.0	1
1040.0	1
492.0	1
374.0	1
170.0	1
658.0	1
345.0	1
158.0	1
