#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	12	2146.5821727019497	636.5877437325905	6.0	3.0	2.0	4.0	359.0	33.0	6.0	316.0
0	28	1001.512987012987	1465.512987012987	4.0	4.0	0.0	1.0	308.0	300.0	0.0	8.0
1	12	2146.5821727019497	636.5877437325905	6.0	3.0	2.0	4.0	359.0	33.0	6.0	316.0
1	28	1001.512987012987	1465.512987012987	4.0	4.0	0.0	1.0	308.0	300.0	0.0	8.0
2	9	1713.521850899743	575.5115681233933	4.0	4.0	0.0	2.0	389.0	372.0	0.0	17.0
2	13	2092.673765730881	928.3339787028074	13.0	7.0	7.0	8.0	1033.0	149.0	64.0	820.0
2	15	360.1666666666667	1309.8333333333333	7.0	0.0	7.0	0.0	192.0	0.0	192.0	0.0
2	27	1844.0258064516129	1732.0258064516129	7.0	5.0	0.0	4.0	310.0	150.0	0.0	160.0
3	12	1471.5060240963855	683.5060240963855	4.0	4.0	0.0	1.0	166.0	164.0	0.0	2.0
3	15	1666.6974169741698	934.6974169741698	9.0	4.0	7.0	4.0	813.0	132.0	57.0	624.0
3	18	2410.6647564469918	1090.5845272206304	9.0	4.0	8.0	4.0	698.0	100.0	86.0	512.0
3	21	653.5187637969095	1349.5187637969095	4.0	4.0	0.0	1.0	453.0	436.0	0.0	17.0
3	26	1138.6462264150944	1708.6462264150944	7.0	4.0	5.0	4.0	424.0	56.0	12.0	356.0
3	28	849.6625615763547	1783.6625615763546	7.0	4.0	0.0	4.0	812.0	680.0	0.0	132.0
4	13	693.5061224489796	465.5265306122449	4.0	4.0	2.0	1.0	245.0	232.0	10.0	3.0
4	16	651.52	733.52	4.0	4.0	0.0	1.0	500.0	480.0	0.0	20.0
4	20	2201.5102040816328	791.091156462585	6.0	4.0	4.0	1.0	735.0	412.0	308.0	15.0
4	43	514.6677966101695	1706.6694915254238	7.0	4.0	5.0	4.0	590.0	88.0	25.0	476.0
4	46	1985.5170603674544	1867.5170603674544	4.0	4.0	0.0	1.0	381.0	368.0	0.0	13.0
4	47	1541.0	1907.0	1.0	0.0	0.0	1.0	31.0	0.0	0.0	30.0
4	50	1346.5074626865671	2000.5074626865671	4.0	1.0	0.0	4.0	134.0	2.0	0.0	132.0
5	13	693.5061224489796	465.5265306122449	4.0	4.0	2.0	1.0	245.0	232.0	10.0	3.0
5	16	651.52	733.52	4.0	4.0	0.0	1.0	500.0	480.0	0.0	20.0
5	20	2201.5102040816328	791.091156462585	6.0	4.0	4.0	1.0	735.0	412.0	308.0	15.0
5	43	514.6677966101695	1706.6694915254238	7.0	4.0	5.0	4.0	590.0	88.0	25.0	476.0
5	46	1985.5170603674544	1867.5170603674544	4.0	4.0	0.0	1.0	381.0	368.0	0.0	13.0
5	47	1541.0	1907.0	1.0	0.0	0.0	1.0	31.0	0.0	0.0	30.0
5	50	1346.5074626865671	2000.5074626865671	4.0	1.0	0.0	4.0	134.0	2.0	0.0	132.0
6	16	48.664739884393065	1034.6647398843932	7.0	4.0	5.0	4.0	519.0	76.0	19.0	424.0
6	20	1822.6888141295208	1220.5862068965516	11.0	4.0	10.0	6.0	1189.0	180.0	205.0	804.0
6	27	2086.8866279069766	1670.1424418604652	7.0	5.0	3.0	4.0	344.0	128.0	7.0	208.0
6	34	2289.4771241830067	1963.686274509804	6.0	4.0	4.0	5.0	306.0	248.0	28.0	30.0
7	10	2199.520309477756	673.5203094777563	4.0	4.0	0.0	1.0	517.0	496.0	0.0	21.0
7	20	2329.5147928994083	1373.5147928994083	4.0	4.0	0.0	1.0	338.0	328.0	0.0	10.0
7	23	2057.5	1619.9351851851852	6.0	4.0	6.0	0.0	216.0	116.0	100.0	0.0
8	32	1346.5	1773.5	4.0	0.0	4.0	0.0	276.0	0.0	276.0	0.0
9	32	1346.5	1773.5	4.0	0.0	4.0	0.0	276.0	0.0	276.0	0.0
10	10	1069.5044025157233	647.1635220125786	6.0	4.0	4.0	3.0	795.0	496.0	264.0	35.0
10	36	1798.5092024539877	1844.509202453988	4.0	1.0	0.0	4.0	163.0	3.0	0.0	160.0
11	23	1931.5121951219512	1473.5121951219512	4.0	4.0	0.0	1.0	287.0	280.0	0.0	7.0
11	25	1797.5140664961637	1569.5140664961637	4.0	4.0	0.0	2.0	391.0	376.0	0.0	15.0
11	33	1208.661354581673	1978.661354581673	7.0	4.0	5.0	4.0	502.0	72.0	18.0	412.0
12	24	560.8319672131148	1168.733606557377	9.0	4.0	8.0	4.0	488.0	60.0	60.0	368.0
12	29	24.68994413407821	1686.689944134078	9.0	4.0	7.0	4.0	716.0	112.0	48.0	556.0
12	31	1263.5	1776.5	4.0	0.0	4.0	0.0	276.0	0.0	276.0	0.0
12	36	1533.5170603674542	1861.5170603674544	4.0	4.0	0.0	1.0	381.0	368.0	0.0	13.0
13	24	560.8319672131148	1168.733606557377	9.0	4.0	8.0	4.0	488.0	60.0	60.0	368.0
13	29	24.68994413407821	1686.689944134078	9.0	4.0	7.0	4.0	716.0	112.0	48.0	556.0
13	31	1263.5	1776.5	4.0	0.0	4.0	0.0	276.0	0.0	276.0	0.0
13	36	1533.5170603674542	1861.5170603674544	4.0	4.0	0.0	1.0	381.0	368.0	0.0	13.0
14	16	1134.5081081081082	602.5027027027027	4.0	1.0	0.0	4.0	185.0	3.0	0.0	180.0
14	21	1932.707614213198	868.707614213198	9.0	4.0	7.0	4.0	985.0	164.0	81.0	740.0
14	31	2240.5855855855857	1516.5855855855857	6.0	3.0	1.0	4.0	333.0	30.0	3.0	296.0
14	37	1104.508982035928	1710.508982035928	4.0	1.0	0.0	4.0	167.0	3.0	0.0	164.0
14	40	2057.665898617512	1827.665898617512	7.0	4.0	0.0	4.0	868.0	724.0	0.0	144.0
15	23	716.7116788321168	1302.7116788321168	9.0	4.0	7.0	4.0	1096.0	184.0	96.0	816.0
15	29	1017.5207667731628	1731.5223642172523	4.0	4.0	0.0	1.0	626.0	596.0	0.0	28.0
16	16	569.5121951219512	947.5121951219512	4.0	4.0	0.0	1.0	287.0	280.0	0.0	7.0
16	19	1819.5077519379845	1109.5193798449611	4.0	4.0	2.0	1.0	258.0	248.0	6.0	4.0
16	24	2047.520153550864	1247.5201535508638	4.0	4.0	0.0	1.0	521.0	500.0	0.0	21.0
16	39	77.52195121951219	1765.5219512195122	4.0	4.0	0.0	1.0	615.0	588.0	0.0	27.0
16	40	2309.489361702128	1823.0	8.0	3.0	4.0	4.0	282.0	6.0	136.0	140.0
17	16	569.5121951219512	947.5121951219512	4.0	4.0	0.0	1.0	287.0	280.0	0.0	7.0
17	19	1819.5077519379845	1109.5193798449611	4.0	4.0	2.0	1.0	258.0	248.0	6.0	4.0
17	24	2047.520153550864	1247.5201535508638	4.0	4.0	0.0	1.0	521.0	500.0	0.0	21.0
17	39	77.52195121951219	1765.5219512195122	4.0	4.0	0.0	1.0	615.0	588.0	0.0	27.0
17	40	2309.489361702128	1823.0	8.0	3.0	4.0	4.0	282.0	6.0	136.0	140.0
18	21	751.5114503816794	1231.5114503816794	4.0	4.0	0.0	1.0	262.0	256.0	0.0	6.0
18	23	2038.7146507666096	1334.717206132879	9.0	4.0	7.0	4.0	1174.0	200.0	104.0	868.0
18	30	43.50704225352113	1603.5023474178404	4.0	4.0	0.0	1.0	213.0	208.0	0.0	3.0
19	0	2227.4927536231885	181.5072463768116	4.0	4.0	0.0	2.0	69.0	64.0	0.0	5.0
19	1	210.71320754716984	199.28679245283016	7.0	0.0	7.0	0.0	265.0	0.0	265.0	0.0
19	8	311.52016129032256	601.5201612903226	4.0	4.0	0.0	1.0	496.0	476.0	0.0	20.0
19	14	1605.509881422925	1177.509881422925	4.0	4.0	0.0	1.0	253.0	248.0	0.0	5.0
19	22	2159.521064301552	1683.5166297117516	4.0	4.0	0.0	2.0	451.0	432.0	0.0	19.0
19	32	1611.5205183585313	2009.5183585313173	4.0	4.0	0.0	1.0	463.0	444.0	0.0	18.0
19	34	954.7063572149344	2026.709384460141	9.0	4.0	7.0	4.0	991.0	164.0	81.0	744.0
19	35	183.51162790697677	2035.860465116279	6.0	4.0	4.0	1.0	86.0	52.0	32.0	2.0
20	20	424.7158469945355	1170.7158469945357	9.0	4.0	7.0	4.0	1281.0	220.0	113.0	948.0
20	22	2368.5	1253.470588235294	4.0	0.0	4.0	2.0	34.0	0.0	28.0	4.0
20	27	1940.5179640718563	1890.4101796407183	6.0	1.0	5.0	4.0	334.0	9.0	40.0	284.0
21	20	424.7158469945355	1170.7158469945357	9.0	4.0	7.0	4.0	1281.0	220.0	113.0	948.0
21	22	2368.5	1253.470588235294	4.0	0.0	4.0	2.0	34.0	0.0	28.0	4.0
21	27	1940.5179640718563	1890.4101796407183	6.0	1.0	5.0	4.0	334.0	9.0	40.0	284.0
22	4	1509.5	70.1875	6.0	4.0	4.0	0.0	320.0	100.0	220.0	0.0
22	20	2046.584699453552	1144.5819672131147	6.0	3.0	2.0	4.0	366.0	33.0	5.0	324.0
22	23	611.8185185185185	1389.5111111111112	6.0	4.0	4.0	2.0	270.0	184.0	80.0	6.0
22	28	1934.5015576323988	1611.9034267912773	6.0	0.0	4.0	4.0	321.0	0.0	192.0	128.0
22	35	1461.1842105263158	1841.798245614035	9.0	5.0	4.0	5.0	570.0	351.0	24.0	195.0
23	17	1165.514705882353	1045.5117647058823	4.0	4.0	0.0	1.0	340.0	328.0	0.0	10.0
23	20	1780.58357771261	1212.58357771261	6.0	3.0	1.0	4.0	341.0	30.0	3.0	304.0
23	25	2230.662650602409	1402.6626506024097	7.0	4.0	5.0	4.0	498.0	72.0	18.0	408.0
23	35	2109.5	1766.5462962962963	4.0	2.0	4.0	0.0	216.0	20.0	196.0	0.0
23	39	630.7009345794393	1862.7009345794395	9.0	4.0	7.0	4.0	856.0	140.0	64.0	652.0
23	40	1155.5	1868.5	4.0	0.0	4.0	0.0	148.0	0.0	148.0	0.0
23	41	1312.6626506024097	1962.6626506024097	7.0	4.0	5.0	4.0	498.0	72.0	18.0	408.0
24	21	2118.5128205128203	1052.5128205128206	4.0	1.0	0.0	4.0	234.0	5.0	0.0	228.0
24	27	837.5	1304.720588235294	6.0	4.0	4.0	0.0	272.0	60.0	212.0	0.0
24	31	1805.4883720930231	1569.8372093023256	6.0	4.0	4.0	2.0	344.0	228.0	108.0	8.0
24	39	237.50226244343887	1945.502262443439	4.0	4.0	0.0	2.0	221.0	216.0	0.0	5.0
25	21	2118.5128205128203	1052.5128205128206	4.0	1.0	0.0	4.0	234.0	5.0	0.0	228.0
25	27	837.5	1304.720588235294	6.0	4.0	4.0	0.0	272.0	60.0	212.0	0.0
25	31	1805.4883720930231	1569.8372093023256	6.0	4.0	4.0	2.0	344.0	228.0	108.0	8.0
25	39	237.50226244343887	1945.502262443439	4.0	4.0	0.0	2.0	221.0	216.0	0.0	5.0
26	18	1574.659090909091	1190.6570247933885	7.0	4.0	5.0	4.0	484.0	68.0	19.0	396.0
26	19	854.6700680272108	1210.6700680272108	7.0	4.0	5.0	4.0	588.0	88.0	24.0	476.0
26	23	1905.520871143376	1369.5208711433756	4.0	4.0	0.0	1.0	551.0	528.0	0.0	23.0
27	20	1297.5198412698412	1185.5198412698412	4.0	4.0	0.0	1.0	504.0	484.0	0.0	20.0
27	26	2296.5	1598.8176470588237	6.0	0.0	4.0	4.0	340.0	0.0	108.0	232.0
30	1	1315.5116279069769	147.51162790697674	4.0	4.0	0.0	1.0	258.0	252.0	0.0	6.0
30	5	2088.519867549669	246.51986754966887	4.0	1.0	1.0	4.0	302.0	9.0	3.0	288.0
30	27	2055.6629955947137	1337.6629955947135	7.0	4.0	0.0	4.0	908.0	760.0	0.0	148.0
30	29	263.5080213903743	1371.5080213903743	4.0	4.0	0.0	1.0	187.0	184.0	0.0	3.0
30	35	252.63942307692307	1656.639423076923	7.0	4.0	5.0	4.0	416.0	52.0	12.0	352.0
30	36	375.5103734439834	1681.510373443983	4.0	4.0	0.0	1.0	241.0	236.0	0.0	5.0
30	40	1768.6526315789474	1978.4494736842105	11.0	4.0	10.0	4.0	950.0	120.0	242.0	588.0
32	11	1648.5092024539877	426.5092024539877	4.0	1.0	0.0	4.0	163.0	3.0	0.0	160.0
32	24	481.5323741007194	1169.6294964028775	6.0	4.0	4.0	2.0	556.0	484.0	36.0	36.0
32	32	906.6796875	1616.5625	11.0	4.0	10.0	4.0	1024.0	148.0	192.0	684.0
33	11	1648.5092024539877	426.5092024539877	4.0	1.0	0.0	4.0	163.0	3.0	0.0	160.0
