#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	12	2146.5821727019497	636.5877437325905	6.0	3.0	2.0	4.0	359.0	33.0	6.0	316.0
1	12	2146.5821727019497	636.5877437325905	6.0	3.0	2.0	4.0	359.0	33.0	6.0	316.0
2	13	2092.673765730881	928.3339787028074	13.0	7.0	7.0	8.0	1033.0	149.0	64.0	820.0
2	27	1844.0258064516129	1732.0258064516129	7.0	5.0	0.0	4.0	310.0	150.0	0.0	160.0
3	15	1666.6974169741698	934.6974169741698	9.0	4.0	7.0	4.0	813.0	132.0	57.0	624.0
3	18	2410.6647564469918	1090.5845272206304	9.0	4.0	8.0	4.0	698.0	100.0	86.0	512.0
3	26	1138.6462264150944	1708.6462264150944	7.0	4.0	5.0	4.0	424.0	56.0	12.0	356.0
3	28	849.6625615763547	1783.6625615763546	7.0	4.0	0.0	4.0	812.0	680.0	0.0	132.0
4	16	651.52	733.52	4.0	4.0	0.0	1.0	500.0	480.0	0.0	20.0
4	43	514.6677966101695	1706.6694915254238	7.0	4.0	5.0	4.0	590.0	88.0	25.0	476.0
4	46	1985.5170603674544	1867.5170603674544	4.0	4.0	0.0	1.0	381.0	368.0	0.0	13.0
4	50	1346.5074626865671	2000.5074626865671	4.0	1.0	0.0	4.0	134.0	2.0	0.0	132.0
5	16	651.52	733.52	4.0	4.0	0.0	1.0	500.0	480.0	0.0	20.0
5	43	514.6677966101695	1706.6694915254238	7.0	4.0	5.0	4.0	590.0	88.0	25.0	476.0
5	46	1985.5170603674544	1867.5170603674544	4.0	4.0	0.0	1.0	381.0	368.0	0.0	13.0
5	50	1346.5074626865671	2000.5074626865671	4.0	1.0	0.0	4.0	134.0	2.0	0.0	132.0
6	16	48.664739884393065	1034.6647398843932	7.0	4.0	5.0	4.0	519.0	76.0	19.0	424.0
6	20	1822.6888141295208	1220.5862068965516	11.0	4.0	10.0	6.0	1189.0	180.0	205.0	804.0
6	27	2086.8866279069766	1670.1424418604652	7.0	5.0	3.0	4.0	344.0	128.0	7.0	208.0
7	10	2199.520309477756	673.5203094777563	4.0	4.0	0.0	1.0	517.0	496.0	0.0	21.0
10	10	1069.5044025157233	647.1635220125786	6.0	4.0	4.0	3.0	795.0	496.0	264.0	35.0
10	36	1798.5092024539877	1844.509202453988	4.0	1.0	0.0	4.0	163.0	3.0	0.0	160.0
11	10	611.5311572700297	637.4955489614243	4.0	4.0	0.0	2.0	337.0	316.0	0.0	21.0
11	31	1500.5017064846415	1872.7337883959044	6.0	0.0	4.0	4.0	293.0	0.0	69.0	224.0
11	33	1208.661354581673	1978.661354581673	7.0	4.0	5.0	4.0	502.0	72.0	18.0	412.0
12	29	24.68994413407821	1686.689944134078	9.0	4.0	7.0	4.0	716.0	112.0	48.0	556.0
12	36	1533.5170603674542	1861.5170603674544	4.0	4.0	0.0	1.0	381.0	368.0	0.0	13.0
13	29	24.68994413407821	1686.689944134078	9.0	4.0	7.0	4.0	716.0	112.0	48.0	556.0
13	36	1533.5170603674542	1861.5170603674544	4.0	4.0	0.0	1.0	381.0	368.0	0.0	13.0
14	21	1932.707614213198	868.707614213198	9.0	4.0	7.0	4.0	985.0	164.0	81.0	740.0
14	31	2240.5855855855857	1516.5855855855857	6.0	3.0	1.0	4.0	333.0	30.0	3.0	296.0
14	32	2064.679758308157	1574.679758308157	7.0	4.0	5.0	4.0	662.0	104.0	30.0	528.0
14	36	176.626213592233	1706.5655339805826	9.0	4.0	5.0	4.0	412.0	48.0	29.0	332.0
14	37	1104.508982035928	1710.508982035928	4.0	1.0	0.0	4.0	167.0	3.0	0.0	164.0
15	23	716.7116788321168	1302.7116788321168	9.0	4.0	7.0	4.0	1096.0	184.0	96.0	816.0
16	24	2047.520153550864	1247.5201535508638	4.0	4.0	0.0	1.0	521.0	500.0	0.0	21.0
16	34	10.5	1647.7166666666667	4.0	0.0	4.0	2.0	120.0	0.0	68.0	52.0
17	24	2047.520153550864	1247.5201535508638	4.0	4.0	0.0	1.0	521.0	500.0	0.0	21.0
17	34	10.5	1647.7166666666667	4.0	0.0	4.0	2.0	120.0	0.0	68.0	52.0
18	6	1646.9603174603174	210.5079365079365	6.0	2.0	4.0	4.0	252.0	4.0	112.0	136.0
18	23	2038.7146507666096	1334.717206132879	9.0	4.0	7.0	4.0	1174.0	200.0	104.0	868.0
19	8	311.52016129032256	601.5201612903226	4.0	4.0	0.0	1.0	496.0	476.0	0.0	20.0
19	22	2159.521064301552	1683.5166297117516	4.0	4.0	0.0	2.0	451.0	432.0	0.0	19.0
19	34	954.7063572149344	2026.709384460141	9.0	4.0	7.0	4.0	991.0	164.0	81.0	744.0
20	11	530.0	237.0	1.0	1.0	0.0	1.0	20.0	7.0	0.0	13.0
20	18	1578.519877675841	860.4434250764526	6.0	1.0	5.0	4.0	327.0	9.0	29.0	288.0
20	20	424.7158469945355	1170.7158469945357	9.0	4.0	7.0	4.0	1281.0	220.0	113.0	948.0
