Brightness	Occurrences
160.0	8
19.0	8
20.0	6
21.0	6
13.0	6
316.0	5
304.0	5
52.0	5
208.0	4
272.0	4
40.0	4
556.0	3
25.0	3
396.0	3
228.0	3
460.0	3
168.0	3
288.0	3
476.0	3
676.0	3
224.0	3
132.0	3
23.0	2
948.0	2
684.0	2
430.0	2
296.0	2
780.0	2
408.0	2
504.0	2
324.0	2
309.0	2
136.0	2
664.0	2
26.0	2
648.0	2
332.0	2
792.0	2
454.0	1
482.0	1
31.0	1
764.0	1
440.0	1
256.0	1
286.0	1
532.0	1
800.0	1
432.0	1
536.0	1
734.0	1
612.0	1
500.0	1
552.0	1
57.0	1
342.0	1
370.0	1
808.0	1
522.0	1
196.0	1
212.0	1
760.0	1
624.0	1
512.0	1
356.0	1
424.0	1
804.0	1
35.0	1
412.0	1
740.0	1
528.0	1
164.0	1
816.0	1
868.0	1
744.0	1
195.0	1
652.0	1
352.0	1
588.0	1
820.0	1
236.0	1
468.0	1
126.0	1
688.0	1
484.0	1
282.0	1
600.0	1
644.0	1
