Brightness	Occurrences
163.0	5
521.0	4
381.0	4
341.0	3
234.0	3
716.0	3
568.0	3
171.0	3
527.0	3
283.0	2
475.0	2
20.0	2
327.0	2
465.0	2
498.0	2
230.0	2
318.0	2
551.0	2
46.0	2
1024.0	2
213.0	2
525.0	2
487.0	2
573.0	2
473.0	2
776.0	2
242.0	2
359.0	2
1281.0	2
304.0	2
1056.0	2
1044.0	2
898.0	2
134.0	2
590.0	2
500.0	2
517.0	2
333.0	2
884.0	2
394.0	2
120.0	2
34.0	2
459.0	1
929.0	1
364.0	1
652.0	1
712.0	1
584.0	1
659.0	1
626.0	1
680.0	1
557.0	1
401.0	1
839.0	1
345.0	1
88.0	1
1081.0	1
561.0	1
314.0	1
131.0	1
1109.0	1
617.0	1
1170.0	1
968.0	1
1069.0	1
442.0	1
670.0	1
267.0	1
672.0	1
253.0	1
638.0	1
797.0	1
908.0	1
1013.0	1
293.0	1
496.0	1
1174.0	1
252.0	1
1096.0	1
167.0	1
412.0	1
662.0	1
985.0	1
502.0	1
337.0	1
991.0	1
795.0	1
344.0	1
1189.0	1
519.0	1
812.0	1
424.0	1
698.0	1
813.0	1
310.0	1
451.0	1
366.0	1
356.0	1
509.0	1
780.0	1
378.0	1
603.0	1
634.0	1
220.0	1
1033.0	1
778.0	1
580.0	1
243.0	1
172.0	1
570.0	1
201.0	1
50.0	1
950.0	1
416.0	1
302.0	1
504.0	1
588.0	1
484.0	1
856.0	1
844.0	1
