Brightness	Occurrences
30.0	9
3.0	9
148.0	6
4.0	6
33.0	5
88.0	5
9.0	5
7.0	5
5.0	5
368.0	4
84.0	4
176.0	4
100.0	4
112.0	4
76.0	4
496.0	3
72.0	3
52.0	3
140.0	3
64.0	2
90.0	2
8.0	2
548.0	2
440.0	2
2.0	2
528.0	2
108.0	2
220.0	2
456.0	2
408.0	2
468.0	2
180.0	2
128.0	2
480.0	2
500.0	2
184.0	2
164.0	2
628.0	1
115.0	1
696.0	1
124.0	1
60.0	1
596.0	1
80.0	1
356.0	1
54.0	1
552.0	1
172.0	1
120.0	1
18.0	1
92.0	1
316.0	1
680.0	1
104.0	1
48.0	1
56.0	1
200.0	1
476.0	1
432.0	1
132.0	1
351.0	1
149.0	1
68.0	1
484.0	1
150.0	1
488.0	1
6.0	1
652.0	1
136.0	1
