Brightness	Occurrences
7.0	13
3.0	10
5.0	9
19.0	8
6.0	7
8.0	7
14.0	7
30.0	6
4.0	6
160.0	6
20.0	6
15.0	6
304.0	5
21.0	5
316.0	5
11.0	5
13.0	4
27.0	4
2.0	4
9.0	4
208.0	4
10.0	4
168.0	3
460.0	3
556.0	3
396.0	3
132.0	3
284.0	3
25.0	3
476.0	3
28.0	3
228.0	3
124.0	3
128.0	3
676.0	3
23.0	2
232.0	2
504.0	2
36.0	2
684.0	2
384.0	2
309.0	2
430.0	2
272.0	2
52.0	2
664.0	2
408.0	2
948.0	2
648.0	2
16.0	2
17.0	2
26.0	2
292.0	2
780.0	2
368.0	2
296.0	2
140.0	2
22.0	2
324.0	2
156.0	2
792.0	2
500.0	1
240.0	1
400.0	1
482.0	1
454.0	1
764.0	1
152.0	1
184.0	1
440.0	1
536.0	1
256.0	1
57.0	1
136.0	1
532.0	1
808.0	1
612.0	1
332.0	1
432.0	1
42.0	1
200.0	1
734.0	1
54.0	1
370.0	1
800.0	1
444.0	1
31.0	1
412.0	1
868.0	1
816.0	1
144.0	1
164.0	1
740.0	1
180.0	1
35.0	1
744.0	1
804.0	1
424.0	1
356.0	1
512.0	1
624.0	1
820.0	1
18.0	1
195.0	1
522.0	1
688.0	1
552.0	1
212.0	1
12.0	1
760.0	1
600.0	1
484.0	1
126.0	1
652.0	1
468.0	1
236.0	1
588.0	1
352.0	1
148.0	1
288.0	1
644.0	1
