Brightness	Occurrences
3.0	13
6.0	8
19.0	7
24.0	7
108.0	6
18.0	6
276.0	6
96.0	6
148.0	5
172.0	4
48.0	4
324.0	4
192.0	4
40.0	4
88.0	4
2.0	4
12.0	3
124.0	3
30.0	3
36.0	3
28.0	3
8.0	3
80.0	3
60.0	3
13.0	3
100.0	3
64.0	3
104.0	3
136.0	3
81.0	3
264.0	3
93.0	2
188.0	2
73.0	2
304.0	2
296.0	2
4.0	2
368.0	2
180.0	2
56.0	2
89.0	2
185.0	2
120.0	2
45.0	2
308.0	2
57.0	2
170.0	2
127.0	2
152.0	2
25.0	2
32.0	2
113.0	2
212.0	2
196.0	2
10.0	2
336.0	1
328.0	1
140.0	1
74.0	1
272.0	1
109.0	1
164.0	1
144.0	1
356.0	1
86.0	1
49.0	1
205.0	1
292.0	1
7.0	1
68.0	1
156.0	1
44.0	1
244.0	1
265.0	1
220.0	1
5.0	1
236.0	1
97.0	1
242.0	1
256.0	1
26.0	1
23.0	1
72.0	1
332.0	1
