Brightness	Occurrences
276.0	6
253.0	6
148.0	5
163.0	5
287.0	5
34.0	5
180.0	5
308.0	5
258.0	4
306.0	4
344.0	4
266.0	4
381.0	4
102.0	4
359.0	4
324.0	4
187.0	4
149.0	4
521.0	4
527.0	3
172.0	3
213.0	3
568.0	3
221.0	3
234.0	3
716.0	3
334.0	3
502.0	3
341.0	3
114.0	3
275.0	3
199.0	3
171.0	3
31.0	3
10.0	3
338.0	3
530.0	2
272.0	2
473.0	2
551.0	2
908.0	2
776.0	2
283.0	2
556.0	2
1024.0	2
367.0	2
295.0	2
619.0	2
525.0	2
145.0	2
299.0	2
573.0	2
318.0	2
127.0	2
618.0	2
368.0	2
73.0	2
780.0	2
796.0	2
340.0	2
405.0	2
162.0	2
498.0	2
242.0	2
1056.0	2
245.0	2
296.0	2
626.0	2
615.0	2
282.0	2
1044.0	2
590.0	2
134.0	2
98.0	2
644.0	2
898.0	2
735.0	2
496.0	2
475.0	2
333.0	2
884.0	2
517.0	2
216.0	2
488.0	2
192.0	2
1281.0	2
394.0	2
487.0	2
270.0	2
500.0	2
680.0	1
510.0	1
250.0	1
557.0	1
207.0	1
202.0	1
292.0	1
486.0	1
459.0	1
121.0	1
659.0	1
584.0	1
929.0	1
364.0	1
423.0	1
147.0	1
495.0	1
279.0	1
365.0	1
638.0	1
1081.0	1
561.0	1
131.0	1
1109.0	1
379.0	1
617.0	1
370.0	1
290.0	1
1170.0	1
328.0	1
74.0	1
442.0	1
1069.0	1
326.0	1
205.0	1
797.0	1
109.0	1
670.0	1
267.0	1
672.0	1
968.0	1
839.0	1
628.0	1
297.0	1
138.0	1
167.0	1
570.0	1
321.0	1
366.0	1
320.0	1
86.0	1
991.0	1
463.0	1
451.0	1
265.0	1
69.0	1
1174.0	1
262.0	1
1096.0	1
868.0	1
985.0	1
133.0	1
185.0	1
391.0	1
795.0	1
1189.0	1
519.0	1
812.0	1
424.0	1
453.0	1
698.0	1
813.0	1
166.0	1
310.0	1
1033.0	1
389.0	1
856.0	1
484.0	1
588.0	1
504.0	1
652.0	1
126.0	1
298.0	1
236.0	1
712.0	1
419.0	1
314.0	1
281.0	1
384.0	1
1013.0	1
356.0	1
772.0	1
256.0	1
603.0	1
634.0	1
83.0	1
778.0	1
336.0	1
580.0	1
468.0	1
522.0	1
332.0	1
243.0	1
509.0	1
543.0	1
950.0	1
241.0	1
416.0	1
302.0	1
844.0	1
