Brightness	Occurrences
6.0	12
3.0	11
148.0	11
30.0	9
9.0	8
248.0	8
184.0	6
60.0	6
72.0	5
2.0	5
88.0	5
33.0	5
4.0	5
100.0	5
64.0	5
396.0	4
112.0	4
176.0	4
288.0	4
96.0	4
300.0	4
84.0	4
280.0	4
76.0	4
368.0	4
480.0	4
356.0	4
164.0	4
496.0	3
144.0	3
140.0	3
372.0	3
484.0	3
7.0	3
196.0	3
120.0	3
324.0	3
268.0	3
272.0	3
408.0	3
5.0	3
80.0	2
108.0	2
548.0	2
668.0	2
592.0	2
292.0	2
260.0	2
528.0	2
68.0	2
216.0	2
456.0	2
228.0	2
500.0	2
8.0	2
132.0	2
232.0	2
412.0	2
180.0	2
128.0	2
328.0	2
348.0	2
364.0	2
596.0	2
90.0	2
444.0	2
52.0	2
220.0	2
468.0	2
440.0	2
588.0	2
115.0	1
628.0	1
352.0	1
696.0	1
48.0	1
600.0	1
204.0	1
264.0	1
400.0	1
54.0	1
552.0	1
10.0	1
332.0	1
252.0	1
14.0	1
404.0	1
149.0	1
150.0	1
436.0	1
56.0	1
680.0	1
116.0	1
376.0	1
724.0	1
256.0	1
200.0	1
208.0	1
476.0	1
432.0	1
351.0	1
20.0	1
760.0	1
236.0	1
160.0	1
488.0	1
652.0	1
92.0	1
648.0	1
656.0	1
124.0	1
172.0	1
136.0	1
