#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
2	26	2152.5	1725.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
3	11	415.5	659.8157894736842	6.0	4.0	4.0	0.0	228.0	156.0	72.0	0.0
3	13	582.5	809.566037735849	4.0	0.0	4.0	2.0	212.0	0.0	184.0	28.0
3	18	2410.6647564469918	1090.5845272206304	9.0	4.0	8.0	4.0	698.0	100.0	86.0	512.0
4	20	2201.5102040816328	791.091156462585	6.0	4.0	4.0	1.0	735.0	412.0	308.0	15.0
4	31	1957.4814814814813	1138.4814814814815	4.0	0.0	4.0	0.0	27.0	0.0	27.0	0.0
5	20	2201.5102040816328	791.091156462585	6.0	4.0	4.0	1.0	735.0	412.0	308.0	15.0
5	31	1957.4814814814813	1138.4814814814815	4.0	0.0	4.0	0.0	27.0	0.0	27.0	0.0
6	20	1822.6888141295208	1220.5862068965516	11.0	4.0	10.0	6.0	1189.0	180.0	205.0	804.0
7	14	1278.5	967.5	4.0	0.0	4.0	0.0	152.0	0.0	152.0	0.0
8	32	1346.5	1773.5	4.0	0.0	4.0	0.0	276.0	0.0	276.0	0.0
9	32	1346.5	1773.5	4.0	0.0	4.0	0.0	276.0	0.0	276.0	0.0
10	10	1069.5044025157233	647.1635220125786	6.0	4.0	4.0	3.0	795.0	496.0	264.0	35.0
11	31	1500.5017064846415	1872.7337883959044	6.0	0.0	4.0	4.0	293.0	0.0	69.0	224.0
12	31	1263.5	1776.5	4.0	0.0	4.0	0.0	276.0	0.0	276.0	0.0
13	31	1263.5	1776.5	4.0	0.0	4.0	0.0	276.0	0.0	276.0	0.0
14	21	1932.707614213198	868.707614213198	9.0	4.0	7.0	4.0	985.0	164.0	81.0	740.0
15	20	1413.5	1058.5	4.0	0.0	4.0	0.0	348.0	0.0	348.0	0.0
15	22	1683.5	1286.5	4.0	0.0	4.0	0.0	348.0	0.0	348.0	0.0
16	40	2309.489361702128	1823.0	8.0	3.0	4.0	4.0	282.0	6.0	136.0	140.0
17	40	2309.489361702128	1823.0	8.0	3.0	4.0	4.0	282.0	6.0	136.0	140.0
19	1	210.71320754716984	199.28679245283016	7.0	0.0	7.0	0.0	265.0	0.0	265.0	0.0
19	34	954.7063572149344	2026.709384460141	9.0	4.0	7.0	4.0	991.0	164.0	81.0	744.0
20	20	424.7158469945355	1170.7158469945357	9.0	4.0	7.0	4.0	1281.0	220.0	113.0	948.0
20	25	91.5	1734.5	4.0	0.0	4.0	0.0	264.0	0.0	264.0	0.0
21	20	424.7158469945355	1170.7158469945357	9.0	4.0	7.0	4.0	1281.0	220.0	113.0	948.0
21	25	91.5	1734.5	4.0	0.0	4.0	0.0	264.0	0.0	264.0	0.0
24	32	1805.5	1574.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
25	32	1805.5	1574.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
27	32	1552.5	1973.5057471264367	4.0	0.0	4.0	0.0	174.0	0.0	172.0	0.0
30	40	1768.6526315789474	1978.4494736842105	11.0	4.0	10.0	4.0	950.0	120.0	242.0	588.0
32	13	679.5	640.5	4.0	0.0	4.0	0.0	152.0	0.0	152.0	0.0
33	13	679.5	640.5	4.0	0.0	4.0	0.0	152.0	0.0	152.0	0.0
34	18	1828.5	1099.5581395348838	4.0	0.0	4.0	2.0	172.0	0.0	152.0	20.0
35	11	73.49342105263158	833.4473684210526	8.0	0.0	8.0	2.0	304.0	0.0	300.0	4.0
35	25	1246.5	1525.5	4.0	0.0	4.0	0.0	324.0	0.0	324.0	0.0
36	23	2388.488188976378	1559.4881889763778	4.0	0.0	4.0	0.0	127.0	0.0	127.0	0.0
36	34	1520.6148867313916	2022.351132686084	9.0	4.0	8.0	6.0	618.0	64.0	170.0	384.0
37	23	2388.488188976378	1559.4881889763778	4.0	0.0	4.0	0.0	127.0	0.0	127.0	0.0
37	34	1520.6148867313916	2022.351132686084	9.0	4.0	8.0	6.0	618.0	64.0	170.0	384.0
38	10	2062.5	909.5	4.0	0.0	4.0	0.0	332.0	0.0	332.0	0.0
38	17	41.513409961685824	1183.787356321839	6.0	4.0	4.0	2.0	522.0	372.0	136.0	14.0
38	34	811.4047619047619	1898.404761904762	7.0	0.0	7.0	0.0	336.0	0.0	336.0	0.0
39	17	1506.702643171806	968.702643171806	9.0	4.0	7.0	4.0	908.0	148.0	72.0	688.0
39	20	1898.5	1055.5	4.0	0.0	4.0	0.0	372.0	0.0	372.0	0.0
39	23	1957.4939759036145	1139.2168674698796	6.0	4.0	4.0	0.0	83.0	60.0	23.0	0.0
39	39	2148.5	1899.5	4.0	0.0	4.0	0.0	256.0	0.0	256.0	0.0
40	33	2055.5	2010.5	4.0	0.0	4.0	0.0	152.0	0.0	152.0	0.0
41	33	2055.5	2010.5	4.0	0.0	4.0	0.0	152.0	0.0	152.0	0.0
42	34	589.5	1466.5	4.0	0.0	4.0	0.0	280.0	0.0	280.0	0.0
44	15	383.5	1078.5	4.0	0.0	4.0	0.0	180.0	0.0	180.0	0.0
45	15	383.5	1078.5	4.0	0.0	4.0	0.0	180.0	0.0	180.0	0.0
46	24	1509.5	1656.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
46	31	1086.7097729516288	1950.7097729516288	9.0	4.0	7.0	4.0	1013.0	172.0	81.0	760.0
48	4	1195.2881720430107	76.12258064516129	8.0	1.0	5.0	4.0	465.0	8.0	183.0	272.0
49	4	1195.2881720430107	76.12258064516129	8.0	1.0	5.0	4.0	465.0	8.0	183.0	272.0
50	20	938.5095541401274	974.2006369426751	6.0	1.0	4.0	4.0	314.0	4.0	97.0	212.0
51	32	2060.5	1891.5	4.0	0.0	4.0	0.0	236.0	0.0	236.0	0.0
52	16	632.5	657.5	4.0	0.0	4.0	0.0	324.0	0.0	324.0	0.0
53	16	632.5	657.5	4.0	0.0	4.0	0.0	324.0	0.0	324.0	0.0
58	26	369.5	1750.5	4.0	0.0	4.0	0.0	276.0	0.0	276.0	0.0
62	35	2302.5	1801.4728682170544	4.0	0.0	4.0	2.0	258.0	0.0	244.0	14.0
68	11	1697.5	780.5	4.0	0.0	4.0	0.0	368.0	0.0	368.0	0.0
69	11	1697.5	780.5	4.0	0.0	4.0	0.0	368.0	0.0	368.0	0.0
70	24	1168.5	1545.5	4.0	0.0	4.0	0.0	324.0	0.0	324.0	0.0
70	35	2004.5	2037.5	4.0	0.0	4.0	0.0	184.0	0.0	184.0	0.0
71	8	1380.6309523809523	464.4419642857143	9.0	4.0	8.0	4.0	672.0	80.0	152.0	440.0
71	20	2155.4954128440368	1468.5045871559632	4.0	0.0	4.0	0.0	109.0	0.0	109.0	0.0
72	31	35.5	1844.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
73	31	35.5	1844.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
74	4	881.5	664.5	4.0	0.0	4.0	0.0	328.0	0.0	328.0	0.0
74	20	797.5	1464.5	4.0	0.0	4.0	0.0	280.0	0.0	280.0	0.0
75	26	10.5	1511.5	4.0	0.0	4.0	0.0	184.0	0.0	184.0	0.0
75	31	1211.0916030534352	1736.5954198473282	5.0	0.0	5.0	3.0	131.0	0.0	74.0	57.0
80	29	6.586452762923352	1708.2816399286987	9.0	6.0	5.0	4.0	561.0	54.0	172.0	332.0
80	36	252.5	1819.5	4.0	0.0	4.0	0.0	136.0	0.0	136.0	0.0
81	27	2355.5086372360843	1631.341650671785	6.0	4.0	4.0	2.0	521.0	408.0	93.0	19.0
81	31	613.5062111801242	1787.1024844720496	6.0	4.0	4.0	2.0	644.0	364.0	264.0	16.0
