Brightness	Occurrences
253.0	5
287.0	5
521.0	4
381.0	4
338.0	3
258.0	3
275.0	3
232.0	3
344.0	3
716.0	3
187.0	3
78.0	2
1281.0	2
270.0	2
551.0	2
102.0	2
392.0	2
556.0	2
487.0	2
573.0	2
796.0	2
295.0	2
145.0	2
203.0	2
266.0	2
299.0	2
502.0	2
367.0	2
496.0	2
475.0	2
449.0	2
168.0	2
615.0	2
96.0	2
359.0	2
735.0	2
500.0	2
98.0	2
517.0	2
245.0	2
659.0	1
584.0	1
207.0	1
459.0	1
121.0	1
180.0	1
495.0	1
929.0	1
652.0	1
423.0	1
839.0	1
628.0	1
100.0	1
120.0	1
1170.0	1
279.0	1
290.0	1
370.0	1
617.0	1
561.0	1
1109.0	1
1081.0	1
147.0	1
419.0	1
638.0	1
712.0	1
778.0	1
334.0	1
391.0	1
1174.0	1
262.0	1
626.0	1
1096.0	1
33.0	1
868.0	1
312.0	1
795.0	1
281.0	1
216.0	1
306.0	1
812.0	1
453.0	1
698.0	1
310.0	1
1033.0	1
451.0	1
463.0	1
320.0	1
570.0	1
384.0	1
780.0	1
772.0	1
440.0	1
634.0	1
297.0	1
389.0	1
522.0	1
509.0	1
950.0	1
241.0	1
908.0	1
504.0	1
252.0	1
340.0	1
348.0	1
