Brightness	Occurrences
248.0	8
100.0	7
96.0	6
184.0	6
120.0	5
228.0	5
112.0	4
480.0	4
368.0	4
288.0	4
356.0	4
280.0	4
272.0	3
372.0	3
432.0	3
484.0	3
200.0	3
268.0	3
264.0	3
324.0	3
144.0	3
496.0	3
408.0	3
456.0	2
236.0	2
292.0	2
348.0	2
260.0	2
440.0	2
548.0	2
668.0	2
78.0	2
468.0	2
528.0	2
500.0	2
588.0	2
220.0	2
412.0	2
596.0	2
232.0	2
328.0	2
444.0	2
54.0	1
436.0	1
680.0	1
204.0	1
168.0	1
552.0	1
150.0	1
696.0	1
600.0	1
149.0	1
332.0	1
400.0	1
351.0	1
404.0	1
628.0	1
116.0	1
376.0	1
304.0	1
724.0	1
21.0	1
656.0	1
648.0	1
424.0	1
652.0	1
488.0	1
256.0	1
760.0	1
252.0	1
476.0	1
115.0	1
