#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	12	665.5109489051094	1015.5109489051094	4.0	4.0	0.0	1.0	274.0	268.0	0.0	6.0
0	15	2340.6813880126183	1090.6813880126183	7.0	4.0	5.0	4.0	634.0	100.0	30.0	504.0
0	17	1338.7204100652375	1190.7204100652375	9.0	4.0	7.0	5.0	1073.0	180.0	89.0	804.0
0	20	2388.700956937799	1320.700956937799	9.0	4.0	7.0	4.0	836.0	136.0	64.0	636.0
0	25	534.9745762711865	1461.0084745762713	7.0	2.0	7.0	0.0	236.0	8.0	228.0	0.0
0	28	380.78300455235205	1658.783004552352	7.0	4.0	5.0	5.0	659.0	164.0	24.0	471.0
0	34	2235.505882352941	1875.5058823529407	4.0	4.0	0.0	1.0	170.0	168.0	0.0	2.0
1	12	665.5109489051094	1015.5109489051094	4.0	4.0	0.0	1.0	274.0	268.0	0.0	6.0
1	15	2340.6813880126183	1090.6813880126183	7.0	4.0	5.0	4.0	634.0	100.0	30.0	504.0
1	17	1338.7204100652375	1190.7204100652375	9.0	4.0	7.0	5.0	1073.0	180.0	89.0	804.0
1	20	2388.700956937799	1320.700956937799	9.0	4.0	7.0	4.0	836.0	136.0	64.0	636.0
1	25	534.9745762711865	1461.0084745762713	7.0	2.0	7.0	0.0	236.0	8.0	228.0	0.0
1	28	380.78300455235205	1658.783004552352	7.0	4.0	5.0	5.0	659.0	164.0	24.0	471.0
1	34	2235.505882352941	1875.5058823529407	4.0	4.0	0.0	1.0	170.0	168.0	0.0	2.0
2	11	178.5204081632653	938.5204081632652	4.0	1.0	1.0	4.0	294.0	9.0	3.0	280.0
2	14	1271.9526627218936	1080.9526627218936	7.0	0.0	7.0	0.0	169.0	0.0	169.0	0.0
2	15	1458.5	1085.5	4.0	0.0	4.0	0.0	308.0	0.0	308.0	0.0
2	29	672.5	1703.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
2	31	2305.503759398496	1839.503759398496	4.0	4.0	0.0	0.0	133.0	132.0	0.0	0.0
2	33	1448.651376146789	1918.651376146789	7.0	4.0	5.0	4.0	436.0	60.0	12.0	364.0
2	35	1431.4864864864865	1945.4864864864865	4.0	4.0	0.0	1.0	74.0	72.0	0.0	2.0
2	36	634.5077720207254	1998.5025906735752	4.0	1.0	0.0	4.0	193.0	3.0	0.0	188.0
3	16	270.66265060240966	984.6626506024096	7.0	4.0	5.0	4.0	498.0	72.0	18.0	408.0
3	28	1208.6724137931035	1432.6724137931035	7.0	4.0	5.0	4.0	580.0	88.0	24.0	468.0
3	30	2410.671232876712	1522.6712328767123	7.0	4.0	5.0	4.0	584.0	88.0	24.0	472.0
3	34	76.51711026615969	1742.5171102661598	4.0	1.0	1.0	4.0	263.0	7.0	2.0	252.0
3	35	2046.6600790513835	1754.6600790513835	7.0	4.0	5.0	4.0	506.0	72.0	18.0	416.0
3	37	1156.5060240963855	1832.3614457831325	6.0	1.0	4.0	4.0	166.0	2.0	24.0	140.0
4	14	1428.662239089184	822.662239089184	7.0	4.0	5.0	4.0	527.0	76.0	19.0	432.0
4	23	129.51445086705203	1411.514450867052	4.0	4.0	0.0	1.0	346.0	336.0	0.0	10.0
4	29	2165.521815008726	1595.521815008726	4.0	4.0	0.0	1.0	573.0	548.0	0.0	25.0
4	33	1430.5031055900622	1884.27950310559	6.0	0.0	4.0	4.0	161.0	0.0	36.0	124.0
4	36	707.5026737967914	1928.235294117647	6.0	4.0	4.0	1.0	374.0	96.0	276.0	2.0
4	40	2282.5	2001.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
5	14	1428.662239089184	822.662239089184	7.0	4.0	5.0	4.0	527.0	76.0	19.0	432.0
5	23	129.51445086705203	1411.514450867052	4.0	4.0	0.0	1.0	346.0	336.0	0.0	10.0
5	29	2165.521815008726	1595.521815008726	4.0	4.0	0.0	1.0	573.0	548.0	0.0	25.0
5	33	1430.5031055900622	1884.27950310559	6.0	0.0	4.0	4.0	161.0	0.0	36.0	124.0
5	36	707.5026737967914	1928.235294117647	6.0	4.0	4.0	1.0	374.0	96.0	276.0	2.0
5	40	2282.5	2001.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
6	3	1242.511737089202	200.5117370892019	4.0	1.0	0.0	4.0	213.0	4.0	0.0	208.0
6	7	1753.5175644028102	641.5175644028103	4.0	4.0	0.0	1.0	427.0	412.0	0.0	15.0
6	14	98.5	1245.6263736263736	4.0	0.0	4.0	2.0	182.0	0.0	136.0	46.0
6	23	1805.5107913669065	1557.4964028776978	4.0	4.0	0.0	1.0	139.0	136.0	0.0	2.0
6	36	1383.5198329853863	1879.5198329853863	4.0	4.0	0.0	1.0	479.0	460.0	0.0	19.0
7	22	278.69767441860466	952.6976744186046	9.0	5.0	7.0	4.0	860.0	144.0	64.0	652.0
7	29	1947.5180722891569	1375.4939759036145	4.0	4.0	0.0	1.0	83.0	80.0	0.0	2.0
7	34	1675.519650655022	1665.519650655022	4.0	4.0	0.0	1.0	458.0	440.0	0.0	18.0
8	6	1170.5	211.4313725490196	4.0	0.0	4.0	2.0	204.0	0.0	176.0	28.0
8	13	788.5	995.5	4.0	0.0	4.0	0.0	248.0	0.0	248.0	0.0
8	21	1216.6817496229262	1674.6817496229262	7.0	4.0	5.0	4.0	663.0	104.0	30.0	528.0
9	6	1170.5	211.4313725490196	4.0	0.0	4.0	2.0	204.0	0.0	176.0	28.0
9	13	788.5	995.5	4.0	0.0	4.0	0.0	248.0	0.0	248.0	0.0
9	21	1216.6817496229262	1674.6817496229262	7.0	4.0	5.0	4.0	663.0	104.0	30.0	528.0
10	20	16.5	943.5412844036696	4.0	0.0	4.0	4.0	218.0	0.0	152.0	66.0
10	28	1380.6780185758514	1544.6780185758514	7.0	4.0	5.0	4.0	646.0	100.0	30.0	516.0
10	32	2114.715238095238	1812.7066666666667	9.0	6.0	7.0	4.0	1050.0	182.0	88.0	780.0
10	37	250.5	1985.320754716981	4.0	0.0	4.0	2.0	106.0	0.0	68.0	38.0
11	19	1727.5	1036.433962264151	4.0	2.0	4.0	0.0	106.0	14.0	92.0	0.0
11	23	1169.5061728395062	1385.5061728395062	4.0	4.0	0.0	1.0	162.0	160.0	0.0	2.0
11	24	2410.505882352941	1447.4941176470588	4.0	0.0	4.0	0.0	85.0	0.0	85.0	0.0
11	25	2130.844393592677	1460.8489702517163	7.0	4.0	1.0	6.0	437.0	140.0	3.0	290.0
11	26	1640.5117647058823	1582.2382352941177	6.0	1.0	4.0	4.0	340.0	6.0	93.0	240.0
11	28	2117.5235008103728	1661.5202593192869	4.0	4.0	0.0	2.0	617.0	588.0	0.0	29.0
11	33	1267.5080213903743	1797.5080213903743	4.0	4.0	0.0	1.0	187.0	184.0	0.0	3.0
12	6	1338.5031847133755	464.312101910828	6.0	0.0	4.0	6.0	157.0	0.0	24.0	132.0
12	7	457.5029585798816	617.7899408284023	6.0	4.0	4.0	0.0	338.0	240.0	96.0	0.0
12	14	2333.671206225681	1027.6712062256809	7.0	4.0	0.0	4.0	1028.0	852.0	0.0	176.0
12	28	2052.6	1752.2888888888888	9.0	4.0	5.0	5.0	585.0	52.0	184.0	346.0
