#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	15	2340.6813880126183	1090.6813880126183	7.0	4.0	5.0	4.0	634.0	100.0	30.0	504.0
0	17	1338.7204100652375	1190.7204100652375	9.0	4.0	7.0	5.0	1073.0	180.0	89.0	804.0
0	28	380.78300455235205	1658.783004552352	7.0	4.0	5.0	5.0	659.0	164.0	24.0	471.0
0	30	2086.513043478261	1724.513043478261	4.0	1.0	0.0	4.0	230.0	5.0	0.0	224.0
1	15	2340.6813880126183	1090.6813880126183	7.0	4.0	5.0	4.0	634.0	100.0	30.0	504.0
1	17	1338.7204100652375	1190.7204100652375	9.0	4.0	7.0	5.0	1073.0	180.0	89.0	804.0
1	28	380.78300455235205	1658.783004552352	7.0	4.0	5.0	5.0	659.0	164.0	24.0	471.0
1	30	2086.513043478261	1724.513043478261	4.0	1.0	0.0	4.0	230.0	5.0	0.0	224.0
2	11	178.5204081632653	938.5204081632652	4.0	1.0	1.0	4.0	294.0	9.0	3.0	280.0
2	20	1634.51376146789	1294.3302752293578	6.0	1.0	5.0	4.0	327.0	7.0	63.0	256.0
2	33	1448.651376146789	1918.651376146789	7.0	4.0	5.0	4.0	436.0	60.0	12.0	364.0
3	15	2212.5124378109454	956.5124378109452	4.0	1.0	0.0	4.0	201.0	4.0	0.0	196.0
3	16	270.66265060240966	984.6626506024096	7.0	4.0	5.0	4.0	498.0	72.0	18.0	408.0
3	28	1208.6724137931035	1432.6724137931035	7.0	4.0	5.0	4.0	580.0	88.0	24.0	468.0
3	30	2410.671232876712	1522.6712328767123	7.0	4.0	5.0	4.0	584.0	88.0	24.0	472.0
3	34	76.51711026615969	1742.5171102661598	4.0	1.0	1.0	4.0	263.0	7.0	2.0	252.0
3	35	2046.6600790513835	1754.6600790513835	7.0	4.0	5.0	4.0	506.0	72.0	18.0	416.0
4	14	1428.662239089184	822.662239089184	7.0	4.0	5.0	4.0	527.0	76.0	19.0	432.0
4	29	2165.521815008726	1595.521815008726	4.0	4.0	0.0	1.0	573.0	548.0	0.0	25.0
5	14	1428.662239089184	822.662239089184	7.0	4.0	5.0	4.0	527.0	76.0	19.0	432.0
5	29	2165.521815008726	1595.521815008726	4.0	4.0	0.0	1.0	573.0	548.0	0.0	25.0
6	3	1242.511737089202	200.5117370892019	4.0	1.0	0.0	4.0	213.0	4.0	0.0	208.0
6	14	98.5	1245.6263736263736	4.0	0.0	4.0	2.0	182.0	0.0	136.0	46.0
6	36	1383.5198329853863	1879.5198329853863	4.0	4.0	0.0	1.0	479.0	460.0	0.0	19.0
7	12	1761.5101449275362	533.5101449275362	4.0	4.0	0.0	2.0	345.0	332.0	0.0	13.0
7	22	278.69767441860466	952.6976744186046	9.0	5.0	7.0	4.0	860.0	144.0	64.0	652.0
8	21	1216.6817496229262	1674.6817496229262	7.0	4.0	5.0	4.0	663.0	104.0	30.0	528.0
9	21	1216.6817496229262	1674.6817496229262	7.0	4.0	5.0	4.0	663.0	104.0	30.0	528.0
10	28	1380.6780185758514	1544.6780185758514	7.0	4.0	5.0	4.0	646.0	100.0	30.0	516.0
10	32	2114.715238095238	1812.7066666666667	9.0	6.0	7.0	4.0	1050.0	182.0	88.0	780.0
11	25	2130.844393592677	1460.8489702517163	7.0	4.0	1.0	6.0	437.0	140.0	3.0	290.0
12	6	1338.5031847133755	464.312101910828	6.0	0.0	4.0	6.0	157.0	0.0	24.0	132.0
12	28	2052.6	1752.2888888888888	9.0	4.0	5.0	5.0	585.0	52.0	184.0	346.0
12	29	1780.651376146789	1758.651376146789	7.0	4.0	5.0	4.0	436.0	60.0	12.0	364.0
13	6	1338.5031847133755	464.312101910828	6.0	0.0	4.0	6.0	157.0	0.0	24.0	132.0
13	28	2052.6	1752.2888888888888	9.0	4.0	5.0	5.0	585.0	52.0	184.0	346.0
13	29	1780.651376146789	1758.651376146789	7.0	4.0	5.0	4.0	436.0	60.0	12.0	364.0
14	12	1833.6708333333331	1083.6708333333331	7.0	4.0	0.0	4.0	960.0	796.0	0.0	164.0
15	17	2324.662239089184	786.662239089184	7.0	4.0	5.0	4.0	527.0	76.0	19.0	432.0
15	40	123.51966873706004	1995.51966873706	4.0	4.0	0.0	1.0	483.0	464.0	0.0	19.0
16	18	30.66798418972332	846.6719367588933	7.0	4.0	5.0	6.0	506.0	72.0	18.0	416.0
16	22	2128.514285714285	1272.3619047619047	6.0	1.0	5.0	4.0	315.0	7.0	51.0	256.0
16	28	840.5135135135135	1714.5135135135135	4.0	1.0	0.0	4.0	222.0	5.0	0.0	216.0
17	18	30.66798418972332	846.6719367588933	7.0	4.0	5.0	6.0	506.0	72.0	18.0	416.0
17	22	2128.514285714285	1272.3619047619047	6.0	1.0	5.0	4.0	315.0	7.0	51.0	256.0
17	28	840.5135135135135	1714.5135135135135	4.0	1.0	0.0	4.0	222.0	5.0	0.0	216.0
18	23	1824.6908850726552	1556.6908850726552	9.0	4.0	7.0	4.0	757.0	120.0	49.0	588.0
19	4	584.656188605108	274.65618860510807	7.0	5.0	5.0	4.0	509.0	75.0	18.0	416.0
19	18	464.5092024539877	1406.5092024539877	4.0	1.0	0.0	4.0	163.0	3.0	0.0	160.0
19	22	1919.4952741020795	1661.5425330812857	4.0	4.0	0.0	2.0	529.0	484.0	0.0	45.0
20	12	202.62280701754383	752.5065789473684	9.0	4.0	5.0	4.0	456.0	52.0	57.0	344.0
20	20	2340.664643399089	904.6980273141124	8.0	6.0	6.0	4.0	659.0	108.0	35.0	516.0
20	32	574.651376146789	1640.651376146789	7.0	4.0	5.0	4.0	436.0	60.0	12.0	364.0
20	39	30.069400630914828	1900.96214511041	7.0	5.0	3.0	4.0	317.0	139.0	9.0	168.0
21	12	202.62280701754383	752.5065789473684	9.0	4.0	5.0	4.0	456.0	52.0	57.0	344.0
21	20	2340.664643399089	904.6980273141124	8.0	6.0	6.0	4.0	659.0	108.0	35.0	516.0
21	32	574.651376146789	1640.651376146789	7.0	4.0	5.0	4.0	436.0	60.0	12.0	364.0
21	39	30.069400630914828	1900.96214511041	7.0	5.0	3.0	4.0	317.0	139.0	9.0	168.0
22	4	1464.6776119402984	146.67164179104478	7.0	4.0	6.0	4.0	670.0	104.0	38.0	528.0
23	13	1946.634464751958	668.6344647519583	7.0	4.0	1.0	4.0	383.0	48.0	3.0	328.0
24	8	2142.536345776032	334.6385068762279	9.0	4.0	8.0	4.0	509.0	64.0	65.0	380.0
24	27	1862.679758308157	1490.679758308157	7.0	4.0	5.0	4.0	662.0	104.0	30.0	528.0
24	29	1914.6964504283965	1506.6964504283965	9.0	4.0	7.0	4.0	817.0	132.0	57.0	628.0
25	8	2142.536345776032	334.6385068762279	9.0	4.0	8.0	4.0	509.0	64.0	65.0	380.0
25	27	1862.679758308157	1490.679758308157	7.0	4.0	5.0	4.0	662.0	104.0	30.0	528.0
25	29	1914.6964504283965	1506.6964504283965	9.0	4.0	7.0	4.0	817.0	132.0	57.0	628.0
26	4	183.0	484.0	1.0	1.0	0.0	1.0	20.0	7.0	0.0	13.0
