Brightness	Occurrences
13.0	10
132.0	7
256.0	6
364.0	6
304.0	6
168.0	6
164.0	6
252.0	5
528.0	5
160.0	5
21.0	5
224.0	5
236.0	5
628.0	4
208.0	4
276.0	4
19.0	4
280.0	4
20.0	4
584.0	4
416.0	4
212.0	3
26.0	3
360.0	3
216.0	3
136.0	3
332.0	3
480.0	3
432.0	3
516.0	3
314.0	2
560.0	2
632.0	2
90.0	2
860.0	2
1033.0	2
154.0	2
272.0	2
78.0	2
512.0	2
342.0	2
804.0	2
372.0	2
504.0	2
412.0	2
380.0	2
25.0	2
472.0	2
346.0	2
468.0	2
588.0	2
344.0	2
257.0	2
471.0	2
386.0	2
542.0	1
322.0	1
772.0	1
672.0	1
350.0	1
736.0	1
1030.0	1
456.0	1
146.0	1
408.0	1
302.0	1
268.0	1
23.0	1
460.0	1
196.0	1
572.0	1
710.0	1
652.0	1
294.0	1
46.0	1
532.0	1
228.0	1
536.0	1
404.0	1
424.0	1
178.0	1
306.0	1
328.0	1
484.0	1
45.0	1
330.0	1
44.0	1
428.0	1
410.0	1
296.0	1
290.0	1
780.0	1
880.0	1
463.0	1
470.0	1
