Brightness	Occurrences
341.0	6
436.0	6
213.0	4
163.0	4
817.0	4
288.0	4
230.0	4
659.0	4
509.0	3
243.0	3
393.0	3
263.0	3
506.0	3
171.0	3
521.0	3
267.0	3
167.0	3
527.0	3
246.0	2
634.0	2
1834.0	2
445.0	2
500.0	2
502.0	2
697.0	2
280.0	2
274.0	2
455.0	2
1073.0	2
343.0	2
292.0	2
720.0	2
392.0	2
588.0	2
385.0	2
199.0	2
220.0	2
421.0	2
597.0	2
753.0	2
1158.0	2
821.0	2
287.0	2
918.0	2
1833.0	2
317.0	2
646.0	2
663.0	2
157.0	2
585.0	2
162.0	2
960.0	2
802.0	2
315.0	2
222.0	2
479.0	2
594.0	2
456.0	2
196.0	2
573.0	2
584.0	2
580.0	2
662.0	2
823.0	2
454.0	2
1052.0	1
21.0	1
388.0	1
1943.0	1
340.0	1
525.0	1
1025.0	1
339.0	1
533.0	1
342.0	1
265.0	1
284.0	1
217.0	1
290.0	1
563.0	1
771.0	1
737.0	1
681.0	1
440.0	1
181.0	1
361.0	1
994.0	1
642.0	1
914.0	1
568.0	1
414.0	1
474.0	1
938.0	1
939.0	1
437.0	1
519.0	1
20.0	1
383.0	1
670.0	1
529.0	1
757.0	1
483.0	1
1050.0	1
318.0	1
860.0	1
345.0	1
182.0	1
498.0	1
201.0	1
327.0	1
294.0	1
428.0	1
968.0	1
367.0	1
134.0	1
712.0	1
333.0	1
592.0	1
631.0	1
192.0	1
513.0	1
601.0	1
36.0	1
894.0	1
138.0	1
443.0	1
671.0	1
1189.0	1
236.0	1
675.0	1
637.0	1
