Brightness	Occurrences
7.0	12
3.0	11
30.0	11
4.0	10
52.0	10
5.0	9
8.0	9
60.0	8
72.0	7
132.0	6
6.0	6
104.0	5
120.0	5
108.0	5
92.0	4
48.0	4
100.0	4
84.0	4
76.0	4
88.0	4
2.0	4
380.0	3
56.0	3
180.0	2
436.0	2
112.0	2
196.0	2
504.0	2
376.0	2
672.0	2
764.0	2
568.0	2
500.0	2
480.0	2
280.0	2
1308.0	2
796.0	2
164.0	2
548.0	2
144.0	2
691.0	2
64.0	2
139.0	2
716.0	1
332.0	1
204.0	1
372.0	1
720.0	1
116.0	1
456.0	1
9.0	1
348.0	1
178.0	1
512.0	1
460.0	1
172.0	1
124.0	1
33.0	1
156.0	1
804.0	1
228.0	1
182.0	1
140.0	1
10.0	1
492.0	1
484.0	1
464.0	1
75.0	1
18.0	1
