Brightness	Occurrences
10.0	16
2.0	16
5.0	12
6.0	12
124.0	7
7.0	7
3.0	7
364.0	6
8.0	6
4.0	6
164.0	6
18.0	6
27.0	6
168.0	6
15.0	6
304.0	6
21.0	5
252.0	5
132.0	5
128.0	5
256.0	5
29.0	5
236.0	5
22.0	5
200.0	5
11.0	4
628.0	4
160.0	4
276.0	4
292.0	4
13.0	4
176.0	4
584.0	4
284.0	4
188.0	4
416.0	4
208.0	4
280.0	4
19.0	4
28.0	3
432.0	3
360.0	3
16.0	3
212.0	3
136.0	3
528.0	3
216.0	3
140.0	3
516.0	3
24.0	3
480.0	3
342.0	2
78.0	2
468.0	2
472.0	2
372.0	2
154.0	2
272.0	2
240.0	2
560.0	2
1033.0	2
9.0	2
144.0	2
471.0	2
860.0	2
336.0	2
632.0	2
636.0	2
804.0	2
90.0	2
380.0	2
257.0	2
512.0	2
504.0	2
588.0	2
42.0	2
26.0	2
25.0	2
184.0	2
344.0	2
346.0	2
386.0	2
412.0	2
20.0	2
672.0	1
148.0	1
244.0	1
224.0	1
146.0	1
302.0	1
1030.0	1
350.0	1
736.0	1
772.0	1
14.0	1
542.0	1
572.0	1
152.0	1
340.0	1
12.0	1
460.0	1
456.0	1
23.0	1
532.0	1
322.0	1
45.0	1
536.0	1
54.0	1
50.0	1
87.0	1
424.0	1
328.0	1
290.0	1
388.0	1
38.0	1
780.0	1
66.0	1
652.0	1
46.0	1
408.0	1
228.0	1
880.0	1
308.0	1
404.0	1
178.0	1
306.0	1
484.0	1
192.0	1
330.0	1
44.0	1
332.0	1
428.0	1
410.0	1
296.0	1
463.0	1
294.0	1
710.0	1
470.0	1
