Brightness	Occurrences
3.0	23
2.0	16
24.0	13
57.0	12
12.0	10
18.0	7
148.0	7
200.0	7
30.0	6
31.0	5
172.0	5
19.0	5
64.0	5
248.0	5
49.0	4
80.0	4
48.0	4
72.0	4
65.0	4
108.0	4
180.0	4
228.0	4
276.0	4
68.0	4
9.0	3
220.0	3
169.0	3
25.0	3
308.0	3
4.0	3
45.0	3
69.0	3
164.0	3
88.0	3
96.0	3
32.0	2
153.0	2
116.0	2
181.0	2
98.0	2
212.0	2
100.0	2
356.0	2
129.0	2
156.0	2
52.0	2
101.0	2
14.0	2
243.0	2
128.0	2
265.0	2
13.0	2
28.0	2
92.0	2
6.0	2
89.0	2
268.0	2
176.0	2
152.0	2
51.0	2
36.0	2
112.0	2
76.0	2
35.0	2
168.0	2
184.0	2
10.0	1
252.0	1
236.0	1
304.0	1
409.0	1
39.0	1
192.0	1
424.0	1
124.0	1
163.0	1
7.0	1
93.0	1
84.0	1
81.0	1
40.0	1
204.0	1
120.0	1
207.0	1
352.0	1
44.0	1
73.0	1
5.0	1
221.0	1
324.0	1
105.0	1
217.0	1
60.0	1
141.0	1
85.0	1
8.0	1
332.0	1
364.0	1
107.0	1
56.0	1
119.0	1
110.0	1
117.0	1
136.0	1
38.0	1
20.0	1
444.0	1
284.0	1
157.0	1
