Brightness	Occurrences
436.0	9
274.0	6
308.0	6
341.0	6
162.0	6
346.0	6
243.0	6
170.0	6
145.0	5
163.0	5
199.0	5
180.0	5
267.0	5
236.0	4
817.0	4
204.0	4
205.0	4
213.0	4
192.0	4
342.0	4
74.0	4
298.0	4
288.0	4
659.0	4
167.0	3
90.0	3
334.0	3
315.0	3
291.0	3
148.0	3
509.0	3
611.0	3
69.0	3
290.0	3
200.0	3
114.0	3
359.0	3
521.0	3
34.0	3
249.0	3
338.0	3
287.0	3
265.0	3
241.0	3
171.0	3
364.0	3
178.0	3
122.0	3
157.0	3
527.0	3
187.0	3
263.0	3
172.0	3
506.0	3
248.0	3
133.0	3
340.0	3
646.0	3
328.0	2
848.0	2
138.0	2
347.0	2
1028.0	2
262.0	2
479.0	2
245.0	2
153.0	2
500.0	2
502.0	2
697.0	2
1834.0	2
823.0	2
86.0	2
494.0	2
427.0	2
634.0	2
1073.0	2
455.0	2
720.0	2
276.0	2
217.0	2
332.0	2
385.0	2
292.0	2
394.0	2
343.0	2
161.0	2
207.0	2
254.0	2
445.0	2
374.0	2
454.0	2
246.0	2
206.0	2
370.0	2
272.0	2
1833.0	2
102.0	2
588.0	2
802.0	2
821.0	2
362.0	2
106.0	2
836.0	2
193.0	2
643.0	2
456.0	2
222.0	2
568.0	2
470.0	2
597.0	2
649.0	2
960.0	2
585.0	2
319.0	2
580.0	2
796.0	2
918.0	2
275.0	2
594.0	2
665.0	2
181.0	2
421.0	2
317.0	2
570.0	2
149.0	2
753.0	2
584.0	2
151.0	2
256.0	2
663.0	2
1158.0	2
405.0	2
573.0	2
266.0	1
538.0	1
283.0	1
1052.0	1
994.0	1
209.0	1
242.0	1
642.0	1
681.0	1
1020.0	1
309.0	1
914.0	1
737.0	1
403.0	1
313.0	1
510.0	1
10.0	1
771.0	1
331.0	1
1024.0	1
352.0	1
281.0	1
563.0	1
339.0	1
284.0	1
185.0	1
98.0	1
908.0	1
146.0	1
361.0	1
1943.0	1
414.0	1
533.0	1
746.0	1
462.0	1
329.0	1
525.0	1
294.0	1
1025.0	1
121.0	1
519.0	1
383.0	1
670.0	1
529.0	1
619.0	1
420.0	1
353.0	1
757.0	1
110.0	1
483.0	1
119.0	1
948.0	1
173.0	1
278.0	1
431.0	1
617.0	1
437.0	1
85.0	1
1050.0	1
218.0	1
458.0	1
83.0	1
860.0	1
139.0	1
182.0	1
166.0	1
498.0	1
428.0	1
968.0	1
474.0	1
586.0	1
1468.0	1
939.0	1
409.0	1
496.0	1
318.0	1
712.0	1
333.0	1
592.0	1
631.0	1
513.0	1
542.0	1
601.0	1
324.0	1
306.0	1
894.0	1
764.0	1
938.0	1
169.0	1
443.0	1
671.0	1
1189.0	1
258.0	1
675.0	1
231.0	1
134.0	1
367.0	1
709.0	1
637.0	1
