Brightness	Occurrences
3.0	18
6.0	16
8.0	13
52.0	13
30.0	12
7.0	12
4.0	12
72.0	11
132.0	9
14.0	8
60.0	8
9.0	8
144.0	8
2.0	7
240.0	7
236.0	6
336.0	6
5.0	5
100.0	5
196.0	5
108.0	5
120.0	5
88.0	5
56.0	4
64.0	4
268.0	4
112.0	4
76.0	4
84.0	4
92.0	4
136.0	4
348.0	4
620.0	3
280.0	3
516.0	3
452.0	3
176.0	3
332.0	3
584.0	3
188.0	3
544.0	3
420.0	3
324.0	3
116.0	3
104.0	3
80.0	3
232.0	3
412.0	3
96.0	3
296.0	2
548.0	2
204.0	2
691.0	2
656.0	2
472.0	2
248.0	2
480.0	2
764.0	2
636.0	2
168.0	2
672.0	2
164.0	2
180.0	2
436.0	2
500.0	2
568.0	2
18.0	2
1308.0	2
320.0	2
272.0	2
504.0	2
796.0	2
139.0	2
48.0	2
852.0	2
316.0	2
376.0	2
256.0	2
404.0	2
152.0	2
668.0	2
148.0	2
264.0	2
512.0	1
444.0	1
848.0	1
178.0	1
408.0	1
756.0	1
456.0	1
340.0	1
844.0	1
720.0	1
16.0	1
244.0	1
372.0	1
276.0	1
252.0	1
172.0	1
33.0	1
460.0	1
440.0	1
182.0	1
160.0	1
140.0	1
588.0	1
184.0	1
696.0	1
464.0	1
75.0	1
592.0	1
484.0	1
328.0	1
804.0	1
716.0	1
200.0	1
640.0	1
124.0	1
212.0	1
208.0	1
492.0	1
10.0	1
228.0	1
156.0	1
728.0	1
300.0	1
