#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	31	2433.5	1726.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
1	31	2433.5	1726.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
2	14	1271.9526627218936	1080.9526627218936	7.0	0.0	7.0	0.0	169.0	0.0	169.0	0.0
2	15	1458.5	1085.5	4.0	0.0	4.0	0.0	308.0	0.0	308.0	0.0
2	20	1634.51376146789	1294.3302752293578	6.0	1.0	5.0	4.0	327.0	7.0	63.0	256.0
2	23	2033.5	1354.5	4.0	0.0	4.0	0.0	184.0	0.0	184.0	0.0
2	29	672.5	1703.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
3	38	1543.4736842105262	1842.5	4.0	0.0	4.0	2.0	76.0	0.0	72.0	4.0
4	19	1779.625	1170.75	3.0	2.0	3.0	0.0	24.0	8.0	16.0	0.0
4	36	707.5026737967914	1928.235294117647	6.0	4.0	4.0	1.0	374.0	96.0	276.0	2.0
4	40	2282.5	2001.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
5	19	1779.625	1170.75	3.0	2.0	3.0	0.0	24.0	8.0	16.0	0.0
5	36	707.5026737967914	1928.235294117647	6.0	4.0	4.0	1.0	374.0	96.0	276.0	2.0
5	40	2282.5	2001.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
6	14	98.5	1245.6263736263736	4.0	0.0	4.0	2.0	182.0	0.0	136.0	46.0
7	2	2098.5106382978724	69.48936170212765	4.0	0.0	4.0	0.0	94.0	0.0	94.0	0.0
8	13	788.5	995.5	4.0	0.0	4.0	0.0	248.0	0.0	248.0	0.0
9	13	788.5	995.5	4.0	0.0	4.0	0.0	248.0	0.0	248.0	0.0
10	20	16.5	943.5412844036696	4.0	0.0	4.0	4.0	218.0	0.0	152.0	66.0
11	26	1640.5117647058823	1582.2382352941177	6.0	1.0	4.0	4.0	340.0	6.0	93.0	240.0
12	28	2052.6	1752.2888888888888	9.0	4.0	5.0	5.0	585.0	52.0	184.0	346.0
13	28	2052.6	1752.2888888888888	9.0	4.0	5.0	5.0	585.0	52.0	184.0	346.0
14	22	2062.5	1619.5	4.0	0.0	4.0	0.0	248.0	0.0	248.0	0.0
