Brightness	Occurrences
72.0	8
152.0	6
184.0	5
180.0	4
136.0	4
248.0	3
364.0	3
200.0	3
69.0	3
140.0	3
172.0	3
308.0	3
753.0	2
316.0	2
24.0	2
697.0	2
243.0	2
1834.0	2
265.0	2
206.0	2
588.0	2
412.0	2
156.0	2
1158.0	2
74.0	2
509.0	2
315.0	2
362.0	2
340.0	2
585.0	2
204.0	2
328.0	2
76.0	2
153.0	2
374.0	2
659.0	2
802.0	2
256.0	2
1468.0	1
496.0	1
409.0	1
712.0	1
94.0	1
276.0	1
1025.0	1
185.0	1
1052.0	1
746.0	1
592.0	1
771.0	1
737.0	1
163.0	1
681.0	1
291.0	1
1943.0	1
65.0	1
894.0	1
631.0	1
348.0	1
218.0	1
461.0	1
757.0	1
239.0	1
670.0	1
45.0	1
176.0	1
122.0	1
367.0	1
149.0	1
231.0	1
114.0	1
675.0	1
220.0	1
1189.0	1
43.0	1
671.0	1
169.0	1
268.0	1
521.0	1
182.0	1
324.0	1
164.0	1
332.0	1
327.0	1
637.0	1
