#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	12	665.5109489051094	1015.5109489051094	4.0	4.0	0.0	1.0	274.0	268.0	0.0	6.0
0	15	2340.6813880126183	1090.6813880126183	7.0	4.0	5.0	4.0	634.0	100.0	30.0	504.0
0	34	2235.505882352941	1875.5058823529407	4.0	4.0	0.0	1.0	170.0	168.0	0.0	2.0
1	12	665.5109489051094	1015.5109489051094	4.0	4.0	0.0	1.0	274.0	268.0	0.0	6.0
1	15	2340.6813880126183	1090.6813880126183	7.0	4.0	5.0	4.0	634.0	100.0	30.0	504.0
1	34	2235.505882352941	1875.5058823529407	4.0	4.0	0.0	1.0	170.0	168.0	0.0	2.0
4	23	129.51445086705203	1411.514450867052	4.0	4.0	0.0	1.0	346.0	336.0	0.0	10.0
4	29	2165.521815008726	1595.521815008726	4.0	4.0	0.0	1.0	573.0	548.0	0.0	25.0
4	36	707.5026737967914	1928.235294117647	6.0	4.0	4.0	1.0	374.0	96.0	276.0	2.0
5	23	129.51445086705203	1411.514450867052	4.0	4.0	0.0	1.0	346.0	336.0	0.0	10.0
5	29	2165.521815008726	1595.521815008726	4.0	4.0	0.0	1.0	573.0	548.0	0.0	25.0
5	36	707.5026737967914	1928.235294117647	6.0	4.0	4.0	1.0	374.0	96.0	276.0	2.0
6	7	1753.5175644028102	641.5175644028103	4.0	4.0	0.0	1.0	427.0	412.0	0.0	15.0
6	36	1383.5198329853863	1879.5198329853863	4.0	4.0	0.0	1.0	479.0	460.0	0.0	19.0
7	12	1761.5101449275362	533.5101449275362	4.0	4.0	0.0	2.0	345.0	332.0	0.0	13.0
7	13	113.5	559.5	4.0	4.0	0.0	0.0	112.0	112.0	0.0	0.0
7	22	278.69767441860466	952.6976744186046	9.0	5.0	7.0	4.0	860.0	144.0	64.0	652.0
7	34	1675.519650655022	1665.519650655022	4.0	4.0	0.0	1.0	458.0	440.0	0.0	18.0
10	9	1325.5	497.5	4.0	4.0	0.0	0.0	112.0	112.0	0.0	0.0
10	10	2151.508620689656	509.5086206896552	4.0	4.0	0.0	1.0	232.0	228.0	0.0	4.0
10	28	1380.6780185758514	1544.6780185758514	7.0	4.0	5.0	4.0	646.0	100.0	30.0	516.0
10	32	2114.715238095238	1812.7066666666667	9.0	6.0	7.0	4.0	1050.0	182.0	88.0	780.0
11	28	2117.5235008103728	1661.5202593192869	4.0	4.0	0.0	2.0	617.0	588.0	0.0	29.0
11	33	1267.5080213903743	1797.5080213903743	4.0	4.0	0.0	1.0	187.0	184.0	0.0	3.0
12	14	2333.671206225681	1027.6712062256809	7.0	4.0	0.0	4.0	1028.0	852.0	0.0	176.0
12	21	2407.5131578947367	1405.5131578947369	4.0	4.0	0.0	1.0	304.0	296.0	0.0	8.0
12	32	383.50344827586207	1915.503448275862	4.0	4.0	0.0	0.0	145.0	144.0	0.0	0.0
13	14	2333.671206225681	1027.6712062256809	7.0	4.0	0.0	4.0	1028.0	852.0	0.0	176.0
13	21	2407.5131578947367	1405.5131578947369	4.0	4.0	0.0	1.0	304.0	296.0	0.0	8.0
13	32	383.50344827586207	1915.503448275862	4.0	4.0	0.0	0.0	145.0	144.0	0.0	0.0
14	4	777.5084745762712	503.5084745762712	4.0	4.0	0.0	1.0	236.0	232.0	0.0	4.0
14	12	1833.6708333333331	1083.6708333333331	7.0	4.0	0.0	4.0	960.0	796.0	0.0	164.0
14	20	837.5150812064966	1557.5150812064965	4.0	4.0	1.0	1.0	431.0	412.0	2.0	15.0
15	10	783.9532374100719	401.51079136690646	8.0	8.0	0.0	2.0	278.0	272.0	0.0	6.0
15	14	1133.936416184971	601.5028901734104	6.0	4.0	4.0	0.0	173.0	96.0	76.0	0.0
15	15	123.64135021097046	683.5210970464135	9.0	4.0	4.0	6.0	948.0	696.0	112.0	140.0
15	20	2423.5175644028104	1037.5175644028102	4.0	4.0	0.0	1.0	427.0	412.0	0.0	15.0
15	36	531.4957983193277	1727.5126050420167	4.0	4.0	0.0	1.0	119.0	116.0	0.0	2.0
15	40	123.51966873706004	1995.51966873706	4.0	4.0	0.0	1.0	483.0	464.0	0.0	19.0
15	43	787.5149700598803	2021.51497005988	4.0	4.0	0.0	1.0	334.0	324.0	0.0	10.0
16	12	1259.503448275862	657.5034482758621	4.0	4.0	0.0	0.0	145.0	144.0	0.0	0.0
16	21	1689.5191489361705	1251.5191489361705	4.0	4.0	0.0	1.0	470.0	452.0	0.0	18.0
17	12	1259.503448275862	657.5034482758621	4.0	4.0	0.0	0.0	145.0	144.0	0.0	0.0
17	21	1689.5191489361705	1251.5191489361705	4.0	4.0	0.0	1.0	470.0	452.0	0.0	18.0
18	21	847.5	1489.5098039215686	4.0	4.0	0.0	0.0	102.0	100.0	0.0	0.0
18	23	1824.6908850726552	1556.6908850726552	9.0	4.0	7.0	4.0	757.0	120.0	49.0	588.0
19	4	584.656188605108	274.65618860510807	7.0	5.0	5.0	4.0	509.0	75.0	18.0	416.0
19	17	989.5	1392.2238095238097	6.0	4.0	4.0	0.0	420.0	116.0	304.0	0.0
19	22	1919.4952741020795	1661.5425330812857	4.0	4.0	0.0	2.0	529.0	484.0	0.0	45.0
19	23	1065.5220949263503	1675.5220949263503	4.0	4.0	0.0	1.0	611.0	584.0	0.0	27.0
19	33	1521.5	2007.904255319149	6.0	4.0	4.0	0.0	188.0	112.0	76.0	0.0
20	39	30.069400630914828	1900.96214511041	7.0	5.0	3.0	4.0	317.0	139.0	9.0	168.0
21	39	30.069400630914828	1900.96214511041	7.0	5.0	3.0	4.0	317.0	139.0	9.0	168.0
23	31	1409.5147928994083	1669.5147928994083	4.0	4.0	0.0	1.0	338.0	328.0	0.0	10.0
26	28	1663.6694214876034	1523.6694214876034	7.0	4.0	0.0	4.0	968.0	804.0	0.0	164.0
26	38	855.518771331058	1973.4368600682596	6.0	4.0	4.0	1.0	586.0	516.0	48.0	22.0
27	10	2219.605077574048	501.6473906911143	6.0	4.0	0.0	3.0	709.0	620.0	0.0	87.0
28	15	653.5073529411765	1001.5147058823528	4.0	4.0	0.0	2.0	272.0	264.0	0.0	8.0
28	31	865.514450867052	1597.514450867052	4.0	4.0	0.0	1.0	346.0	336.0	0.0	10.0
28	33	1265.899618112384	1683.4926350245498	14.0	8.0	7.0	8.0	1833.0	1308.0	268.0	257.0
29	15	653.5073529411765	1001.5147058823528	4.0	4.0	0.0	2.0	272.0	264.0	0.0	8.0
29	31	865.514450867052	1597.514450867052	4.0	4.0	0.0	1.0	346.0	336.0	0.0	10.0
29	33	1265.899618112384	1683.4926350245498	14.0	8.0	7.0	8.0	1833.0	1308.0	268.0	257.0
30	49	933.5073891625616	1795.5073891625616	4.0	4.0	0.0	1.0	203.0	200.0	0.0	3.0
31	42	1521.5116279069769	1995.5116279069769	4.0	4.0	0.0	1.0	258.0	252.0	0.0	6.0
32	7	944.28981348637	262.9512195121951	10.0	8.0	6.0	6.0	697.0	280.0	31.0	386.0
32	35	1109.52	1821.52	4.0	4.0	0.0	1.0	500.0	480.0	0.0	20.0
32	39	217.5201535508637	1893.520153550864	4.0	4.0	0.0	1.0	521.0	500.0	0.0	21.0
