Brightness	Occurrences
346.0	6
145.0	5
112.0	5
334.0	3
304.0	3
611.0	3
342.0	3
436.0	3
274.0	3
241.0	3
359.0	3
1833.0	2
848.0	2
697.0	2
500.0	2
521.0	2
1834.0	2
272.0	2
665.0	2
570.0	2
114.0	2
494.0	2
254.0	2
634.0	2
720.0	2
455.0	2
164.0	2
96.0	2
394.0	2
255.0	2
753.0	2
649.0	2
421.0	2
317.0	2
918.0	2
796.0	2
960.0	2
170.0	2
573.0	2
374.0	2
427.0	2
479.0	2
823.0	2
232.0	2
646.0	2
594.0	2
802.0	2
1028.0	2
643.0	2
290.0	2
470.0	2
385.0	1
1943.0	1
510.0	1
281.0	1
538.0	1
209.0	1
242.0	1
329.0	1
462.0	1
266.0	1
737.0	1
262.0	1
104.0	1
1020.0	1
361.0	1
908.0	1
316.0	1
533.0	1
315.0	1
287.0	1
994.0	1
1024.0	1
642.0	1
914.0	1
243.0	1
249.0	1
331.0	1
764.0	1
283.0	1
1052.0	1
420.0	1
509.0	1
757.0	1
102.0	1
483.0	1
119.0	1
948.0	1
173.0	1
278.0	1
431.0	1
236.0	1
187.0	1
617.0	1
1050.0	1
458.0	1
860.0	1
345.0	1
529.0	1
188.0	1
338.0	1
542.0	1
525.0	1
1468.0	1
275.0	1
568.0	1
712.0	1
513.0	1
276.0	1
207.0	1
968.0	1
938.0	1
30.0	1
1189.0	1
258.0	1
203.0	1
709.0	1
586.0	1
151.0	1
