Brightness	Occurrences
112.0	10
144.0	8
100.0	6
336.0	6
236.0	6
96.0	5
120.0	5
116.0	5
296.0	5
348.0	4
248.0	4
268.0	4
332.0	4
228.0	3
544.0	3
420.0	3
620.0	3
516.0	3
584.0	3
412.0	3
324.0	3
452.0	3
280.0	3
232.0	3
404.0	2
656.0	2
500.0	2
204.0	2
672.0	2
764.0	2
320.0	2
568.0	2
472.0	2
504.0	2
436.0	2
668.0	2
636.0	2
256.0	2
376.0	2
480.0	2
852.0	2
139.0	2
168.0	2
548.0	2
200.0	2
796.0	2
272.0	2
691.0	2
1308.0	2
264.0	2
716.0	1
408.0	1
460.0	1
372.0	1
244.0	1
720.0	1
844.0	1
848.0	1
456.0	1
440.0	1
182.0	1
756.0	1
588.0	1
184.0	1
178.0	1
640.0	1
512.0	1
260.0	1
444.0	1
21.0	1
804.0	1
328.0	1
276.0	1
696.0	1
728.0	1
464.0	1
75.0	1
492.0	1
484.0	1
212.0	1
252.0	1
