Value	Count
6.0	723
8.0	498
24.0	322
4.0	148
3.0	95
10.0	75
48.0	69
88.0	64
96.0	60
2.0	60
19.0	58
72.0	57
80.0	57
104.0	55
52.0	55
56.0	51
28.0	50
64.0	49
68.0	49
84.0	49
92.0	47
136.0	44
12.0	44
32.0	43
40.0	40
44.0	39
112.0	39
60.0	39
36.0	37
172.0	37
120.0	37
100.0	35
240.0	35
128.0	34
116.0	34
144.0	33
148.0	33
76.0	33
13.0	33
160.0	33
18.0	32
108.0	32
212.0	32
208.0	29
124.0	29
188.0	28
176.0	26
224.0	26
25.0	26
156.0	25
152.0	25
132.0	25
228.0	25
30.0	25
236.0	24
200.0	24
57.0	23
280.0	23
7.0	23
73.0	22
49.0	22
244.0	22
204.0	22
140.0	22
168.0	21
196.0	21
180.0	21
252.0	20
260.0	20
164.0	19
184.0	19
232.0	19
284.0	18
31.0	18
97.0	17
276.0	17
248.0	17
264.0	16
220.0	16
81.0	16
192.0	16
272.0	16
89.0	15
256.0	15
288.0	15
216.0	14
304.0	13
308.0	12
65.0	11
300.0	11
332.0	11
312.0	11
5.0	10
316.0	10
296.0	10
268.0	10
105.0	9
320.0	8
344.0	8
33.0	8
292.0	8
336.0	7
90.0	6
58.0	6
328.0	6
20.0	6
340.0	5
77.0	5
51.0	5
130.0	4
301.0	4
113.0	4
129.0	4
368.0	4
364.0	4
29.0	4
348.0	4
181.0	4
87.0	4
94.0	4
54.0	3
26.0	3
45.0	3
352.0	3
15.0	3
109.0	3
289.0	3
225.0	2
55.0	2
117.0	2
53.0	2
74.0	2
50.0	2
699.0	2
429.0	2
154.0	2
460.0	2
209.0	2
93.0	2
41.0	2
239.0	2
110.0	2
69.0	2
390.0	2
103.0	2
134.0	2
452.0	2
35.0	2
98.0	2
126.0	2
165.0	2
95.0	2
177.0	2
223.0	2
329.0	2
169.0	2
287.0	2
85.0	2
324.0	2
37.0	2
167.0	1
238.0	1
412.0	1
321.0	1
135.0	1
133.0	1
210.0	1
380.0	1
27.0	1
161.0	1
146.0	1
67.0	1
191.0	1
218.0	1
149.0	1
298.0	1
215.0	1
174.0	1
121.0	1
9.0	1
465.0	1
82.0	1
360.0	1
384.0	1
438.0	1
185.0	1
157.0	1
11.0	1
106.0	1
221.0	1
125.0	1
372.0	1
253.0	1
114.0	1
246.0	1
22.0	1
59.0	1
141.0	1
273.0	1
