Value	Count
48.0	554
24.0	395
20.0	381
18.0	297
22.0	228
52.0	181
26.0	156
50.0	110
28.0	105
13.0	81
60.0	72
56.0	63
30.0	49
16.0	46
6.0	38
54.0	30
64.0	26
32.0	19
58.0	18
40.0	15
68.0	15
72.0	14
104.0	12
62.0	12
132.0	12
96.0	11
76.0	11
158.0	11
51.0	10
208.0	10
53.0	10
49.0	9
36.0	9
88.0	9
92.0	9
116.0	8
80.0	8
7.0	8
12.0	8
140.0	7
120.0	7
25.0	7
160.0	6
240.0	6
280.0	6
17.0	6
172.0	6
191.0	5
128.0	5
308.0	5
245.0	5
100.0	5
336.0	5
150.0	5
37.0	5
176.0	5
283.0	5
220.0	5
125.0	5
21.0	5
70.0	5
61.0	5
15.0	5
108.0	4
224.0	4
110.0	4
162.0	4
66.0	4
133.0	4
59.0	4
136.0	4
419.0	4
38.0	4
219.0	4
14.0	4
187.0	4
314.0	4
200.0	4
406.0	4
555.0	4
486.0	4
19.0	4
112.0	4
372.0	4
334.0	4
148.0	4
312.0	4
320.0	4
183.0	4
184.0	4
9.0	4
646.0	4
65.0	3
57.0	3
195.0	3
45.0	3
241.0	3
167.0	3
10.0	3
168.0	3
166.0	3
141.0	3
447.0	3
256.0	3
776.0	3
69.0	3
253.0	3
46.0	3
204.0	3
291.0	3
232.0	3
156.0	3
261.0	3
154.0	3
358.0	3
292.0	3
412.0	3
236.0	3
134.0	3
230.0	3
275.0	3
360.0	3
179.0	3
386.0	2
840.0	2
201.0	2
502.0	2
399.0	2
563.0	2
384.0	2
650.0	2
436.0	2
466.0	2
1337.0	2
638.0	2
255.0	2
491.0	2
257.0	2
170.0	2
525.0	2
213.0	2
222.0	2
394.0	2
584.0	2
63.0	2
214.0	2
39.0	2
475.0	2
675.0	2
666.0	2
84.0	2
192.0	2
1385.0	2
259.0	2
102.0	2
188.0	2
196.0	2
29.0	2
1197.0	2
260.0	2
273.0	2
199.0	2
243.0	2
212.0	2
492.0	2
572.0	2
493.0	2
89.0	2
387.0	2
368.0	2
440.0	2
152.0	2
124.0	2
612.0	2
769.0	2
381.0	2
560.0	2
569.0	2
41.0	2
504.0	2
396.0	2
385.0	2
216.0	2
543.0	2
44.0	2
996.0	2
250.0	2
131.0	2
510.0	2
67.0	2
597.0	2
898.0	2
175.0	2
294.0	2
190.0	2
55.0	2
488.0	2
118.0	2
506.0	2
270.0	2
704.0	2
1398.0	2
438.0	2
680.0	1
449.0	1
494.0	1
263.0	1
146.0	1
185.0	1
149.0	1
86.0	1
142.0	1
287.0	1
144.0	1
858.0	1
693.0	1
599.0	1
576.0	1
81.0	1
517.0	1
1279.0	1
604.0	1
43.0	1
215.0	1
1403.0	1
181.0	1
509.0	1
580.0	1
266.0	1
350.0	1
295.0	1
316.0	1
808.0	1
887.0	1
299.0	1
641.0	1
513.0	1
389.0	1
383.0	1
868.0	1
363.0	1
339.0	1
228.0	1
288.0	1
457.0	1
346.0	1
82.0	1
596.0	1
269.0	1
431.0	1
515.0	1
660.0	1
164.0	1
337.0	1
310.0	1
174.0	1
455.0	1
920.0	1
376.0	1
671.0	1
856.0	1
217.0	1
720.0	1
813.0	1
333.0	1
119.0	1
234.0	1
636.0	1
432.0	1
884.0	1
272.0	1
296.0	1
642.0	1
226.0	1
322.0	1
743.0	1
248.0	1
356.0	1
344.0	1
582.0	1
341.0	1
531.0	1
408.0	1
542.0	1
180.0	1
445.0	1
306.0	1
561.0	1
171.0	1
568.0	1
461.0	1
1238.0	1
205.0	1
593.0	1
933.0	1
221.0	1
301.0	1
741.0	1
129.0	1
427.0	1
279.0	1
197.0	1
98.0	1
157.0	1
325.0	1
207.0	1
558.0	1
318.0	1
211.0	1
706.0	1
284.0	1
305.0	1
784.0	1
370.0	1
528.0	1
282.0	1
588.0	1
209.0	1
534.0	1
375.0	1
244.0	1
795.0	1
332.0	1
227.0	1
251.0	1
145.0	1
151.0	1
416.0	1
