Value	Count
48.0	752
12.0	420
14.0	336
18.0	204
52.0	202
20.0	195
22.0	94
11.0	84
16.0	74
60.0	74
8.0	55
56.0	52
10.0	35
64.0	25
7.0	21
2.0	20
6.0	19
3.0	19
33.0	17
68.0	13
4.0	12
72.0	12
100.0	10
88.0	9
9.0	9
156.0	8
124.0	8
84.0	8
24.0	8
30.0	7
240.0	7
80.0	7
5.0	6
184.0	6
92.0	6
132.0	5
164.0	5
160.0	5
140.0	5
120.0	4
324.0	4
108.0	4
304.0	4
216.0	4
404.0	4
472.0	4
188.0	4
104.0	4
248.0	4
116.0	4
244.0	4
236.0	4
300.0	4
392.0	4
296.0	3
208.0	3
172.0	3
180.0	3
420.0	3
112.0	3
232.0	3
636.0	3
204.0	3
224.0	2
152.0	2
168.0	2
568.0	2
372.0	2
196.0	2
432.0	2
532.0	2
276.0	2
96.0	2
264.0	2
51.0	2
748.0	2
448.0	2
364.0	2
272.0	2
27.0	2
136.0	2
456.0	2
384.0	2
508.0	2
536.0	2
368.0	2
128.0	2
134.0	2
256.0	1
496.0	1
288.0	1
340.0	1
260.0	1
230.0	1
548.0	1
59.0	1
612.0	1
176.0	1
336.0	1
352.0	1
492.0	1
280.0	1
316.0	1
292.0	1
192.0	1
76.0	1
764.0	1
716.0	1
200.0	1
308.0	1
444.0	1
212.0	1
416.0	1
366.0	1
544.0	1
284.0	1
412.0	1
252.0	1
268.0	1
484.0	1
83.0	1
148.0	1
144.0	1
524.0	1
512.0	1
520.0	1
488.0	1
728.0	1
388.0	1
736.0	1
