Value	Count
48.0	697
12.0	383
14.0	342
52.0	231
18.0	186
20.0	178
11.0	114
22.0	97
60.0	76
56.0	70
16.0	65
8.0	60
10.0	46
6.0	42
3.0	33
2.0	23
64.0	21
4.0	20
33.0	20
84.0	17
9.0	15
7.0	15
72.0	14
76.0	14
30.0	12
88.0	12
80.0	11
144.0	11
136.0	11
68.0	11
5.0	10
108.0	10
128.0	10
92.0	9
124.0	9
188.0	9
316.0	9
308.0	9
100.0	9
96.0	8
228.0	8
116.0	8
248.0	8
216.0	7
156.0	7
160.0	7
164.0	7
232.0	7
484.0	7
276.0	6
192.0	6
176.0	6
288.0	6
132.0	6
112.0	6
268.0	6
236.0	6
564.0	6
120.0	5
292.0	5
416.0	5
456.0	5
172.0	5
24.0	5
240.0	5
304.0	5
340.0	5
328.0	5
26.0	4
528.0	4
196.0	4
184.0	4
272.0	4
444.0	4
168.0	4
712.0	3
244.0	3
200.0	3
256.0	3
36.0	3
104.0	3
424.0	3
452.0	3
324.0	3
400.0	3
560.0	3
220.0	3
296.0	3
260.0	3
360.0	3
772.0	2
472.0	2
620.0	2
71.0	2
496.0	2
284.0	2
368.0	2
652.0	2
752.0	2
376.0	2
392.0	2
612.0	2
182.0	2
404.0	2
608.0	2
788.0	2
344.0	2
628.0	2
101.0	2
556.0	2
544.0	2
504.0	2
744.0	2
570.0	2
208.0	2
252.0	2
140.0	2
336.0	2
139.0	1
476.0	1
148.0	1
25.0	1
204.0	1
364.0	1
468.0	1
332.0	1
352.0	1
54.0	1
224.0	1
449.0	1
408.0	1
516.0	1
768.0	1
388.0	1
356.0	1
536.0	1
480.0	1
520.0	1
212.0	1
588.0	1
152.0	1
568.0	1
300.0	1
264.0	1
748.0	1
524.0	1
508.0	1
180.0	1
780.0	1
372.0	1
448.0	1
