Value	Count
2.0	341
4.0	223
3.0	73
8.0	56
6.0	49
7.0	47
10.0	45
5.0	37
20.0	33
15.0	33
16.0	30
13.0	29
19.0	26
148.0	25
9.0	25
14.0	25
18.0	24
11.0	24
24.0	23
32.0	21
12.0	21
124.0	20
29.0	19
21.0	19
128.0	19
132.0	18
30.0	17
272.0	17
28.0	15
27.0	15
26.0	14
168.0	14
25.0	14
252.0	14
280.0	14
156.0	13
136.0	12
520.0	12
22.0	12
40.0	11
152.0	11
496.0	10
236.0	10
42.0	10
380.0	10
256.0	10
600.0	10
296.0	10
440.0	9
284.0	9
232.0	9
140.0	9
224.0	9
400.0	9
328.0	9
204.0	9
304.0	9
188.0	9
160.0	8
408.0	8
268.0	8
420.0	8
332.0	8
320.0	7
212.0	7
164.0	7
316.0	7
472.0	7
324.0	7
244.0	7
468.0	6
248.0	6
126.0	6
404.0	6
264.0	6
54.0	6
532.0	6
240.0	6
716.0	6
424.0	6
476.0	6
184.0	6
652.0	5
584.0	5
216.0	5
744.0	5
340.0	5
176.0	5
452.0	5
50.0	5
444.0	5
192.0	5
396.0	5
524.0	5
17.0	5
484.0	5
220.0	5
52.0	5
528.0	5
200.0	5
548.0	5
344.0	5
556.0	4
208.0	4
632.0	4
700.0	4
592.0	4
288.0	4
322.0	4
708.0	4
290.0	4
172.0	4
412.0	4
756.0	4
398.0	4
144.0	4
504.0	4
508.0	4
23.0	4
48.0	4
616.0	4
276.0	4
696.0	4
382.0	4
196.0	4
228.0	4
764.0	4
378.0	3
416.0	3
364.0	3
456.0	3
752.0	3
368.0	3
480.0	3
530.0	3
38.0	3
134.0	3
596.0	3
448.0	3
180.0	3
684.0	3
720.0	3
466.0	3
292.0	3
432.0	3
392.0	3
644.0	3
668.0	3
352.0	3
728.0	3
438.0	3
676.0	3
928.0	3
624.0	3
146.0	3
772.0	3
260.0	3
576.0	3
308.0	3
664.0	3
608.0	3
544.0	3
732.0	3
428.0	3
656.0	3
688.0	3
736.0	3
310.0	2
522.0	2
840.0	2
828.0	2
372.0	2
58.0	2
356.0	2
348.0	2
170.0	2
1024.0	2
944.0	2
692.0	2
854.0	2
856.0	2
500.0	2
660.0	2
302.0	2
724.0	2
460.0	2
417.0	2
812.0	2
768.0	2
672.0	2
560.0	2
464.0	2
820.0	2
514.0	2
916.0	2
492.0	2
748.0	2
87.0	2
568.0	2
612.0	2
920.0	2
960.0	2
948.0	2
470.0	2
564.0	2
442.0	2
488.0	2
366.0	2
436.0	2
166.0	2
896.0	2
358.0	2
804.0	2
31.0	2
848.0	2
338.0	2
552.0	2
924.0	2
578.0	2
384.0	2
312.0	2
138.0	2
784.0	2
602.0	2
330.0	1
222.0	1
410.0	1
588.0	1
44.0	1
194.0	1
46.0	1
852.0	1
498.0	1
958.0	1
776.0	1
516.0	1
326.0	1
562.0	1
844.0	1
334.0	1
654.0	1
350.0	1
1020.0	1
604.0	1
620.0	1
860.0	1
780.0	1
370.0	1
94.0	1
434.0	1
824.0	1
362.0	1
56.0	1
494.0	1
388.0	1
418.0	1
158.0	1
490.0	1
402.0	1
390.0	1
870.0	1
346.0	1
70.0	1
796.0	1
904.0	1
636.0	1
336.0	1
655.0	1
808.0	1
536.0	1
300.0	1
888.0	1
800.0	1
360.0	1
