Value	Count
48.0	823
12.0	458
14.0	312
20.0	248
52.0	225
18.0	220
22.0	111
11.0	99
60.0	95
6.0	77
8.0	68
56.0	65
64.0	62
16.0	57
2.0	54
7.0	54
3.0	42
10.0	40
72.0	34
80.0	34
96.0	34
4.0	34
76.0	33
33.0	30
30.0	30
84.0	28
140.0	28
100.0	27
88.0	27
104.0	26
9.0	25
124.0	24
156.0	22
160.0	21
128.0	21
112.0	20
132.0	19
164.0	19
136.0	19
148.0	18
196.0	18
5.0	18
68.0	18
208.0	17
440.0	16
172.0	16
316.0	14
268.0	13
244.0	13
152.0	13
144.0	13
92.0	13
184.0	13
108.0	12
236.0	12
116.0	12
188.0	11
296.0	11
216.0	11
328.0	10
248.0	10
392.0	10
380.0	10
276.0	10
384.0	10
192.0	10
224.0	10
176.0	9
324.0	9
460.0	9
204.0	9
264.0	9
180.0	9
168.0	9
340.0	9
308.0	9
344.0	9
572.0	8
420.0	8
400.0	8
444.0	8
220.0	8
256.0	8
464.0	8
424.0	8
232.0	7
592.0	7
408.0	7
228.0	7
212.0	7
200.0	7
448.0	7
372.0	7
364.0	7
240.0	7
304.0	6
312.0	6
768.0	6
280.0	6
548.0	6
120.0	6
288.0	6
332.0	6
292.0	6
656.0	6
360.0	6
684.0	5
484.0	5
496.0	5
44.0	5
436.0	5
644.0	5
536.0	5
376.0	5
348.0	5
260.0	5
428.0	5
648.0	5
560.0	4
452.0	4
336.0	4
616.0	4
600.0	4
432.0	4
388.0	4
580.0	4
504.0	4
508.0	4
492.0	4
252.0	4
352.0	4
480.0	4
472.0	4
500.0	4
628.0	4
396.0	3
700.0	3
680.0	3
272.0	3
636.0	3
716.0	3
552.0	3
824.0	3
368.0	3
584.0	3
404.0	3
488.0	3
808.0	3
576.0	3
720.0	3
416.0	3
728.0	3
24.0	3
688.0	2
612.0	2
50.0	2
516.0	2
1028.0	2
676.0	2
640.0	2
1020.0	2
153.0	2
66.0	2
540.0	2
804.0	2
756.0	2
704.0	2
476.0	2
79.0	2
356.0	2
83.0	2
596.0	2
632.0	2
1012.0	2
555.0	2
652.0	2
920.0	2
696.0	2
936.0	2
744.0	2
524.0	2
412.0	2
468.0	2
740.0	2
668.0	2
320.0	2
604.0	2
660.0	2
544.0	2
520.0	1
588.0	1
528.0	1
456.0	1
860.0	1
512.0	1
386.0	1
564.0	1
67.0	1
792.0	1
880.0	1
748.0	1
568.0	1
672.0	1
992.0	1
796.0	1
784.0	1
125.0	1
556.0	1
70.0	1
284.0	1
40.0	1
896.0	1
651.0	1
42.0	1
