#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	0	753.5	13.0	2.0	2.0	2.0	0.0	20.0	10.0	10.0	0.0
0	1	2422.5	109.0	2.0	0.0	2.0	2.0	42.0	0.0	6.0	36.0
0	2	2121.5	123.0	2.0	2.0	2.0	0.0	28.0	20.0	8.0	0.0
0	3	499.5	217.0	2.0	2.0	2.0	0.0	24.0	18.0	6.0	0.0
0	4	801.5	347.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
0	5	2221.5	347.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
0	6	905.5	387.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	7	417.48	455.0	2.0	2.0	2.0	0.0	25.0	18.0	7.0	0.0
0	8	571.5	715.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
0	9	907.5	721.0	2.0	2.0	2.0	0.0	22.0	14.0	8.0	0.0
0	10	2285.5	775.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	11	2087.5	971.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	12	665.5109489051094	1015.5109489051094	4.0	4.0	0.0	1.0	274.0	268.0	0.0	6.0
0	13	911.5	1023.0	2.0	2.0	2.0	0.0	26.0	18.0	8.0	0.0
0	14	2404.5	1033.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
0	15	2340.6813880126183	1090.6813880126183	7.0	4.0	5.0	4.0	634.0	100.0	30.0	504.0
0	16	2047.5	1103.0	2.0	2.0	2.0	0.0	22.0	18.0	4.0	0.0
0	17	1338.7204100652377	1190.7204100652377	9.0	4.0	7.0	5.0	1073.0	180.0	89.0	804.0
0	18	972.5	1283.4583333333333	4.0	0.0	4.0	2.0	48.0	0.0	44.0	4.0
0	19	1668.5	1293.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
0	20	2388.700956937799	1320.700956937799	9.0	4.0	7.0	4.0	836.0	136.0	64.0	636.0
0	21	1891.5	1355.4285714285713	4.0	4.0	2.0	0.0	56.0	48.0	8.0	0.0
0	22	1105.5	1431.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	23	1445.5	1447.0	2.0	2.0	0.0	0.0	22.0	20.0	0.0	0.0
0	24	2353.5138461538463	1449.513846153846	4.0	4.0	0.0	1.0	325.0	316.0	0.0	9.0
0	25	534.9745762711865	1461.0084745762713	7.0	2.0	7.0	0.0	236.0	8.0	228.0	0.0
0	26	1341.5	1525.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	27	999.5	1653.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	28	380.78300455235205	1658.783004552352	7.0	4.0	5.0	5.0	659.0	164.0	24.0	471.0
0	29	125.5	1679.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	30	2086.513043478261	1724.513043478261	4.0	1.0	0.0	4.0	230.0	5.0	0.0	224.0
0	31	2433.5	1726.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
0	32	2215.5	1807.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	33	2077.5	1833.0	2.0	2.0	0.0	0.0	22.0	20.0	0.0	0.0
0	34	2235.505882352941	1875.5058823529412	4.0	4.0	0.0	1.0	170.0	168.0	0.0	2.0
0	35	328.0	1937.0	1.0	1.0	0.0	1.0	13.0	11.0	0.0	2.0
0	36	65.0	1966.0	1.0	1.0	0.0	1.0	13.0	11.0	0.0	2.0
0	37	1945.4583333333333	2001.0	2.0	2.0	2.0	1.0	24.0	14.0	8.0	2.0
0	38	2061.5	2004.0	2.0	2.0	0.0	0.0	22.0	20.0	0.0	0.0
1	0	753.5	13.0	2.0	2.0	2.0	0.0	20.0	10.0	10.0	0.0
1	1	2422.5	109.0	2.0	0.0	2.0	2.0	42.0	0.0	6.0	36.0
1	2	2121.5	123.0	2.0	2.0	2.0	0.0	28.0	20.0	8.0	0.0
1	3	499.5	217.0	2.0	2.0	2.0	0.0	24.0	18.0	6.0	0.0
1	4	801.5	347.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
1	5	2221.5	347.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
1	6	905.5	387.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
1	7	417.48	455.0	2.0	2.0	2.0	0.0	25.0	18.0	7.0	0.0
1	8	571.5	715.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
1	9	907.5	721.0	2.0	2.0	2.0	0.0	22.0	14.0	8.0	0.0
1	10	2285.5	775.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
1	11	2087.5	971.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
1	12	665.5109489051094	1015.5109489051094	4.0	4.0	0.0	1.0	274.0	268.0	0.0	6.0
1	13	911.5	1023.0	2.0	2.0	2.0	0.0	26.0	18.0	8.0	0.0
1	14	2404.5	1033.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
1	15	2340.6813880126183	1090.6813880126183	7.0	4.0	5.0	4.0	634.0	100.0	30.0	504.0
1	16	2047.5	1103.0	2.0	2.0	2.0	0.0	22.0	18.0	4.0	0.0
1	17	1338.7204100652377	1190.7204100652377	9.0	4.0	7.0	5.0	1073.0	180.0	89.0	804.0
1	18	972.5	1283.4583333333333	4.0	0.0	4.0	2.0	48.0	0.0	44.0	4.0
1	19	1668.5	1293.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
1	20	2388.700956937799	1320.700956937799	9.0	4.0	7.0	4.0	836.0	136.0	64.0	636.0
1	21	1891.5	1355.4285714285713	4.0	4.0	2.0	0.0	56.0	48.0	8.0	0.0
1	22	1105.5	1431.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
1	23	1445.5	1447.0	2.0	2.0	0.0	0.0	22.0	20.0	0.0	0.0
1	24	2353.5138461538463	1449.513846153846	4.0	4.0	0.0	1.0	325.0	316.0	0.0	9.0
1	25	534.9745762711865	1461.0084745762713	7.0	2.0	7.0	0.0	236.0	8.0	228.0	0.0
1	26	1341.5	1525.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
1	27	999.5	1653.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
1	28	380.78300455235205	1658.783004552352	7.0	4.0	5.0	5.0	659.0	164.0	24.0	471.0
1	29	125.5	1679.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
1	30	2086.513043478261	1724.513043478261	4.0	1.0	0.0	4.0	230.0	5.0	0.0	224.0
1	31	2433.5	1726.5	4.0	0.0	4.0	0.0	72.0	0.0	72.0	0.0
1	32	2215.5	1807.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
1	33	2077.5	1833.0	2.0	2.0	0.0	0.0	22.0	20.0	0.0	0.0
1	34	2235.505882352941	1875.5058823529412	4.0	4.0	0.0	1.0	170.0	168.0	0.0	2.0
1	35	328.0	1937.0	1.0	1.0	0.0	1.0	13.0	11.0	0.0	2.0
1	36	65.0	1966.0	1.0	1.0	0.0	1.0	13.0	11.0	0.0	2.0
1	37	1945.4583333333333	2001.0	2.0	2.0	2.0	1.0	24.0	14.0	8.0	2.0
1	38	2061.5	2004.0	2.0	2.0	0.0	0.0	22.0	20.0	0.0	0.0
2	0	813.0	26.0	1.0	1.0	0.0	1.0	13.0	11.0	0.0	2.0
2	1	1841.5	45.0	2.0	2.0	2.0	0.0	22.0	18.0	4.0	0.0
2	2	255.5	61.0	2.0	2.0	2.0	0.0	16.0	8.0	8.0	0.0
2	3	1359.5	137.5	4.0	4.0	0.0	0.0	52.0	52.0	0.0	0.0
2	4	2181.5	173.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
2	5	625.5	267.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
2	6	1741.5	481.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
2	7	391.0	523.0	1.0	0.0	1.0	0.0	7.0	0.0	7.0	0.0
2	8	89.5	757.5	2.0	2.0	0.0	2.0	26.0	22.0	0.0	4.0
2	9	161.5	831.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
2	10	2337.5	915.5	4.0	4.0	0.0	0.0	52.0	52.0	0.0	0.0
2	11	178.5204081632653	938.5204081632653	4.0	1.0	1.0	4.0	294.0	9.0	3.0	280.0
2	12	503.5	1049.0	2.0	2.0	2.0	0.0	22.0	18.0	4.0	0.0
2	13	1771.5	1073.0	2.0	2.0	2.0	0.0	24.0	18.0	6.0	0.0
2	14	1271.9526627218936	1080.9526627218936	7.0	0.0	7.0	0.0	169.0	0.0	169.0	0.0
2	15	1458.5	1085.5	4.0	0.0	4.0	0.0	308.0	0.0	308.0	0.0
2	16	354.5	1127.5	4.0	0.0	4.0	0.0	88.0	0.0	88.0	0.0
2	17	2409.5	1157.0	2.0	2.0	2.0	0.0	16.0	8.0	8.0	0.0
2	18	1335.48	1285.48	4.0	4.0	0.0	1.0	50.0	48.0	0.0	2.0
2	19	1069.5	1287.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
2	20	1634.51376146789	1294.3302752293578	6.0	1.0	5.0	4.0	327.0	7.0	63.0	256.0
2	21	231.52	1299.48	4.0	4.0	0.0	1.0	50.0	48.0	0.0	2.0
2	22	1231.5076923076922	1315.5076923076922	4.0	4.0	0.0	1.0	195.0	192.0	0.0	3.0
2	23	2033.5	1354.5	4.0	0.0	4.0	0.0	184.0	0.0	184.0	0.0
2	24	1353.5	1383.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
2	25	857.5	1491.0	2.0	2.0	2.0	0.0	22.0	14.0	8.0	0.0
2	26	2427.5	1539.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
2	27	995.5	1557.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
2	28	359.4848484848485	1681.4242424242425	4.0	4.0	2.0	1.0	66.0	56.0	8.0	2.0
2	29	672.5	1703.5	4.0	0.0	4.0	0.0	172.0	0.0	172.0	0.0
2	30	1773.5	1793.0	2.0	2.0	2.0	0.0	16.0	8.0	8.0	0.0
2	31	2305.503759398496	1839.5037593984962	4.0	4.0	0.0	0.0	133.0	132.0	0.0	0.0
2	32	673.5	1867.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
2	33	1448.651376146789	1918.651376146789	7.0	4.0	5.0	4.0	436.0	60.0	12.0	364.0
2	34	672.5	1939.5	4.0	0.0	4.0	0.0	68.0	0.0	68.0	0.0
2	35	1431.4864864864865	1945.4864864864865	4.0	4.0	0.0	1.0	74.0	72.0	0.0	2.0
2	36	634.5077720207254	1998.5025906735752	4.0	1.0	0.0	4.0	193.0	3.0	0.0	188.0
3	0	1113.5	17.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
3	1	1125.48	109.52	4.0	4.0	0.0	1.0	50.0	48.0	0.0	2.0
3	2	243.5	173.5	4.0	4.0	0.0	0.0	52.0	52.0	0.0	0.0
3	3	895.5	173.0	2.0	2.0	2.0	0.0	22.0	16.0	6.0	0.0
3	4	519.5384615384615	231.5	4.0	4.0	0.0	2.0	52.0	48.0	0.0	4.0
3	5	1181.5	285.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
3	6	2175.5	361.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
3	7	253.5	363.42857142857144	4.0	4.0	2.0	0.0	56.0	48.0	8.0	0.0
3	8	1643.5	499.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
3	9	1994.5	551.5	4.0	0.0	4.0	0.0	64.0	0.0	64.0	0.0
3	10	765.5	609.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
3	11	2335.5	682.5	4.0	0.0	4.0	0.0	68.0	0.0	68.0	0.0
3	12	841.5	701.5	4.0	4.0	0.0	0.0	52.0	52.0	0.0	0.0
3	13	1877.5	733.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
3	14	2367.5	837.0	2.0	2.0	2.0	0.0	24.0	18.0	6.0	0.0
3	15	2212.5124378109454	956.5124378109452	4.0	1.0	0.0	4.0	201.0	4.0	0.0	196.0
3	16	270.66265060240966	984.6626506024096	7.0	4.0	5.0	4.0	498.0	72.0	18.0	408.0
3	17	1717.5	990.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
3	18	2377.5	1009.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
3	19	13.5	1059.0	2.0	2.0	2.0	0.0	24.0	18.0	6.0	0.0
3	20	269.0	1081.0	1.0	0.0	1.0	0.0	6.0	0.0	6.0	0.0
3	21	1957.5	1139.5	4.0	4.0	0.0	0.0	60.0	60.0	0.0	0.0
3	22	91.5	1175.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
3	23	2425.5	1261.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
3	24	2199.5	1267.5	4.0	4.0	0.0	0.0	56.0	56.0	0.0	0.0
3	25	1335.5	1285.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
3	26	231.5	1299.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
3	27	1707.5	1405.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
3	28	1208.6724137931035	1432.6724137931035	7.0	4.0	5.0	4.0	580.0	88.0	24.0	468.0
3	29	609.5025380710659	1495.502538071066	4.0	4.0	0.0	2.0	197.0	192.0	0.0	5.0
3	30	2410.671232876712	1522.6712328767123	7.0	4.0	5.0	4.0	584.0	88.0	24.0	472.0
3	31	1665.5	1527.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
3	32	677.5	1589.0	2.0	2.0	2.0	0.0	24.0	18.0	6.0	0.0
3	33	2021.5	1727.0	2.0	2.0	2.0	0.0	26.0	20.0	6.0	0.0
3	34	76.51711026615969	1742.5171102661598	4.0	1.0	1.0	4.0	263.0	7.0	2.0	252.0
3	35	2046.6600790513835	1754.6600790513835	7.0	4.0	5.0	4.0	506.0	72.0	18.0	416.0
3	36	1412.5	1827.5094339622642	4.0	0.0	4.0	2.0	212.0	0.0	208.0	4.0
3	37	1156.5060240963855	1832.3614457831325	6.0	1.0	4.0	4.0	166.0	2.0	24.0	140.0
3	38	1543.4736842105262	1842.5	4.0	0.0	4.0	2.0	76.0	0.0	72.0	4.0
3	39	1572.5	1921.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
