Value	Count
48.0	33.0
26.0	29.0
52.0	27.0
20.0	11.0
51.0	10.0
16.0	10.0
60.0	9.0
32.0	7.0
64.0	7.0
6.0	7.0
132.0	6.0
104.0	6.0
96.0	6.0
12.0	6.0
22.0	6.0
36.0	5.0
208.0	5.0
116.0	5.0
110.0	4.0
21.0	4.0
280.0	4.0
200.0	4.0
406.0	4.0
17.0	4.0
555.0	4.0
336.0	4.0
646.0	4.0
261.0	3.0
204.0	3.0
57.0	3.0
176.0	3.0
283.0	3.0
291.0	3.0
70.0	3.0
61.0	3.0
245.0	3.0
486.0	3.0
133.0	3.0
419.0	3.0
320.0	3.0
219.0	3.0
314.0	3.0
312.0	3.0
372.0	3.0
360.0	3.0
358.0	3.0
447.0	3.0
158.0	3.0
172.0	3.0
240.0	3.0
160.0	3.0
72.0	3.0
166.0	2.0
385.0	2.0
769.0	2.0
560.0	2.0
386.0	2.0
569.0	2.0
396.0	2.0
236.0	2.0
292.0	2.0
597.0	2.0
996.0	2.0
840.0	2.0
294.0	2.0
190.0	2.0
118.0	2.0
506.0	2.0
704.0	2.0
69.0	2.0
256.0	2.0
612.0	2.0
563.0	2.0
387.0	2.0
257.0	2.0
666.0	2.0
675.0	2.0
214.0	2.0
222.0	2.0
170.0	2.0
1197.0	2.0
273.0	2.0
492.0	2.0
491.0	2.0
29.0	2.0
255.0	2.0
572.0	2.0
1337.0	2.0
466.0	2.0
493.0	2.0
436.0	2.0
650.0	2.0
89.0	2.0
1385.0	2.0
1398.0	2.0
162.0	2.0
65.0	2.0
54.0	2.0
125.0	2.0
40.0	2.0
100.0	2.0
30.0	2.0
25.0	2.0
68.0	2.0
220.0	2.0
438.0	2.0
136.0	2.0
59.0	2.0
45.0	2.0
224.0	2.0
241.0	2.0
167.0	2.0
1403.0	1.0
215.0	1.0
784.0	1.0
743.0	1.0
181.0	1.0
305.0	1.0
528.0	1.0
706.0	1.0
211.0	1.0
558.0	1.0
808.0	1.0
887.0	1.0
641.0	1.0
284.0	1.0
1279.0	1.0
604.0	1.0
263.0	1.0
151.0	1.0
251.0	1.0
227.0	1.0
244.0	1.0
375.0	1.0
494.0	1.0
146.0	1.0
209.0	1.0
858.0	1.0
693.0	1.0
599.0	1.0
576.0	1.0
534.0	1.0
81.0	1.0
325.0	1.0
197.0	1.0
157.0	1.0
513.0	1.0
461.0	1.0
455.0	1.0
445.0	1.0
920.0	1.0
542.0	1.0
671.0	1.0
408.0	1.0
531.0	1.0
217.0	1.0
582.0	1.0
720.0	1.0
119.0	1.0
636.0	1.0
432.0	1.0
642.0	1.0
1238.0	1.0
660.0	1.0
515.0	1.0
129.0	1.0
383.0	1.0
288.0	1.0
457.0	1.0
322.0	1.0
346.0	1.0
427.0	1.0
82.0	1.0
593.0	1.0
596.0	1.0
741.0	1.0
301.0	1.0
269.0	1.0
933.0	1.0
431.0	1.0
248.0	1.0
339.0	1.0
584.0	1.0
543.0	1.0
638.0	1.0
134.0	1.0
243.0	1.0
191.0	1.0
201.0	1.0
776.0	1.0
37.0	1.0
504.0	1.0
384.0	1.0
175.0	1.0
334.0	1.0
131.0	1.0
510.0	1.0
184.0	1.0
19.0	1.0
250.0	1.0
652.0	-1.0
662.0	-1.0
298.0	-1.0
282.0	-1.0
76.0	-1.0
659.0	-1.0
391.0	-1.0
349.0	-1.0
293.0	-1.0
985.0	-1.0
318.0	-1.0
812.0	-1.0
98.0	-1.0
297.0	-1.0
495.0	-1.0
950.0	-1.0
423.0	-1.0
108.0	-1.0
839.0	-1.0
365.0	-1.0
150.0	-1.0
844.0	-1.0
265.0	-1.0
395.0	-1.0
302.0	-1.0
271.0	-1.0
484.0	-1.0
991.0	-1.0
463.0	-1.0
411.0	-1.0
177.0	-1.0
522.0	-1.0
468.0	-1.0
378.0	-1.0
772.0	-1.0
366.0	-1.0
603.0	-1.0
634.0	-1.0
83.0	-1.0
77.0	-1.0
451.0	-1.0
1174.0	-1.0
126.0	-1.0
712.0	-1.0
1096.0	-1.0
281.0	-1.0
1013.0	-1.0
145.0	-1.0
262.0	-1.0
321.0	-1.0
670.0	-1.0
328.0	-1.0
109.0	-1.0
267.0	-1.0
213.0	-1.0
557.0	-1.0
138.0	-1.0
228.0	-1.0
424.0	-1.0
363.0	-1.0
442.0	-1.0
199.0	-1.0
299.0	-1.0
212.0	-1.0
698.0	-1.0
295.0	-1.0
326.0	-1.0
453.0	-1.0
440.0	-1.0
1081.0	-1.0
401.0	-1.0
147.0	-1.0
797.0	-1.0
517.0	-1.0
968.0	-1.0
364.0	-1.0
929.0	-1.0
142.0	-1.0
121.0	-1.0
459.0	-1.0
570.0	-1.0
345.0	-1.0
502.0	-1.0
628.0	-1.0
202.0	-1.0
148.0	-1.0
1170.0	-1.0
672.0	-1.0
1033.0	-1.0
195.0	-1.0
617.0	-1.0
141.0	-1.0
1109.0	-1.0
296.0	-1.0
272.0	-1.0
884.0	-1.0
290.0	-1.0
74.0	-1.0
412.0	-1.0
519.0	-1.0
337.0	-1.0
778.0	-1.0
376.0	-1.0
388.0	-1.0
1069.0	-1.0
379.0	-1.0
333.0	-1.0
1189.0	-1.0
619.0	-2.0
242.0	-2.0
127.0	-2.0
618.0	-2.0
268.0	-2.0
644.0	-2.0
573.0	-2.0
473.0	-2.0
444.0	-2.0
1056.0	-2.0
367.0	-2.0
530.0	-2.0
465.0	-2.0
130.0	-2.0
796.0	-2.0
405.0	-2.0
556.0	-2.0
1024.0	-2.0
449.0	-2.0
1044.0	-2.0
137.0	-2.0
203.0	-2.0
128.0	-2.0
221.0	-2.0
38.0	-2.0
568.0	-2.0
171.0	-2.0
341.0	-2.0
234.0	-2.0
232.0	-2.0
156.0	-2.0
154.0	-2.0
102.0	-2.0
188.0	-2.0
196.0	-2.0
350.0	-2.0
381.0	-2.0
67.0	-2.0
626.0	-2.0
590.0	-2.0
327.0	-2.0
498.0	-2.0
33.0	-2.0
27.0	-2.0
496.0	-2.0
73.0	-2.0
615.0	-2.0
735.0	-2.0
551.0	-2.0
1281.0	-2.0
392.0	-2.0
340.0	-2.0
42.0	-2.0
500.0	-2.0
780.0	-2.0
487.0	-2.0
264.0	-2.0
908.0	-2.0
226.0	-3.0
527.0	-3.0
344.0	-3.0
9.0	-3.0
112.0	-3.0
306.0	-3.0
338.0	-3.0
66.0	-3.0
253.0	-3.0
716.0	-3.0
316.0	-3.0
31.0	-3.0
266.0	-3.0
