Value	Count
52.0	26.0
24.0	26.0
104.0	18.0
20.0	17.0
64.0	17.0
36.0	16.0
57.0	13.0
30.0	13.0
40.0	13.0
108.0	12.0
88.0	12.0
32.0	12.0
146.0	10.0
25.0	10.0
48.0	10.0
6.0	10.0
244.0	9.0
16.0	9.0
96.0	9.0
160.0	9.0
112.0	9.0
136.0	9.0
172.0	8.0
184.0	8.0
260.0	8.0
116.0	7.0
240.0	7.0
325.0	7.0
191.0	7.0
7.0	7.0
132.0	7.0
192.0	7.0
176.0	6.0
236.0	6.0
317.0	6.0
82.0	6.0
408.0	6.0
284.0	6.0
53.0	6.0
62.0	6.0
199.0	5.0
60.0	5.0
21.0	5.0
432.0	5.0
178.0	5.0
438.0	5.0
224.0	5.0
100.0	5.0
66.0	5.0
220.0	5.0
15.0	5.0
170.0	5.0
68.0	5.0
506.0	5.0
251.0	4.0
86.0	4.0
640.0	4.0
461.0	4.0
482.0	4.0
138.0	4.0
494.0	4.0
462.0	4.0
55.0	4.0
94.0	4.0
280.0	4.0
303.0	4.0
45.0	4.0
356.0	4.0
61.0	4.0
275.0	4.0
13.0	4.0
209.0	3.0
300.0	3.0
283.0	3.0
302.0	3.0
383.0	3.0
23.0	3.0
133.0	3.0
504.0	3.0
741.0	3.0
515.0	3.0
243.0	3.0
247.0	3.0
233.0	3.0
205.0	3.0
279.0	3.0
511.0	3.0
440.0	3.0
190.0	3.0
288.0	3.0
215.0	3.0
134.0	3.0
80.0	3.0
350.0	3.0
238.0	3.0
125.0	3.0
195.0	3.0
72.0	3.0
928.0	3.0
59.0	3.0
110.0	3.0
472.0	3.0
90.0	3.0
648.0	2.0
217.0	2.0
294.0	2.0
642.0	2.0
1019.0	2.0
200.0	2.0
390.0	2.0
683.0	2.0
904.0	2.0
531.0	2.0
1333.0	2.0
51.0	2.0
881.0	2.0
173.0	2.0
346.0	2.0
589.0	2.0
343.0	2.0
720.0	2.0
249.0	2.0
805.0	2.0
492.0	2.0
1021.0	2.0
428.0	2.0
610.0	2.0
351.0	2.0
211.0	2.0
101.0	2.0
963.0	2.0
248.0	2.0
948.0	2.0
660.0	2.0
714.0	2.0
641.0	2.0
85.0	2.0
674.0	2.0
466.0	2.0
474.0	2.0
1133.0	2.0
274.0	2.0
129.0	2.0
235.0	2.0
430.0	2.0
852.0	2.0
591.0	2.0
833.0	2.0
417.0	2.0
278.0	2.0
933.0	2.0
869.0	2.0
803.0	2.0
993.0	2.0
206.0	2.0
313.0	2.0
8.0	2.0
597.0	2.0
1073.0	2.0
481.0	2.0
581.0	2.0
427.0	2.0
892.0	2.0
702.0	2.0
817.0	2.0
653.0	2.0
888.0	2.0
152.0	2.0
420.0	2.0
219.0	2.0
84.0	2.0
271.0	2.0
416.0	2.0
148.0	2.0
147.0	2.0
241.0	2.0
551.0	2.0
216.0	2.0
232.0	2.0
384.0	2.0
17.0	2.0
42.0	2.0
166.0	2.0
753.0	2.0
623.0	2.0
553.0	2.0
210.0	2.0
434.0	2.0
230.0	2.0
194.0	1.0
1800.0	1.0
924.0	1.0
339.0	1.0
560.0	1.0
414.0	1.0
931.0	1.0
801.0	1.0
598.0	1.0
385.0	1.0
831.0	1.0
464.0	1.0
281.0	1.0
665.0	1.0
1179.0	1.0
1009.0	1.0
457.0	1.0
421.0	1.0
989.0	1.0
654.0	1.0
151.0	1.0
165.0	1.0
81.0	1.0
431.0	1.0
426.0	1.0
824.0	1.0
586.0	1.0
671.0	1.0
186.0	1.0
413.0	1.0
679.0	1.0
1137.0	1.0
197.0	1.0
301.0	1.0
1321.0	1.0
246.0	1.0
436.0	1.0
538.0	1.0
705.0	1.0
532.0	1.0
708.0	1.0
360.0	1.0
550.0	1.0
559.0	1.0
1032.0	1.0
227.0	1.0
218.0	1.0
470.0	1.0
534.0	1.0
540.0	1.0
382.0	1.0
547.0	1.0
1048.0	1.0
790.0	1.0
604.0	1.0
1380.0	1.0
542.0	1.0
578.0	1.0
554.0	1.0
585.0	1.0
1060.0	1.0
106.0	1.0
89.0	1.0
960.0	1.0
873.0	1.0
758.0	1.0
257.0	1.0
854.0	1.0
135.0	1.0
418.0	1.0
117.0	1.0
535.0	1.0
387.0	1.0
400.0	1.0
545.0	1.0
1598.0	1.0
976.0	1.0
594.0	1.0
198.0	1.0
539.0	1.0
456.0	1.0
11.0	1.0
828.0	1.0
1329.0	1.0
1077.0	1.0
406.0	1.0
137.0	1.0
207.0	1.0
38.0	1.0
180.0	1.0
156.0	1.0
304.0	1.0
389.0	1.0
297.0	1.0
316.0	1.0
226.0	1.0
326.0	1.0
570.0	1.0
465.0	1.0
267.0	1.0
349.0	1.0
778.0	1.0
292.0	1.0
295.0	1.0
201.0	1.0
39.0	1.0
203.0	1.0
856.0	1.0
228.0	1.0
424.0	1.0
318.0	1.0
588.0	1.0
43.0	1.0
74.0	1.0
262.0	1.0
345.0	1.0
681.0	1.0
144.0	1.0
171.0	1.0
749.0	1.0
631.0	1.0
756.0	1.0
793.0	1.0
380.0	1.0
28.0	1.0
204.0	1.0
403.0	1.0
724.0	1.0
1113.0	1.0
520.0	1.0
562.0	1.0
153.0	1.0
1013.0	-1.0
321.0	-1.0
395.0	-1.0
968.0	-1.0
314.0	-1.0
1096.0	-1.0
712.0	-1.0
265.0	-1.0
868.0	-1.0
