Value	Count
48.0	75.0
52.0	48.0
26.0	46.0
28.0	42.0
68.0	37.0
32.0	37.0
60.0	35.0
160.0	34.0
72.0	32.0
236.0	30.0
104.0	28.0
96.0	27.0
108.0	25.0
64.0	25.0
116.0	25.0
112.0	24.0
200.0	24.0
128.0	23.0
284.0	23.0
124.0	22.0
136.0	21.0
76.0	21.0
30.0	21.0
212.0	21.0
36.0	21.0
172.0	21.0
188.0	20.0
156.0	20.0
56.0	20.0
88.0	20.0
148.0	19.0
260.0	19.0
144.0	18.0
40.0	17.0
80.0	17.0
228.0	17.0
224.0	16.0
18.0	16.0
44.0	16.0
204.0	16.0
264.0	16.0
176.0	16.0
184.0	16.0
132.0	16.0
196.0	15.0
129.0	15.0
232.0	14.0
288.0	14.0
100.0	14.0
240.0	13.0
162.0	13.0
268.0	13.0
84.0	13.0
58.0	13.0
457.0	12.0
252.0	12.0
6.0	12.0
54.0	12.0
137.0	11.0
208.0	11.0
780.0	11.0
211.0	10.0
387.0	10.0
192.0	10.0
270.0	10.0
279.0	10.0
152.0	10.0
479.0	9.0
220.0	9.0
332.0	9.0
53.0	9.0
150.0	9.0
20.0	9.0
23.0	9.0
158.0	9.0
168.0	9.0
251.0	9.0
415.0	9.0
325.0	9.0
92.0	9.0
248.0	9.0
244.0	8.0
486.0	8.0
133.0	8.0
267.0	8.0
298.0	8.0
436.0	8.0
383.0	8.0
397.0	8.0
360.0	8.0
164.0	8.0
138.0	7.0
312.0	7.0
118.0	7.0
598.0	7.0
650.0	7.0
458.0	7.0
263.0	7.0
406.0	7.0
249.0	7.0
483.0	7.0
134.0	7.0
141.0	7.0
304.0	7.0
154.0	7.0
262.0	6.0
300.0	6.0
65.0	6.0
402.0	6.0
466.0	6.0
275.0	6.0
408.0	6.0
539.0	6.0
989.0	6.0
255.0	6.0
972.0	6.0
296.0	6.0
241.0	6.0
292.0	6.0
666.0	6.0
364.0	6.0
356.0	6.0
294.0	6.0
216.0	6.0
350.0	6.0
61.0	6.0
334.0	6.0
308.0	6.0
180.0	6.0
440.0	6.0
316.0	6.0
31.0	6.0
494.0	5.0
588.0	5.0
198.0	5.0
256.0	5.0
243.0	5.0
555.0	5.0
634.0	5.0
510.0	5.0
584.0	5.0
207.0	5.0
35.0	5.0
274.0	5.0
217.0	5.0
423.0	5.0
662.0	5.0
205.0	5.0
560.0	5.0
580.0	5.0
597.0	5.0
346.0	5.0
924.0	5.0
601.0	5.0
278.0	5.0
992.0	5.0
277.0	5.0
339.0	5.0
658.0	5.0
285.0	5.0
519.0	5.0
166.0	5.0
125.0	5.0
15.0	5.0
245.0	5.0
619.0	5.0
283.0	5.0
272.0	5.0
142.0	5.0
280.0	5.0
354.0	4.0
371.0	4.0
352.0	4.0
460.0	4.0
816.0	4.0
925.0	4.0
94.0	4.0
535.0	4.0
572.0	4.0
945.0	4.0
219.0	4.0
78.0	4.0
844.0	4.0
131.0	4.0
543.0	4.0
504.0	4.0
765.0	4.0
753.0	4.0
462.0	4.0
937.0	4.0
904.0	4.0
110.0	4.0
215.0	4.0
351.0	4.0
1017.0	4.0
355.0	4.0
342.0	4.0
303.0	4.0
329.0	4.0
782.0	4.0
492.0	4.0
322.0	4.0
506.0	4.0
289.0	4.0
645.0	4.0
309.0	4.0
892.0	4.0
438.0	4.0
57.0	4.0
191.0	4.0
38.0	4.0
206.0	4.0
234.0	4.0
213.0	4.0
363.0	4.0
98.0	4.0
451.0	4.0
388.0	4.0
187.0	4.0
395.0	4.0
485.0	4.0
348.0	4.0
540.0	3.0
335.0	3.0
611.0	3.0
625.0	3.0
820.0	3.0
374.0	3.0
455.0	3.0
686.0	3.0
542.0	3.0
1104.0	3.0
740.0	3.0
385.0	3.0
178.0	3.0
541.0	3.0
151.0	3.0
190.0	3.0
801.0	3.0
193.0	3.0
389.0	3.0
657.0	3.0
873.0	3.0
980.0	3.0
1240.0	3.0
607.0	3.0
660.0	3.0
684.0	3.0
106.0	3.0
478.0	3.0
608.0	3.0
768.0	3.0
291.0	3.0
860.0	3.0
146.0	3.0
916.0	3.0
877.0	3.0
577.0	3.0
574.0	3.0
997.0	3.0
547.0	3.0
319.0	3.0
1257.0	3.0
793.0	3.0
209.0	3.0
671.0	3.0
161.0	3.0
654.0	3.0
432.0	3.0
247.0	3.0
558.0	3.0
480.0	3.0
814.0	3.0
390.0	3.0
320.0	3.0
299.0	3.0
424.0	3.0
338.0	3.0
370.0	3.0
498.0	3.0
500.0	3.0
517.0	3.0
341.0	3.0
114.0	3.0
376.0	3.0
333.0	3.0
46.0	3.0
55.0	3.0
340.0	3.0
444.0	3.0
295.0	3.0
411.0	3.0
321.0	3.0
195.0	3.0
314.0	3.0
226.0	3.0
49.0	3.0
856.0	3.0
302.0	3.0
324.0	3.0
201.0	3.0
712.0	3.0
362.0	2.0
119.0	2.0
1292.0	2.0
578.0	2.0
1141.0	2.0
743.0	2.0
461.0	2.0
1092.0	2.0
375.0	2.0
649.0	2.0
864.0	2.0
832.0	2.0
960.0	2.0
821.0	2.0
1016.0	2.0
836.0	2.0
643.0	2.0
720.0	2.0
964.0	2.0
739.0	2.0
1241.0	2.0
413.0	2.0
788.0	2.0
11.0	2.0
563.0	2.0
1005.0	2.0
469.0	2.0
1029.0	2.0
51.0	2.0
122.0	2.0
420.0	2.0
1025.0	2.0
866.0	2.0
1052.0	2.0
404.0	2.0
630.0	2.0
947.0	2.0
669.0	2.0
808.0	2.0
273.0	2.0
537.0	2.0
1233.0	2.0
307.0	2.0
602.0	2.0
518.0	2.0
464.0	2.0
970.0	2.0
1073.0	2.0
585.0	2.0
888.0	2.0
1304.0	2.0
1206.0	2.0
347.0	2.0
286.0	2.0
838.0	2.0
734.0	2.0
218.0	2.0
427.0	2.0
730.0	2.0
214.0	2.0
8.0	2.0
170.0	2.0
396.0	2.0
117.0	2.0
798.0	2.0
1684.0	2.0
1248.0	2.0
587.0	2.0
223.0	2.0
526.0	2.0
139.0	2.0
564.0	2.0
524.0	2.0
1253.0	2.0
1001.0	2.0
186.0	2.0
393.0	2.0
531.0	2.0
189.0	2.0
605.0	2.0
733.0	2.0
729.0	2.0
921.0	2.0
1232.0	2.0
467.0	2.0
822.0	2.0
1147.0	2.0
770.0	2.0
785.0	2.0
1129.0	2.0
772.0	2.0
239.0	2.0
74.0	2.0
344.0	2.0
266.0	2.0
271.0	2.0
968.0	2.0
391.0	2.0
617.0	2.0
230.0	2.0
345.0	2.0
908.0	2.0
468.0	2.0
561.0	2.0
367.0	2.0
459.0	2.0
336.0	2.0
145.0	2.0
242.0	2.0
573.0	2.0
85.0	2.0
1040.0	2.0
258.0	2.0
414.0	2.0
123.0	2.0
632.0	2.0
599.0	2.0
470.0	2.0
472.0	2.0
513.0	2.0
1150.0	2.0
143.0	2.0
1149.0	2.0
1611.0	2.0
380.0	2.0
181.0	2.0
741.0	2.0
774.0	2.0
1676.0	2.0
994.0	2.0
784.0	1.0
90.0	1.0
582.0	1.0
881.0	1.0
646.0	1.0
1145.0	1.0
683.0	1.0
750.0	1.0
779.0	1.0
1162.0	1.0
165.0	1.0
476.0	1.0
330.0	1.0
896.0	1.0
508.0	1.0
569.0	1.0
818.0	1.0
858.0	1.0
227.0	1.0
428.0	1.0
664.0	1.0
1312.0	1.0
257.0	1.0
544.0	1.0
229.0	1.0
407.0	1.0
946.0	1.0
431.0	1.0
800.0	1.0
809.0	1.0
523.0	1.0
511.0	1.0
97.0	1.0
627.0	1.0
1197.0	1.0
728.0	1.0
1348.0	1.0
859.0	1.0
386.0	1.0
448.0	1.0
447.0	1.0
512.0	1.0
533.0	1.0
614.0	1.0
872.0	1.0
874.0	1.0
1084.0	1.0
400.0	1.0
952.0	1.0
1195.0	1.0
1211.0	1.0
708.0	1.0
655.0	1.0
825.0	1.0
545.0	1.0
482.0	1.0
82.0	1.0
594.0	1.0
675.0	1.0
875.0	1.0
71.0	1.0
538.0	1.0
534.0	1.0
194.0	1.0
674.0	1.0
622.0	1.0
926.0	1.0
1352.0	1.0
1112.0	1.0
1065.0	1.0
474.0	1.0
430.0	1.0
1032.0	1.0
1048.0	1.0
862.0	1.0
373.0	1.0
323.0	1.0
153.0	1.0
426.0	1.0
89.0	1.0
559.0	1.0
583.0	1.0
1224.0	1.0
490.0	1.0
235.0	1.0
1102.0	1.0
1116.0	1.0
1064.0	1.0
562.0	1.0
716.0	1.0
70.0	1.0
530.0	1.0
12.0	1.0
327.0	1.0
442.0	1.0
290.0	1.0
287.0	1.0
183.0	1.0
419.0	1.0
37.0	1.0
670.0	1.0
203.0	1.0
359.0	1.0
626.0	1.0
416.0	1.0
463.0	1.0
24.0	1.0
475.0	1.0
638.0	1.0
628.0	1.0
281.0	1.0
509.0	1.0
484.0	1.0
453.0	1.0
177.0	1.0
86.0	1.0
140.0	1.0
379.0	1.0
813.0	1.0
698.0	1.0
797.0	1.0
991.0	1.0
328.0	1.0
349.0	1.0
384.0	1.0
199.0	1.0
857.0	1.0
1182.0	1.0
579.0	1.0
135.0	1.0
515.0	1.0
159.0	1.0
1113.0	1.0
1222.0	1.0
912.0	1.0
79.0	1.0
493.0	1.0
317.0	1.0
445.0	1.0
1042.0	1.0
417.0	1.0
246.0	1.0
1133.0	1.0
171.0	1.0
920.0	1.0
489.0	1.0
532.0	1.0
755.0	1.0
2039.0	1.0
210.0	1.0
1242.0	1.0
365.0	-1.0
202.0	-1.0
366.0	-1.0
378.0	-1.0
495.0	-1.0
465.0	-1.0
795.0	-1.0
1170.0	-1.0
77.0	-1.0
401.0	-1.0
147.0	-1.0
672.0	-1.0
175.0	-1.0
603.0	-1.0
1174.0	-1.0
839.0	-1.0
185.0	-1.0
680.0	-1.0
1033.0	-1.0
557.0	-1.0
1189.0	-1.0
297.0	-1.0
326.0	-1.0
985.0	-1.0
293.0	-1.0
126.0	-1.0
1109.0	-1.0
659.0	-1.0
265.0	-1.0
1013.0	-1.0
1096.0	-1.0
868.0	-1.0
950.0	-1.0
43.0	-1.0
929.0	-1.0
120.0	-1.0
487.0	-1.0
1044.0	-1.0
42.0	-1.0
253.0	-1.0
556.0	-1.0
590.0	-1.0
14.0	-1.0
337.0	-1.0
502.0	-1.0
368.0	-1.0
66.0	-1.0
405.0	-1.0
59.0	-1.0
127.0	-1.0
381.0	-1.0
318.0	-1.0
551.0	-1.0
449.0	-1.0
282.0	-1.0
149.0	-2.0
174.0	-2.0
179.0	-2.0
259.0	-2.0
163.0	-2.0
412.0	-2.0
130.0	-2.0
1024.0	-2.0
63.0	-2.0
568.0	-2.0
1281.0	-2.0
33.0	-2.0
27.0	-2.0
735.0	-2.0
392.0	-2.0
39.0	-2.0
41.0	-2.0
17.0	-2.0
394.0	-2.0
618.0	-2.0
898.0	-2.0
473.0	-2.0
1056.0	-2.0
884.0	-2.0
67.0	-3.0
25.0	-3.0
102.0	-3.0
22.0	-3.0
221.0	-3.0
10.0	-3.0
527.0	-3.0
34.0	-4.0
62.0	-4.0
9.0	-4.0
16.0	-7.0
13.0	-15.0
50.0	-17.0
