Value	Count
20.0	58.0
26.0	47.0
52.0	23.0
56.0	14.0
30.0	12.0
82.0	6.0
57.0	6.0
59.0	6.0
51.0	6.0
6.0	5.0
360.0	4.0
22.0	4.0
8.0	4.0
49.0	4.0
21.0	4.0
89.0	4.0
211.0	4.0
12.0	4.0
55.0	4.0
395.0	3.0
247.0	3.0
312.0	3.0
23.0	3.0
355.0	3.0
108.0	3.0
58.0	3.0
882.0	2.0
406.0	2.0
393.0	2.0
432.0	2.0
508.0	2.0
117.0	2.0
100.0	2.0
197.0	2.0
77.0	2.0
441.0	2.0
94.0	2.0
489.0	2.0
190.0	2.0
396.0	2.0
840.0	2.0
38.0	2.0
43.0	2.0
29.0	2.0
548.0	2.0
1036.0	1.0
461.0	1.0
945.0	1.0
130.0	1.0
467.0	1.0
229.0	1.0
61.0	1.0
335.0	1.0
194.0	1.0
219.0	1.0
271.0	1.0
186.0	1.0
177.0	1.0
11.0	1.0
322.0	1.0
175.0	1.0
793.0	1.0
388.0	1.0
45.0	1.0
137.0	1.0
325.0	1.0
545.0	1.0
62.0	1.0
32.0	1.0
129.0	1.0
46.0	1.0
933.0	1.0
25.0	1.0
472.0	1.0
632.0	1.0
330.0	1.0
964.0	1.0
96.0	1.0
81.0	1.0
13.0	1.0
255.0	1.0
113.0	1.0
228.0	1.0
707.0	1.0
738.0	1.0
466.0	1.0
825.0	1.0
54.0	1.0
36.0	1.0
320.0	-1.0
379.0	-1.0
1189.0	-1.0
241.0	-1.0
416.0	-1.0
795.0	-1.0
504.0	-1.0
991.0	-1.0
1069.0	-1.0
243.0	-1.0
463.0	-1.0
588.0	-1.0
519.0	-1.0
74.0	-1.0
628.0	-1.0
1109.0	-1.0
484.0	-1.0
856.0	-1.0
543.0	-1.0
617.0	-1.0
332.0	-1.0
370.0	-1.0
290.0	-1.0
302.0	-1.0
672.0	-1.0
1170.0	-1.0
509.0	-1.0
844.0	-1.0
522.0	-1.0
69.0	-1.0
298.0	-1.0
486.0	-1.0
659.0	-1.0
584.0	-1.0
391.0	-1.0
133.0	-1.0
652.0	-1.0
185.0	-1.0
985.0	-1.0
812.0	-1.0
297.0	-1.0
510.0	-1.0
680.0	-1.0
250.0	-1.0
423.0	-1.0
839.0	-1.0
365.0	-1.0
131.0	-1.0
950.0	-1.0
495.0	-1.0
328.0	-1.0
109.0	-1.0
670.0	-1.0
265.0	-1.0
321.0	-1.0
468.0	-1.0
262.0	-1.0
580.0	-1.0
772.0	-1.0
86.0	-1.0
256.0	-1.0
366.0	-1.0
603.0	-1.0
634.0	-1.0
83.0	-1.0
451.0	-1.0
1174.0	-1.0
126.0	-1.0
384.0	-1.0
778.0	-1.0
868.0	-1.0
236.0	-1.0
712.0	-1.0
419.0	-1.0
1096.0	-1.0
314.0	-1.0
167.0	-1.0
281.0	-1.0
1013.0	-1.0
356.0	-1.0
310.0	-1.0
292.0	-1.0
1033.0	-1.0
326.0	-1.0
813.0	-1.0
184.0	-1.0
116.0	-1.0
166.0	-1.0
160.0	-1.0
279.0	-1.0
230.0	-1.0
442.0	-1.0
268.0	-1.0
224.0	-1.0
264.0	-1.0
280.0	-1.0
424.0	-1.0
138.0	-1.0
363.0	-1.0
698.0	-1.0
453.0	-1.0
336.0	-1.0
226.0	-1.0
459.0	-1.0
121.0	-1.0
929.0	-1.0
364.0	-1.0
389.0	-1.0
16.0	-1.0
968.0	-1.0
797.0	-1.0
205.0	-1.0
561.0	-1.0
147.0	-1.0
104.0	-1.0
207.0	-1.0
638.0	-1.0
1081.0	-1.0
444.0	-1.0
267.0	-1.0
570.0	-1.0
337.0	-1.0
465.0	-1.0
17.0	-1.0
202.0	-1.0
33.0	-1.0
327.0	-1.0
136.0	-1.0
557.0	-1.0
488.0	-2.0
19.0	-2.0
626.0	-2.0
1281.0	-2.0
296.0	-2.0
212.0	-2.0
270.0	-2.0
525.0	-2.0
405.0	-2.0
796.0	-2.0
368.0	-2.0
590.0	-2.0
145.0	-2.0
530.0	-2.0
908.0	-2.0
196.0	-2.0
240.0	-2.0
449.0	-2.0
183.0	-2.0
195.0	-2.0
884.0	-2.0
67.0	-2.0
412.0	-2.0
154.0	-2.0
41.0	-2.0
150.0	-2.0
132.0	-2.0
220.0	-2.0
350.0	-2.0
14.0	-2.0
367.0	-2.0
348.0	-2.0
1056.0	-2.0
517.0	-2.0
487.0	-2.0
134.0	-2.0
475.0	-2.0
780.0	-2.0
