Value	Count
52.0	38.0
48.0	35.0
26.0	19.0
22.0	14.0
36.0	11.0
25.0	11.0
108.0	11.0
6.0	10.0
96.0	10.0
100.0	9.0
32.0	9.0
40.0	9.0
436.0	9.0
129.0	8.0
88.0	8.0
92.0	8.0
112.0	8.0
44.0	7.0
176.0	7.0
346.0	6.0
116.0	6.0
51.0	6.0
164.0	6.0
274.0	6.0
170.0	6.0
53.0	6.0
243.0	5.0
64.0	5.0
43.0	5.0
260.0	5.0
68.0	5.0
228.0	5.0
8.0	5.0
267.0	4.0
42.0	4.0
184.0	4.0
204.0	4.0
137.0	4.0
288.0	4.0
156.0	4.0
342.0	4.0
817.0	4.0
39.0	4.0
162.0	4.0
59.0	4.0
54.0	4.0
72.0	4.0
124.0	4.0
298.0	3.0
24.0	3.0
70.0	3.0
236.0	3.0
659.0	3.0
21.0	3.0
74.0	3.0
205.0	3.0
157.0	3.0
248.0	3.0
249.0	3.0
90.0	3.0
611.0	3.0
178.0	3.0
263.0	3.0
646.0	3.0
200.0	3.0
393.0	3.0
506.0	3.0
461.0	3.0
325.0	3.0
291.0	3.0
145.0	3.0
315.0	3.0
191.0	3.0
122.0	3.0
341.0	3.0
470.0	2.0
960.0	2.0
161.0	2.0
374.0	2.0
585.0	2.0
720.0	2.0
1028.0	2.0
823.0	2.0
697.0	2.0
406.0	2.0
427.0	2.0
456.0	2.0
821.0	2.0
222.0	2.0
1073.0	2.0
594.0	2.0
319.0	2.0
1833.0	2.0
255.0	2.0
494.0	2.0
1834.0	2.0
362.0	2.0
69.0	2.0
246.0	2.0
509.0	2.0
347.0	2.0
848.0	2.0
211.0	2.0
385.0	2.0
317.0	2.0
753.0	2.0
181.0	2.0
1158.0	2.0
229.0	2.0
802.0	2.0
649.0	2.0
479.0	2.0
421.0	2.0
94.0	2.0
206.0	2.0
836.0	2.0
153.0	2.0
343.0	2.0
57.0	2.0
23.0	2.0
106.0	2.0
11.0	2.0
597.0	2.0
82.0	2.0
918.0	2.0
663.0	2.0
643.0	2.0
193.0	2.0
254.0	2.0
665.0	2.0
