Value	Count
48.0	75.0
20.0	58.0
52.0	51.0
52.0	48.0
26.0	47.0
26.0	46.0
96.0	46.0
48.0	46.0
28.0	42.0
52.0	38.0
60.0	38.0
224.0	38.0
68.0	37.0
32.0	37.0
72.0	36.0
104.0	36.0
60.0	35.0
84.0	35.0
116.0	35.0
48.0	35.0
160.0	34.0
228.0	33.0
48.0	33.0
72.0	32.0
236.0	30.0
26.0	29.0
52.0	27.0
52.0	26.0
24.0	26.0
52.0	23.0
26.0	19.0
104.0	18.0
64.0	17.0
20.0	17.0
36.0	16.0
22.0	14.0
56.0	14.0
40.0	13.0
57.0	13.0
30.0	13.0
30.0	12.0
108.0	12.0
108.0	11.0
25.0	11.0
20.0	11.0
36.0	11.0
6.0	10.0
96.0	10.0
51.0	10.0
16.0	10.0
60.0	9.0
100.0	9.0
32.0	7.0
64.0	7.0
6.0	7.0
59.0	6.0
82.0	6.0
51.0	6.0
57.0	6.0
6.0	5.0
