Value	Count
4.0	838
2.0	825
8.0	253
3.0	247
7.0	230
5.0	158
6.0	158
10.0	151
14.0	143
20.0	127
13.0	114
12.0	109
28.0	109
9.0	107
24.0	107
148.0	100
15.0	100
21.0	95
124.0	91
19.0	84
18.0	83
176.0	81
16.0	74
128.0	71
140.0	69
11.0	68
30.0	67
23.0	66
29.0	65
22.0	64
32.0	62
136.0	57
132.0	56
152.0	53
268.0	52
25.0	52
160.0	47
172.0	47
236.0	46
27.0	45
17.0	45
220.0	44
168.0	41
376.0	41
188.0	40
328.0	39
224.0	39
468.0	37
244.0	37
208.0	37
352.0	36
156.0	36
232.0	35
184.0	34
252.0	34
360.0	34
164.0	33
200.0	33
340.0	32
42.0	31
26.0	31
272.0	30
180.0	29
332.0	29
424.0	28
192.0	28
204.0	27
144.0	27
248.0	27
320.0	27
256.0	27
196.0	26
440.0	26
260.0	26
380.0	26
316.0	25
292.0	25
52.0	25
420.0	25
412.0	25
456.0	24
764.0	24
404.0	24
300.0	23
304.0	23
308.0	23
392.0	23
528.0	23
312.0	22
296.0	22
276.0	22
368.0	21
280.0	21
40.0	21
388.0	21
324.0	21
372.0	20
572.0	20
432.0	20
344.0	20
348.0	20
416.0	20
504.0	20
652.0	20
448.0	19
568.0	19
460.0	19
536.0	19
48.0	19
284.0	19
38.0	19
452.0	19
520.0	19
50.0	19
496.0	19
560.0	19
384.0	18
540.0	18
604.0	18
484.0	18
90.0	18
508.0	17
516.0	17
336.0	17
552.0	16
464.0	16
480.0	16
700.0	16
400.0	16
628.0	16
54.0	16
500.0	16
87.0	16
636.0	16
240.0	15
288.0	15
488.0	15
524.0	15
584.0	15
548.0	15
680.0	14
228.0	14
676.0	14
576.0	14
612.0	14
212.0	14
588.0	14
408.0	14
472.0	14
596.0	13
776.0	13
564.0	13
644.0	13
664.0	13
396.0	13
544.0	13
716.0	13
580.0	13
728.0	13
784.0	13
740.0	12
792.0	12
688.0	12
364.0	11
616.0	11
444.0	11
216.0	11
1020.0	11
632.0	11
356.0	11
436.0	11
492.0	10
744.0	10
668.0	10
736.0	10
704.0	10
732.0	10
672.0	10
768.0	10
428.0	10
640.0	9
708.0	9
532.0	9
608.0	9
556.0	9
860.0	9
592.0	9
648.0	8
796.0	8
720.0	8
458.0	8
36.0	8
780.0	8
620.0	8
1024.0	8
864.0	8
852.0	8
756.0	7
800.0	7
134.0	7
828.0	7
656.0	7
660.0	7
264.0	7
476.0	7
816.0	7
760.0	7
506.0	6
896.0	6
824.0	6
326.0	6
490.0	6
944.0	6
848.0	6
31.0	6
600.0	6
772.0	6
712.0	6
398.0	6
804.0	6
868.0	6
334.0	6
748.0	6
872.0	6
322.0	6
512.0	5
60.0	5
936.0	5
692.0	5
724.0	5
374.0	5
510.0	5
386.0	5
808.0	5
624.0	5
856.0	5
446.0	5
518.0	5
350.0	5
684.0	5
900.0	5
126.0	5
142.0	5
876.0	5
752.0	4
836.0	4
302.0	4
940.0	4
330.0	4
466.0	4
888.0	4
1012.0	4
438.0	4
162.0	4
820.0	4
960.0	4
44.0	4
306.0	4
892.0	4
414.0	4
812.0	4
844.0	4
158.0	4
988.0	4
932.0	3
674.0	3
462.0	3
390.0	3
696.0	3
33.0	3
450.0	3
366.0	3
912.0	3
788.0	3
382.0	3
482.0	3
58.0	3
310.0	3
534.0	3
526.0	3
318.0	3
314.0	3
494.0	3
194.0	3
884.0	3
434.0	3
706.0	3
430.0	3
952.0	3
832.0	3
422.0	3
290.0	3
338.0	3
362.0	3
486.0	3
426.0	3
402.0	3
86.0	3
908.0	3
154.0	3
410.0	3
546.0	3
630.0	2
920.0	2
622.0	2
880.0	2
135.0	2
1025.0	2
442.0	2
418.0	2
594.0	2
70.0	2
346.0	2
447.0	2
718.0	2
894.0	2
498.0	2
714.0	2
610.0	2
770.0	2
956.0	2
454.0	2
840.0	2
138.0	2
1008.0	2
838.0	2
514.0	2
39.0	2
578.0	2
146.0	2
930.0	2
459.0	2
606.0	2
996.0	1
130.0	1
1387.0	1
474.0	1
94.0	1
774.0	1
980.0	1
978.0	1
470.0	1
63.0	1
974.0	1
77.0	1
618.0	1
169.0	1
646.0	1
566.0	1
558.0	1
394.0	1
298.0	1
475.0	1
702.0	1
34.0	1
794.0	1
171.0	1
670.0	1
1037.0	1
35.0	1
972.0	1
214.0	1
538.0	1
574.0	1
762.0	1
948.0	1
291.0	1
219.0	1
758.0	1
342.0	1
1023.0	1
143.0	1
367.0	1
916.0	1
726.0	1
570.0	1
554.0	1
1042.0	1
282.0	1
662.0	1
131.0	1
1170.0	1
904.0	1
964.0	1
994.0	1
286.0	1
786.0	1
66.0	1
968.0	1
150.0	1
924.0	1
46.0	1
81.0	1
694.0	1
354.0	1
582.0	1
