Value	Count
48.0	874
24.0	639
20.0	484
18.0	427
52.0	315
22.0	293
28.0	221
26.0	205
50.0	188
60.0	185
56.0	175
32.0	171
13.0	169
40.0	143
72.0	142
64.0	140
92.0	140
84.0	132
88.0	127
80.0	127
104.0	126
108.0	125
76.0	124
112.0	124
68.0	117
124.0	115
100.0	114
96.0	113
132.0	113
176.0	107
44.0	107
136.0	106
36.0	106
128.0	104
120.0	104
148.0	104
152.0	101
180.0	94
160.0	93
168.0	93
164.0	93
116.0	93
140.0	91
30.0	91
54.0	90
224.0	86
188.0	85
144.0	81
228.0	81
200.0	80
232.0	78
216.0	75
284.0	74
156.0	74
192.0	73
172.0	73
256.0	72
196.0	71
212.0	71
125.0	71
236.0	71
312.0	70
6.0	70
150.0	69
184.0	68
208.0	68
204.0	67
268.0	67
220.0	67
288.0	66
272.0	66
240.0	64
16.0	64
179.0	62
158.0	61
264.0	61
279.0	58
248.0	57
244.0	54
292.0	53
9.0	53
260.0	52
308.0	52
316.0	51
252.0	51
276.0	49
191.0	49
304.0	47
280.0	46
129.0	46
195.0	45
154.0	45
245.0	44
49.0	44
53.0	43
243.0	42
296.0	41
58.0	40
372.0	40
300.0	40
183.0	38
145.0	38
137.0	38
142.0	37
226.0	37
324.0	36
149.0	36
356.0	36
213.0	35
287.0	35
138.0	35
162.0	34
399.0	33
350.0	33
66.0	32
62.0	32
262.0	32
141.0	32
555.0	32
170.0	32
203.0	32
383.0	32
121.0	32
201.0	32
7.0	31
332.0	31
662.0	31
416.0	31
263.0	30
325.0	30
163.0	30
199.0	30
295.0	30
253.0	30
440.0	30
502.0	30
230.0	30
133.0	29
134.0	29
360.0	29
31.0	28
187.0	28
258.0	28
299.0	28
334.0	28
98.0	28
217.0	28
175.0	28
166.0	28
249.0	28
57.0	28
376.0	28
449.0	27
340.0	27
519.0	27
117.0	27
241.0	27
359.0	26
171.0	26
239.0	26
270.0	26
266.0	26
25.0	26
205.0	25
74.0	25
389.0	25
102.0	25
406.0	25
207.0	25
479.0	25
321.0	24
209.0	24
61.0	24
457.0	24
580.0	24
110.0	24
298.0	24
306.0	24
320.0	24
283.0	24
341.0	23
428.0	23
167.0	23
211.0	23
174.0	23
547.0	23
338.0	22
506.0	22
776.0	22
568.0	22
517.0	22
411.0	22
500.0	22
385.0	21
267.0	21
856.0	21
364.0	21
251.0	21
636.0	21
458.0	21
436.0	21
219.0	21
539.0	21
381.0	21
342.0	21
402.0	21
363.0	21
303.0	21
259.0	21
328.0	20
408.0	20
423.0	20
908.0	20
337.0	20
294.0	20
393.0	20
275.0	20
733.0	20
333.0	20
432.0	19
504.0	19
349.0	19
560.0	19
38.0	19
419.0	19
10.0	19
509.0	19
632.0	19
114.0	19
215.0	19
551.0	19
94.0	19
559.0	19
118.0	19
483.0	19
470.0	18
768.0	18
70.0	18
527.0	18
354.0	18
352.0	18
387.0	18
462.0	18
281.0	18
314.0	18
844.0	18
222.0	17
69.0	17
427.0	17
521.0	17
77.0	17
515.0	17
542.0	17
397.0	17
346.0	16
380.0	16
189.0	16
185.0	16
601.0	16
82.0	16
42.0	16
712.0	16
474.0	16
658.0	16
302.0	16
581.0	16
271.0	16
182.0	16
626.0	15
412.0	15
666.0	15
45.0	15
498.0	15
486.0	15
384.0	15
720.0	15
617.0	15
453.0	15
234.0	15
78.0	15
466.0	15
21.0	15
496.0	15
538.0	15
646.0	15
214.0	15
227.0	15
584.0	15
65.0	15
494.0	15
289.0	15
848.0	15
15.0	15
336.0	15
153.0	15
737.0	14
106.0	14
348.0	14
347.0	14
465.0	14
564.0	14
896.0	14
784.0	14
534.0	14
525.0	14
46.0	14
109.0	14
925.0	14
836.0	14
461.0	14
11.0	14
197.0	14
450.0	14
157.0	13
173.0	13
365.0	13
344.0	13
611.0	13
645.0	13
395.0	13
487.0	13
594.0	13
597.0	13
460.0	13
797.0	13
945.0	13
198.0	13
255.0	13
345.0	13
242.0	13
291.0	12
190.0	12
459.0	12
444.0	12
90.0	12
445.0	12
469.0	12
277.0	12
127.0	12
573.0	12
634.0	12
708.0	12
97.0	12
452.0	12
265.0	12
812.0	12
301.0	12
105.0	12
398.0	12
85.0	12
472.0	12
531.0	12
194.0	12
247.0	12
638.0	12
123.0	11
741.0	11
238.0	11
19.0	11
329.0	11
386.0	11
475.0	11
892.0	11
589.0	11
14.0	11
367.0	11
605.0	11
1048.0	11
86.0	11
628.0	11
664.0	11
888.0	11
231.0	11
1017.0	11
261.0	11
572.0	11
780.0	11
23.0	11
274.0	11
400.0	11
41.0	11
613.0	10
968.0	10
424.0	10
864.0	10
317.0	10
368.0	10
139.0	10
229.0	10
832.0	10
237.0	10
817.0	10
523.0	10
130.0	10
532.0	10
165.0	10
900.0	10
570.0	10
361.0	10
43.0	10
1036.0	10
147.0	10
476.0	10
960.0	10
210.0	10
985.0	10
679.0	10
8.0	9
640.0	9
37.0	9
448.0	9
543.0	9
577.0	9
178.0	9
989.0	9
420.0	9
206.0	9
63.0	9
650.0	9
793.0	9
619.0	9
675.0	9
596.0	9
615.0	9
904.0	9
225.0	9
980.0	9
93.0	9
868.0	9
668.0	9
492.0	9
607.0	9
972.0	8
840.0	8
456.0	8
1168.0	8
464.0	8
126.0	8
821.0	8
122.0	8
119.0	8
716.0	8
257.0	8
749.0	8
490.0	8
221.0	8
592.0	8
660.0	8
1044.0	8
233.0	8
852.0	8
403.0	8
169.0	8
355.0	8
146.0	8
561.0	8
285.0	8
801.0	8
223.0	8
545.0	8
186.0	8
529.0	8
530.0	8
290.0	8
202.0	8
29.0	8
388.0	8
318.0	8
55.0	8
143.0	8
282.0	8
598.0	8
378.0	7
513.0	7
860.0	7
630.0	7
976.0	7
688.0	7
873.0	7
920.0	7
366.0	7
391.0	7
181.0	7
430.0	7
111.0	7
477.0	7
603.0	7
563.0	7
81.0	7
535.0	7
151.0	7
588.0	7
602.0	7
473.0	7
764.0	7
788.0	7
877.0	7
541.0	6
177.0	6
576.0	6
414.0	6
653.0	6
754.0	6
683.0	6
330.0	6
307.0	6
808.0	6
362.0	6
753.0	6
518.0	6
1393.0	6
691.0	6
59.0	6
593.0	6
353.0	6
1172.0	6
429.0	6
491.0	6
438.0	6
544.0	6
574.0	6
800.0	6
1160.0	6
671.0	6
684.0	6
1096.0	6
481.0	6
358.0	6
135.0	6
33.0	6
404.0	6
933.0	6
562.0	6
796.0	6
1018.0	6
724.0	6
396.0	6
556.0	6
273.0	6
357.0	6
729.0	6
786.0	6
482.0	6
624.0	6
250.0	6
1020.0	6
642.0	6
520.0	6
331.0	6
335.0	5
434.0	5
27.0	5
161.0	5
1073.0	5
964.0	5
390.0	5
548.0	5
937.0	5
932.0	5
948.0	5
648.0	5
218.0	5
552.0	5
193.0	5
772.0	5
884.0	5
649.0	5
657.0	5
540.0	5
83.0	5
101.0	5
618.0	5
575.0	5
463.0	5
343.0	5
425.0	5
922.0	5
557.0	5
1061.0	5
442.0	5
310.0	5
235.0	5
924.0	5
269.0	5
297.0	5
1108.0	5
431.0	5
73.0	5
585.0	5
758.0	5
641.0	5
834.0	5
286.0	5
997.0	5
566.0	5
131.0	5
912.0	5
455.0	5
17.0	5
278.0	5
1145.0	5
293.0	5
309.0	5
654.0	5
374.0	5
471.0	4
327.0	4
850.0	4
410.0	4
704.0	4
493.0	4
661.0	4
854.0	4
906.0	4
792.0	4
608.0	4
447.0	4
1273.0	4
468.0	4
323.0	4
421.0	4
916.0	4
1021.0	4
1009.0	4
874.0	4
782.0	4
622.0	4
34.0	4
322.0	4
1112.0	4
690.0	4
315.0	4
587.0	4
401.0	4
1236.0	4
351.0	4
614.0	4
1102.0	4
680.0	4
1001.0	4
1176.0	4
1008.0	4
467.0	4
319.0	4
1149.0	4
761.0	4
407.0	4
962.0	4
943.0	4
254.0	4
409.0	4
511.0	4
305.0	4
1209.0	4
392.0	4
930.0	4
1062.0	4
415.0	4
1380.0	4
940.0	4
1056.0	4
159.0	4
550.0	3
767.0	3
1304.0	3
1141.0	3
707.0	3
1069.0	3
872.0	3
902.0	3
446.0	3
433.0	3
311.0	3
996.0	3
508.0	3
1072.0	3
558.0	3
627.0	3
947.0	3
437.0	3
546.0	3
950.0	3
1066.0	3
1070.0	3
1022.0	3
1007.0	3
1232.0	3
1052.0	3
1040.0	3
485.0	3
901.0	3
1092.0	3
1005.0	3
1086.0	3
728.0	3
941.0	3
875.0	3
441.0	3
571.0	3
670.0	3
313.0	3
394.0	3
422.0	3
339.0	3
876.0	3
750.0	3
777.0	3
1378.0	3
809.0	3
1186.0	3
743.0	3
1142.0	3
1063.0	3
579.0	3
954.0	3
553.0	3
439.0	3
798.0	3
1065.0	3
1134.0	3
966.0	3
685.0	3
246.0	3
1032.0	3
443.0	3
810.0	3
803.0	3
795.0	3
549.0	3
1261.0	3
484.0	3
1067.0	3
565.0	3
659.0	3
621.0	3
382.0	3
1270.0	3
676.0	3
1060.0	3
1138.0	3
413.0	3
718.0	3
1296.0	3
644.0	3
674.0	3
451.0	3
1185.0	3
944.0	3
583.0	3
869.0	3
371.0	2
651.0	2
1125.0	2
12.0	2
370.0	2
1194.0	2
99.0	2
988.0	2
818.0	2
604.0	2
71.0	2
417.0	2
652.0	2
1205.0	2
952.0	2
375.0	2
1308.0	2
1496.0	2
867.0	2
811.0	2
629.0	2
1080.0	2
516.0	2
1192.0	2
678.0	2
1148.0	2
805.0	2
824.0	2
418.0	2
1084.0	2
655.0	2
862.0	2
67.0	2
326.0	2
1231.0	2
510.0	2
537.0	2
505.0	2
677.0	2
1006.0	2
1117.0	2
1279.0	2
757.0	2
1398.0	2
865.0	2
1571.0	2
742.0	2
1093.0	2
946.0	2
1202.0	2
813.0	2
1110.0	2
488.0	2
1240.0	2
879.0	2
1343.0	2
1013.0	2
825.0	2
1133.0	2
373.0	2
711.0	2
697.0	2
