#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	0	2299.5	117.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	1	2083.5	207.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
0	2	45.5	233.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	3	779.5207207207208	383.5207207207207	4.0	4.0	0.0	1.0	555.0	532.0	0.0	23.0
0	4	1275.5	429.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
0	5	1073.5	443.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
0	6	1031.5087719298247	521.5122807017544	4.0	4.0	0.0	1.0	285.0	276.0	0.0	7.0
0	7	269.5	567.5	4.0	4.0	0.0	0.0	80.0	80.0	0.0	0.0
0	8	943.5	630.5	4.0	0.0	4.0	0.0	256.0	0.0	256.0	0.0
0	9	746.0	649.0	1.0	0.0	1.0	0.0	6.0	0.0	6.0	0.0
0	10	907.5	721.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
0	11	581.5	743.0	2.0	2.0	2.0	0.0	20.0	12.0	8.0	0.0
0	12	142.5	755.5	4.0	0.0	4.0	0.0	56.0	0.0	56.0	0.0
0	13	1935.5185185185185	771.4814814814815	4.0	4.0	0.0	1.0	54.0	52.0	0.0	2.0
0	14	2176.9345454545455	796.0727272727273	8.0	8.0	0.0	2.0	275.0	268.0	0.0	5.0
0	15	239.5	814.5	4.0	0.0	4.0	0.0	80.0	0.0	80.0	0.0
0	16	2400.254098360656	845.7459016393443	7.0	0.0	7.0	0.0	244.0	0.0	244.0	0.0
0	17	1879.4545454545455	911.0	2.0	2.0	2.0	1.0	22.0	14.0	6.0	2.0
0	18	106.5	923.5	4.0	0.0	4.0	0.0	144.0	0.0	144.0	0.0
0	19	1717.375	990.5	4.0	0.0	4.0	2.0	32.0	0.0	24.0	8.0
0	20	1271.5	999.0	2.0	2.0	2.0	0.0	30.0	22.0	8.0	0.0
0	21	1116.5	1019.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
0	22	2421.5	1026.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
0	23	2433.5	1047.5	4.0	4.0	0.0	0.0	64.0	64.0	0.0	0.0
0	24	2155.5	1053.5	4.0	4.0	0.0	0.0	52.0	52.0	0.0	0.0
0	25	231.5	1139.0	2.0	2.0	0.0	0.0	22.0	20.0	0.0	0.0
0	26	177.5	1145.5	4.0	4.0	0.0	0.0	72.0	72.0	0.0	0.0
0	27	1102.5	1241.5	4.0	0.0	4.0	0.0	264.0	0.0	264.0	0.0
0	28	1910.5	1263.5	4.0	0.0	4.0	0.0	348.0	0.0	348.0	0.0
0	29	2199.5	1266.5	4.0	0.0	4.0	0.0	24.0	0.0	24.0	0.0
0	30	1547.5	1285.0	2.0	2.0	0.0	0.0	22.0	20.0	0.0	0.0
0	31	2324.5	1291.4642857142858	4.0	0.0	4.0	2.0	56.0	0.0	52.0	4.0
0	32	1467.5	1337.9464285714287	6.0	4.0	4.0	0.0	224.0	124.0	100.0	0.0
0	33	209.5	1353.5	4.0	4.0	0.0	0.0	52.0	52.0	0.0	0.0
0	34	100.5	1361.5113636363637	4.0	0.0	4.0	2.0	176.0	0.0	172.0	4.0
